id,name,number,type,itemID,amount
1,收集1张残经,1,8,8,5000
2,收集3张残经,3,3,3000193,1
3,收集5张残经,5,10,10,5
4,收集7张残经,7,2,2,20
5,收集10张残经,10,8,8,10000
6,收集15张残经,15,3,3000196,1
7,收集20张残经,20,10,10,5
8,收集25张残经,25,2,2,30
9,收集30张残经,30,8,8,15000
10,收集35张残经,35,3,3000199,1
11,收集40张残经,40,10,10,5
12,收集45张残经,45,2,2,30
13,收集50张残经,50,8,8,20000
14,收集55张残经,55,3,3000202,1
15,收集60张残经,60,10,10,5
16,收集65张残经,65,2,2,40
17,收集70张残经,70,8,8,50000
18,收集75张残经,75,3,3000205,1
19,收集80张残经,80,10,10,5
20,收集85张残经,85,2,2,50
21,收集95张残经,95,8,8,50000
22,收集100张残经,100,3,3000194,1
23,收集150张残经,150,10,10,5
24,收集200张残经,200,2,2,60
25,收集250张残经,250,8,8,100000
26,收集300张残经,300,3,3000197,1
27,收集350张残经,350,10,10,5
28,收集400张残经,400,2,2,70
29,收集450张残经,450,8,8,100000
30,收集500张残经,500,3,3000200,1
31,收集550张残经,550,10,10,5
32,收集600张残经,600,2,2,80
33,收集650张残经,650,8,8,100000
34,收集700张残经,700,3,3000203,1
35,收集750张残经,750,10,10,5
36,收集800张残经,800,2,2,90
37,收集850张残经,850,8,8,100000
38,收集900张残经,900,3,3000206,1
39,收集950张残经,950,10,10,5
40,收集1000张残经,1000,2,2,100
