Attribute,FirstFreeA,NormalFreeA,FirstGoldA,NormalGoldA,LimitedGoldA,FirstFreeB,NormalFreeB,FirstGoldB,NormalGoldB,LimitedGoldB,FirstFreeC,NormalFreeC,FirstGoldC,NormalGoldC,LimitedGoldC,FirstFreeD,NormalFreeD,FirstGoldD,NormalGoldD,LimitedGoldD
1,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,0,40,1,0
2,0,0,0,0,0,0,0,0,2,0,0,1,0,25,1,0,1,0,25,1
3,0,0,0,0,0,0,1,6,6,3,12,10,100,20,9,12,10,100,20,9
4,0,0,0,0,1,0,0,0,0,6,34,0,0,0,17,34,0,0,0,17
5,1,0,30,0,0,0,5,50,7,5,0,15,0,100,10,0,15,0,100,10
6,0,3,10,5,5,40,45,100,33,50,25,45,55,55,55,25,45,55,55,55
7,75,15,100,30,25,0,35,200,50,35,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0
