id,dlc_id,type,condition_type,condition,desc,lock_pose,name,icon,cd_time,rob_group,range,rule,rob_rule,rob_range,mask_name,first_type|itemID|amount1,first_type|itemID|amount2,first_type|itemID|amount3,first_type|itemID|amount4,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3,type|itemID|amount4
100011101,1,1,0,[],nil,0,1-1,204563,0,100011101,0|0,1,2,-20|5,zhuxian1,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,0,0
100011102,1,1,0,[],nil,0,1-2,204173,0,100011102,0|0,1,2,-20|5,zhuxian2,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,0,0
100014101,1,4,0,"[{'attr':31,'same_id':356,'desc':'1.储存皮丘','lock_pose':14}]",请按要求派遣指定精灵,14,宝贝中心,2005002,60,100014101,-20|5,1,2,-10|10,zhuxian2_1,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,14|21000370|1,14|350070|1
100011103,1,1,0,[],nil,0,1-3,204163,0,100011103,0|0,1,2,-20|5,zhuxian3,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,0,0
100012101,1,2,0,"[{'attr':31,'same_id':353,'desc':'1.上阵妙蛙种子'}]",请按要求上阵进行战斗,0,精灵乱斗,2005001,0,100012101,0|0,1,2,-20|5,zhuxian3_1,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,14|21000370|1,14|350070|1
100011104,1,1,0,[],nil,0,1-4,204633,0,100011104,0|0,1,2,-20|5,zhuxian4,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,0,0
100013101,1,3,0,1,请选择好友阵容通关该关卡,0,好友助阵,2005003,0,100013101,-25|-5,0,2,-25|-5,zhuxian4_1,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,14|21000370|1,14|350070|1
100011105,1,1,0,[],nil,0,1-5,204653,0,100011105,0|0,1,2,-20|5,zhuxian5,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,0,0
100021201,1,1,0,[],nil,0,2-1,204603,0,100021201,0|0,1,2,-20|5,zhuxian1,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,0,0
100021202,1,1,0,[],nil,0,2-2,204393,0,100021202,0|0,1,2,-20|5,zhuxian2,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,0,0
100024201,1,4,0,"[{'attr':31,'same_id':331,'desc':'1.储存鸭嘴火龙','lock_pose':12},{'attr':31,'same_id':345,'desc':'1.储存怨影娃娃'}]",nil,12,宝贝中心,2005002,1800,100024201,-20|5,1,2,-10|10,zhuxian2_1,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,14|21000370|1,14|350070|1
100021203,1,1,0,[],nil,0,2-3,204083,0,100021203,0|0,1,2,-20|5,zhuxian3,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,0,0
100022201,1,2,0,"[{'attr':31,'same_id':349,'desc':'1.上阵鲤鱼王'},{'attr':31,'same_id':350,'desc':'2.上阵杰尼龟'}]",nil,0,精灵乱斗,2005001,0,100022201,0|0,1,2,-20|5,zhuxian3_1,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,14|21000370|1,14|350070|1
100021204,1,1,0,[],nil,0,2-4,204043,0,100021204,0|0,1,0,-20|5,zhuxian4,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,0,0
100023201,1,3,0,2,请选择公会成员阵容通关该关卡,0,公会支援,2005003,0,100023201,-25|-5,0,2,-25|-5,zhuxian4_1,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,14|21000370|1,14|350070|1
100021205,1,1,0,[],nil,0,2-5,204553,0,100021205,0|0,1,0,-20|5,zhuxian5,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,0,0
100031301,1,1,0,[],nil,0,3-1,204363,0,100031301,0|0,1,0,-20|5,zhuxian1,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,0,0
100031302,1,1,0,[],nil,0,3-2,204273,0,100031302,0|0,1,0,-20|5,zhuxian2,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,0,0
100034301,1,4,0,"[{'attr':31,'same_id':357,'desc':'1.储存凯西','lock_pose':8},{'attr':31,'same_id':355,'desc':'2.储存波克比'},{'attr':31,'same_id':356,'desc':'3.储存皮卡丘'}]",请按要求派遣指定精灵,0,宝贝中心,2005002,3600,100034301,-20|5,1,2,-10|10,zhuxian2_1,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,14|21000370|1,14|350070|1
100031303,1,1,0,[],nil,0,3-3,204663,0,100031303,0|0,1,0,-20|5,zhuxian3,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,0,0
100032301,1,2,0,"[{'attr':31,'same_id':352,'desc':'1.上阵草苗龟'},{'attr':31,'same_id':353,'desc':'2.上阵妙蛙种子'}]",请按要求上阵进行战斗,0,精灵乱斗1,2005001,0,100032301,0|0,1,2,-20|5,zhuxian3_1,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,14|21000370|1,14|350070|1
100032302,1,2,0,"[{'attr':31,'same_id':361,'desc':'1.上阵不死鸟'},{'attr':31,'same_id':347,'desc':'2.上阵小火龙'},{'attr':31,'same_id':359,'desc':'3.上阵鬼斯'}]",请按要求上阵进行战斗,0,精灵乱斗2,2005001,0,100032302,0|0,1,2,-20|5,zhuxian3_2,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,14|21000370|1,14|350070|1
100031304,1,1,0,[],nil,0,3-4,204483,0,100031304,0|0,1,0,-20|5,zhuxian4,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,0,0
100033301,1,3,0,1,请选择好友阵容通关该关卡,0,好友助阵,2005003,0,100033301,-25|-5,0,2,-25|-5,zhuxian4_1,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,14|21000370|1,14|350070|1
100031305,1,1,0,[],nil,0,3-5,204023,0,100031305,0|0,1,0,-20|5,zhuxian5,14|21000370|2,14|350070|2,0,0,8|8|5000,16|16|500,0,0
100015101,1,5,0,[],nil,0,BOSS,204753,0,100015101,0|0,1,2,-20|5,boss,0,0,0,0,14|21000370|3,14|350070|3,8|8|5000,16|16|500
100025201,1,5,0,[],nil,0,BOSS,204023,0,100025201,0|0,1,2,-20|5,boss,0,0,0,0,14|21000370|5,14|350070|5,8|8|5000,16|16|500
100035301,1,5,0,[],nil,0,BOSS,204553,0,100035301,0|0,1,2,-20|5,boss,0,0,0,0,14|21000370|10,14|350070|10,8|8|5000,16|16|500
