dropID,掉落包名,packID,randomtype,type,注释,itemID,amount,dropProb,,,
1,充值,40001,2,2,(首次)6480元宝充值额外奖励礼包,2,12960,10000,,元宝,独立随机
2,充值,40002,2,2,(首次)3280元宝充值额外奖励礼包,2,3280,10000,,元宝,独立随机
3,充值,40003,2,2,(首次)1980元宝充值额外奖励礼包,2,1980,10000,,元宝,独立随机
4,充值,40004,2,2,(首次)980元宝充值额外奖励礼包,2,3000,10000,,元宝,独立随机
5,充值,40005,2,2,0,2,680,10000,,元宝,独立随机
6,充值,40006,2,2,(首次)500元宝充值额外奖励礼包,2,2000,10000,,元宝,独立随机
7,充值,40007,2,2,(首次)300元宝充值额外奖励礼包,2,300,10000,,元宝,独立随机
8,充值,40008,2,2,(首次)60元宝充值额外奖励礼包,2,60,10000,,元宝,独立随机
9,充值,40009,2,2,6480元宝充值额外奖励礼包,2,1620,10000,,元宝,独立随机
10,充值,40010,2,2,3280元宝额外奖励礼包,2,600,10000,,元宝,独立随机
11,充值,40011,2,2,1980元宝充值额外奖励礼包,2,240,10000,,元宝,独立随机
12,充值,40012,2,2,980元宝充值额外奖励礼包,2,80,10000,,元宝,独立随机
13,充值,40013,2,2,50元月卡每日领取,2,250,10000,,元宝,独立随机
14,充值,40014,2,2,600元宝充值额外奖励礼包,2,30,10000,,元宝,独立随机
15,充值,40015,2,2,300元宝充值额外奖励礼包,2,15,10000,,元宝,独立随机
16,充值,40016,2,2,25元月卡每日领取,2,120,10000,,元宝,独立随机
17,充值,40017,2,2,25元月卡每日领取,2,120,10000,,元宝,独立随机
18,充值,40018,2,2,50元月卡每日领取,2,240,10000,,元宝,独立随机
19,充值,40019,2,2,25元周卡每日领取,2,360,10000,,元宝,独立随机
20,充值,40019,2,14,25元周卡每日领取,21000362,5,10000,,道具,独立随机
21,充值,40020,2,2,50元周卡每日领取,2,720,10000,,元宝,独立随机
22,充值,40020,2,14,50元周卡每日领取,21000384,10,10000,,道具,独立随机
23,红包钻石,8888,1,21,洗练石*1,21,1,600,,熔石,圆桌随机
24,红包钻石,8888,1,21,洗练石*2,21,2,1080,,熔石,圆桌随机
25,红包钻石,8888,1,21,洗练石*3,21,3,900,,熔石,圆桌随机
26,红包钻石,8888,1,21,洗练石*4,21,4,270,,熔石,圆桌随机
27,红包钻石,8888,1,21,洗练石*5,21,5,120,,熔石,圆桌随机
28,红包钻石,8888,1,21,洗练石*6,21,6,30,,熔石,圆桌随机
29,红包钻石,8888,1,28,刷新令*1,28,1,400,,刷新令,圆桌随机
30,红包钻石,8888,1,28,刷新令*2,28,2,720,,刷新令,圆桌随机
31,红包钻石,8888,1,28,刷新令*3,28,3,600,,刷新令,圆桌随机
32,红包钻石,8888,1,28,刷新令*4,28,4,180,,刷新令,圆桌随机
33,红包钻石,8888,1,28,刷新令*5,28,5,80,,刷新令,圆桌随机
34,红包钻石,8888,1,28,刷新令*6,28,6,20,,刷新令,圆桌随机
35,红包钻石,8888,1,2,钻石*10,2,10,1000,,元宝,圆桌随机
36,红包钻石,8888,1,2,钻石*12,2,12,1800,,元宝,圆桌随机
37,红包钻石,8888,1,2,钻石*15,2,15,1500,,元宝,圆桌随机
38,红包钻石,8888,1,2,钻石*18,2,18,450,,元宝,圆桌随机
39,红包钻石,8888,1,2,钻石*20,2,20,200,,元宝,圆桌随机
40,红包钻石,8888,1,2,钻石*30,2,30,50,,元宝,圆桌随机
41,冒险礼包,17102,2,8,银币20000,8,20000,10000,,钱币,独立随机
42,冒险礼包,17102,2,8,银币20000,8,20000,10000,,钱币,独立随机
43,冒险礼包,17102,2,8,银币20000,8,20000,10000,,钱币,独立随机
44,冒险礼包,17102,2,8,银币20000,8,20000,10000,,钱币,独立随机
45,冒险礼包,17103,2,8,银币20000,8,20000,10000,,钱币,独立随机
46,冒险礼包,17103,2,8,银币20000,8,20000,10000,,钱币,独立随机
47,冒险礼包,17103,2,8,银币20000,8,20000,10000,,钱币,独立随机
48,冒险礼包,17103,2,8,银币20000,8,20000,10000,,钱币,独立随机
49,冒险礼包,17103,2,8,银币20000,8,20000,10000,,钱币,独立随机
50,冒险礼包,17104,2,8,银币20000,8,20000,10000,,钱币,独立随机
51,冒险礼包,17104,2,8,银币20000,8,20000,10000,,钱币,独立随机
52,冒险礼包,17104,2,8,银币20000,8,20000,10000,,钱币,独立随机
53,冒险礼包,17104,2,8,银币20000,8,20000,10000,,钱币,独立随机
54,冒险礼包,17104,2,8,银币20000,8,20000,10000,,钱币,独立随机
55,冒险礼包,17105,2,8,银币20000,8,20000,10000,,钱币,独立随机
56,冒险礼包,17105,2,8,银币20000,8,20000,10000,,钱币,独立随机
57,冒险礼包,17105,2,8,银币20000,8,20000,10000,,钱币,独立随机
58,冒险礼包,17105,2,8,银币20000,8,20000,10000,,钱币,独立随机
59,冒险礼包,17105,2,8,银币20000,8,20000,10000,,钱币,独立随机
60,冒险礼包,17106,2,8,银币20000,8,20000,10000,,钱币,独立随机
61,冒险礼包,17106,2,8,银币20000,8,20000,10000,,钱币,独立随机
62,冒险礼包,17106,2,8,银币20000,8,20000,10000,,钱币,独立随机
63,冒险礼包,17106,2,8,银币20000,8,20000,10000,,钱币,独立随机
64,冒险礼包,17106,2,8,银币20000,8,20000,10000,,钱币,独立随机
65,冒险礼包,17107,2,8,银币20000,8,20000,10000,,钱币,独立随机
66,冒险礼包,17107,2,8,银币20000,8,20000,10000,,钱币,独立随机
67,冒险礼包,17107,2,8,银币20000,8,20000,10000,,钱币,独立随机
68,冒险礼包,17106,2,8,银币20000,8,20000,10000,,钱币,独立随机
69,冒险礼包,17106,2,8,银币20000,8,20000,10000,,钱币,独立随机
70,冒险礼包,17106,2,8,银币20000,8,20000,10000,,钱币,独立随机
71,冒险礼包,17107,2,8,银币20000,8,20000,10000,,钱币,独立随机
72,冒险礼包,17107,2,8,银币20000,8,20000,10000,,钱币,独立随机
73,冒险礼包,17107,2,8,银币20000,8,20000,10000,,钱币,独立随机
74,V2成就,18001,2,14,0,900002,1,10000,,道具,独立随机
75,V2成就,18001,2,14,0,800016,1,10000,,道具,独立随机
76,V7成就,18002,2,14,0,900003,1,10000,,道具,独立随机
77,V7成就,18002,2,14,0,800017,1,10000,,道具,独立随机
78,V11成就,18003,2,14,0,900004,1,10000,,道具,独立随机
79,V11成就,18003,2,14,0,800018,1,10000,,道具,独立随机
80,初始背包,9999,2,8,0,8,16000,10000,,钱币,独立随机
81,初始背包,9999,2,16,0,16,6000,10000,,精魂,独立随机
82,初始背包,9999,2,13,0,13,20,10000,,扫荡券,独立随机
83,补偿引导,9998,2,8,0,8,200000,10000,,钱币,独立随机
84,补偿引导,9998,2,16,0,16,50000,10000,,精魂,独立随机
85,引导钻石召唤,10000,2,3,皮卡丘,1000356,1,10000,,石像,独立随机
86,自主召唤,20000,2,19,5J杰尼龟,35001,1,10000,,特定掉落,独立随机
87,道具召唤1次,10001,2,0,可得C~A级精灵,10005,1,10000,,掉落包,独立随机
88,道具召唤10次,10002,2,0,可得C~A级精灵,10005,1,10000,,掉落包,独立随机
89,道具召唤10次,10002,2,0,可得C~A级精灵,10005,1,10000,,掉落包,独立随机
90,道具召唤10次,10002,2,0,可得C~A级精灵,10005,1,10000,,掉落包,独立随机
91,道具召唤10次,10002,2,0,可得C~A级精灵,10008,1,10000,,掉落包,独立随机
92,道具召唤10次,10002,2,0,可得C~A级精灵,10009,1,10000,,掉落包,独立随机
93,道具召唤10次,10002,2,0,可得C~A级精灵,10009,1,10000,,掉落包,独立随机
94,道具召唤10次,10002,2,0,可得C~A级精灵,10010,1,10000,,掉落包,独立随机
95,道具召唤10次,10002,2,0,可得C~A级精灵,10009,1,10000,,掉落包,独立随机
96,道具召唤10次,10002,2,0,可得C~A级精灵,10010,1,10000,,掉落包,独立随机
97,道具召唤10次,10002,2,0,可得C~A级精灵,10010,1,10000,,掉落包,独立随机
98,召唤1次,10003,2,0,可得B~S级精灵,10016,1,10000,,掉落包,独立随机
99,召唤10次,10004,2,0,必得S级精灵,10007,1,10000,,掉落包,独立随机
100,召唤10次,10004,2,0,必得SAB级精灵,10006,1,10000,,掉落包,独立随机
101,召唤10次,10004,2,0,必得SAB级精灵,10006,1,10000,,掉落包,独立随机
