id,droppack,prandom_prob
100120,24001,1|0|1|1|1|1|0|1|1|1|0|1|1|1|0|1|1|1|1|1
100220,24002,1|0|1|1|1|0|1|1|1|0|1|1|1|0|1|1|1|1|1|1
100320,24003,0|1|1|1|0|1|1|1|0|1|1|1|0|1|1|1|1|1|1|1
100420,24004,1|0|1|1|1|1|0|1|1|1|0|1|1|1|0|1|1|1|1|1
100520,24005,1|0|1|1|1|0|1|1|1|0|1|1|1|0|1|1|1|1|1|1
100620,24006,0|1|1|1|0|1|1|1|0|1|1|1|0|1|1|1|1|1|1|1
100720,24007,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
100820,24008,1|1|0|1|1|1|0|1|1|1|0|1|1|1|1|1|1|0|1|1
100920,24009,0|1|1|1|1|0|1|1|1|0|1|1|1|1|1|1|1|0|1|1
101020,24010,1|0|1|1|0|1|0|1|0|0|1|1|0|1|0|1|1|0|1|1
101120,24011,1|1|0|1|0|1|0|0|1|1|0|1|0|1|1|0|1|0|1|1
101220,24012,0|1|0|1|1|0|1|0|1|0|0|1|1|0|1|0|1|1|1|1
101320,24013,1|0|0|1|0|1|0|0|1|0|0|1|0|1|0|0|1|0|1|0
101420,24014,1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1
101520,24015,1|0|0|1|0|1|0|0|1|0|0|1|0|1|0|0|1|0|1|0
101620,24016,1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1
101720,24017,1|0|0|1|0|1|0|0|1|0|0|1|0|1|0|0|1|0|1|0
101820,24018,1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1
101920,24019,1|0|0|1|0|1|0|0|1|0|0|1|0|1|0|0|1|0|1|0
102020,24020,1|0|0|1|0|1|0|0|1|0|0|1|0|1|0|0|1|0|1|0
102120,24021,1|0|0|1|0|1|0|0|1|0|0|1|0|1|0|0|1|0|1|0
102220,24022,1|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|1|0|1|0
102320,24023,0|1|0|1|0|1|0|1|0|1|0|1|0|1|0|1|0|1|0|1
102420,24024,1|0|0|1|0|0|0|1|0|1|0|0|1|0|0|1|0|1|0|1
102520,24025,0|1|0|1|0|1|0|1|0|1|0|1|0|1|0|1|0|1|0|1
102620,24026,1|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|1|0|1|0
102720,24027,0|1|0|1|0|1|0|1|0|1|0|1|0|1|0|1|0|1|0|1
