id,name,type,prev,post,openlv,boss_type,boss_icon,sp,max,sceneID,area,group1,group2,group3,group4,group5,stone,stone_num,itemfirst_id,itemdrops_id,bossdrops_id,first_reward1,gold_reward,word,dropmonster,buffid,buffpose,goldenstore,silverstore,fborder,fbdepict,makingdrop
300011,世界树  难度Ⅰ,3,0,0,20,0,0,6,99999,3000,1,3000111,0,0,0,0,0,0,21062,0,21062,6,3,word_yyy003,0,1,50,0,0,1,,"[[790003,14]]"
300012,世界树  难度Ⅱ,3,0,0,30,0,0,8,99999,3000,1,3000121,0,0,0,0,0,0,21063,0,21063,8,4,word_yyy003,0,1,50,0,0,2,,"[[790003,14],[790004,14]]"
300013,世界树  难度Ⅲ,3,0,0,40,0,0,10,99999,3000,1,3000131,0,0,0,0,0,0,21064,0,21064,10,5,word_yyy003,0,1,50,0,0,3,,"[[790003,14],[790004,14]]"
300014,世界树  难度Ⅳ,3,0,0,50,0,0,12,99999,3000,1,3000141,0,0,0,0,0,0,21065,0,21065,12,6,word_yyy003,0,1,50,0,0,4,,"[[790004,14],[790005,14]]"
300015,世界树  难度Ⅴ,3,0,0,60,0,0,16,99999,3000,1,3000151,0,0,0,0,0,0,21066,0,21066,16,8,word_yyy003,0,1,50,0,0,5,,"[[790005,14],[790006,14]]"
300016,世界树  难度Ⅵ,3,0,0,70,0,0,20,99999,3000,1,3000161,0,0,0,0,0,0,21067,0,21067,20,10,word_yyy003,0,1,50,0,0,6,,"[[790006,14]]"
300111,火之岛  难度Ⅰ,3,0,0,20,0,0,6,99999,3001,1,3001111,0,0,0,0,0,0,21012,0,21012,6,3,word_yyy003,0,1,50,0,0,1,,"[[740003,14]]"
300112,火之岛  难度Ⅱ,3,0,0,30,0,0,8,99999,3001,1,3001121,0,0,0,0,0,0,21013,0,21013,8,4,word_yyy003,0,1,50,0,0,2,,"[[740003,14],[740004,14]]"
300113,火之岛  难度Ⅲ,3,0,0,40,0,0,10,99999,3001,1,3001131,0,0,0,0,0,0,21014,0,21014,10,5,word_yyy003,0,1,50,0,0,3,,"[[740003,14],[740004,14]]"
300114,火之岛  难度Ⅳ,3,0,0,50,0,0,12,99999,3001,1,3001141,0,0,0,0,0,0,21015,0,21015,12,6,word_yyy003,0,1,50,0,0,4,,"[[740004,14],[740005,14]]"
300115,火之岛  难度Ⅴ,3,0,0,60,0,0,16,99999,3001,1,3001151,0,0,0,0,0,0,21016,0,21016,16,8,word_yyy003,0,1,50,0,0,5,,"[[740005,14],[740006,14]]"
300116,火之岛  难度Ⅵ,3,0,0,70,0,0,20,99999,3001,1,3001161,0,0,0,0,0,0,21017,0,21017,20,10,word_yyy003,0,1,50,0,0,6,,"[[740006,14]]"
300211,水之岛  难度Ⅰ,3,0,0,20,0,0,6,99999,3002,1,3002111,0,0,0,0,0,0,21022,0,21022,6,3,word_yyy003,0,1,50,0,0,1,,"[[750003,14]]"
300212,水之岛  难度Ⅱ,3,0,0,30,0,0,8,99999,3002,1,3002121,0,0,0,0,0,0,21023,0,21023,8,4,word_yyy003,0,1,50,0,0,2,,"[[750003,14],[750004,14]]"
300213,水之岛  难度Ⅲ,3,0,0,40,0,0,10,99999,3002,1,3002131,0,0,0,0,0,0,21024,0,21024,10,5,word_yyy003,0,1,50,0,0,3,,"[[750003,14],[750004,14]]"
300214,水之岛  难度Ⅳ,3,0,0,50,0,0,12,99999,3002,1,3002141,0,0,0,0,0,0,21025,0,21025,12,6,word_yyy003,0,1,50,0,0,4,,"[[750004,14],[750005,14]]"
300215,水之岛  难度Ⅴ,3,0,0,60,0,0,16,99999,3002,1,3002151,0,0,0,0,0,0,21026,0,21026,16,8,word_yyy003,0,1,50,0,0,5,,"[[750005,14],[750006,14]]"
300216,水之岛  难度Ⅵ,3,0,0,70,0,0,20,99999,3002,1,3002161,0,0,0,0,0,0,21027,0,21027,20,10,word_yyy003,0,1,50,0,0,6,,"[[750006,14]]"
300311,木之岛  难度Ⅰ,3,0,0,20,0,0,6,99999,3003,1,3003111,0,0,0,0,0,0,21032,0,21032,6,3,word_yyy003,0,1,50,0,0,1,,"[[760003,14]]"
300312,木之岛  难度Ⅱ,3,0,0,30,0,0,8,99999,3003,1,3003121,0,0,0,0,0,0,21033,0,21033,8,4,word_yyy003,0,1,50,0,0,2,,"[[760003,14],[760004,14]]"
300313,木之岛  难度Ⅲ,3,0,0,40,0,0,10,99999,3003,1,3003131,0,0,0,0,0,0,21034,0,21034,10,5,word_yyy003,0,1,50,0,0,3,,"[[760003,14],[760004,14]]"
300314,木之岛  难度Ⅳ,3,0,0,50,0,0,12,99999,3003,1,3003141,0,0,0,0,0,0,21035,0,21035,12,6,word_yyy003,0,1,50,0,0,4,,"[[760004,14],[760005,14]]"
300315,木之岛  难度Ⅴ,3,0,0,60,0,0,16,99999,3003,1,3003151,0,0,0,0,0,0,21036,0,21036,16,8,word_yyy003,0,1,50,0,0,5,,"[[760005,14],[760006,14]]"
300316,木之岛  难度Ⅵ,3,0,0,70,0,0,20,99999,3003,1,3003161,0,0,0,0,0,0,21037,0,21037,20,10,word_yyy003,0,1,50,0,0,6,,"[[760006,14]]"
300411,光之岛  难度Ⅰ,3,0,0,20,0,0,6,99999,3004,1,3004111,0,0,0,0,0,0,21042,0,21042,6,3,word_yyy003,0,1,50,0,0,1,,"[[770003,14]]"
300412,光之岛  难度Ⅱ,3,0,0,30,0,0,8,99999,3004,1,3004121,0,0,0,0,0,0,21043,0,21043,8,4,word_yyy003,0,1,50,0,0,2,,"[[770003,14],[770004,14]]"
300413,光之岛  难度Ⅲ,3,0,0,40,0,0,10,99999,3004,1,3004131,0,0,0,0,0,0,21044,0,21044,10,5,word_yyy003,0,1,50,0,0,3,,"[[770003,14],[770004,14]]"
300414,光之岛  难度Ⅳ,3,0,0,50,0,0,12,99999,3004,1,3004141,0,0,0,0,0,0,21045,0,21045,12,6,word_yyy003,0,1,50,0,0,4,,"[[770004,14],[770005,14]]"
300415,光之岛  难度Ⅴ,3,0,0,60,0,0,16,99999,3004,1,3004151,0,0,0,0,0,0,21046,0,21046,16,8,word_yyy003,0,1,50,0,0,5,,"[[770005,14],[770006,14]]"
300416,光之岛  难度Ⅵ,3,0,0,70,0,0,20,99999,3004,1,3004161,0,0,0,0,0,0,21047,0,21047,20,10,word_yyy003,0,1,50,0,0,6,,"[[770006,14]]"
300511,暗之岛  难度Ⅰ,3,0,0,20,0,0,6,99999,3005,1,3005111,0,0,0,0,0,0,21052,0,21052,6,3,word_yyy003,0,1,50,0,0,1,,"[[780003,14]]"
300512,暗之岛  难度Ⅱ,3,0,0,30,0,0,8,99999,3005,1,3005121,0,0,0,0,0,0,21053,0,21053,8,4,word_yyy003,0,1,50,0,0,2,,"[[780003,14],[780004,14]]"
300513,暗之岛  难度Ⅲ,3,0,0,40,0,0,10,99999,3005,1,3005131,0,0,0,0,0,0,21054,0,21054,10,5,word_yyy003,0,1,50,0,0,3,,"[[780003,14],[780004,14]]"
300514,暗之岛  难度Ⅳ,3,0,0,50,0,0,12,99999,3005,1,3005141,0,0,0,0,0,0,21055,0,21055,12,6,word_yyy003,0,1,50,0,0,4,,"[[780004,14],[780005,14]]"
300515,暗之岛  难度Ⅴ,3,0,0,60,0,0,16,99999,3005,1,3005151,0,0,0,0,0,0,21056,0,21056,16,8,word_yyy003,0,1,50,0,0,5,,"[[780005,14],[780006,14]]"
300516,暗之岛  难度Ⅵ,3,0,0,70,0,0,20,99999,3005,1,3005161,0,0,0,0,0,0,21057,0,21057,20,10,word_yyy003,0,1,50,0,0,6,,"[[780006,14]]"
300611,金银岛  难度Ⅰ,3,0,0,25,0,0,6,99999,3006,1,3006111,0,0,0,0,0,0,21071,0,21071,6,3,word_yyy003,0,1,50,0,0,1,,"[[0,8]]"
300612,金银岛  难度Ⅱ,3,0,0,32,0,0,6,99999,3006,1,3006121,0,0,0,0,0,0,21072,0,21072,6,3,word_yyy003,0,1,50,0,0,2,,"[[0,8]]"
300613,金银岛  难度Ⅲ,3,0,0,40,0,0,6,99999,3006,1,3006131,0,0,0,0,0,0,21073,0,21073,6,3,word_yyy003,0,1,50,0,0,3,,"[[0,8]]"
300614,金银岛  难度Ⅳ,3,0,0,50,0,0,6,99999,3006,1,3006141,0,0,0,0,0,0,21074,0,21074,6,3,word_yyy003,0,1,50,0,0,4,,"[[0,8]]"
300615,金银岛  难度Ⅴ,3,0,0,60,0,0,6,99999,3006,1,3006151,0,0,0,0,0,0,21075,0,21075,6,3,word_yyy003,0,1,50,0,0,5,,"[[0,8]]"
300616,金银岛  难度Ⅵ,3,0,0,70,0,0,6,99999,3006,1,3006161,0,0,0,0,0,0,21076,0,21076,6,3,word_yyy003,0,1,50,0,0,6,,"[[0,8]]"
300711,水晶岛  难度Ⅰ,3,0,0,25,0,0,6,99999,3007,1,3007111,0,0,0,0,0,0,21081,0,21081,6,3,word_yyy003,0,1,50,0,0,1,,"[[0,16]]"
300712,水晶岛  难度Ⅱ,3,0,0,32,0,0,6,99999,3007,1,3007121,0,0,0,0,0,0,21082,0,21082,6,3,word_yyy003,0,1,50,0,0,2,,"[[0,16]]"
300713,水晶岛  难度Ⅲ,3,0,0,40,0,0,6,99999,3007,1,3007131,0,0,0,0,0,0,21083,0,21083,6,3,word_yyy003,0,1,50,0,0,3,,"[[0,16]]"
300714,水晶岛  难度Ⅳ,3,0,0,50,0,0,6,99999,3007,1,3007141,0,0,0,0,0,0,21084,0,21084,6,3,word_yyy003,0,1,50,0,0,4,,"[[0,16]]"
300715,水晶岛  难度Ⅴ,3,0,0,60,0,0,6,99999,3007,1,3007151,0,0,0,0,0,0,21085,0,21085,6,3,word_yyy003,0,1,50,0,0,5,,"[[0,16]]"
300716,水晶岛  难度Ⅵ,3,0,0,70,0,0,6,99999,3007,1,3007161,0,0,0,0,0,0,21086,0,21086,6,3,word_yyy003,0,1,50,0,0,6,,"[[0,16]]"
400011,自爆磁怪,7,0,0,0,0,40001,0,99999,4000,1,4000111,0,0,0,0,0,0,30018,0,30018,0,0,word_yyy003,0,1,50,0,0,1,,"[[0,1,20]]"
400012,夜黑魔人,7,0,0,0,0,40002,0,99999,4000,1,4000121,0,0,0,0,0,0,30019,0,30019,0,0,word_yyy003,0,1,50,0,0,1,,"[[0,1,40]]"
400013,诅咒娃娃,7,0,0,0,0,40003,0,99999,4000,1,4000131,0,0,0,0,0,0,30020,0,30020,0,0,word_yyy003,0,1,50,0,0,1,,"[[0,1,60]]"
400014,三头龙,7,0,0,0,0,40004,0,99999,4000,1,4000141,0,0,0,0,0,0,30021,0,30021,0,0,word_yyy003,0,1,50,0,0,1,,"[[0,1,80]]"
400015,达克莱伊,7,0,0,0,0,40005,0,99999,4000,1,4000151,0,0,0,0,0,0,30022,0,30022,0,0,word_yyy003,0,1,50,0,0,1,,"[[0,1,100]]"
400016,固拉多,7,0,0,0,0,40006,0,99999,4000,1,4000161,0,0,0,0,0,0,30023,0,30023,0,0,word_yyy003,0,1,50,0,0,1,,"[[0,1,120]]"
100111,初遇火箭队,1,0,100112,1,3,200632,6,99999,1001,1,1001116,0,0,0,0,0,0,80411,0,0,6,3,word_y033,0,0,0,0,0,1,一出门就遇见大反派，这可怎么办？,"[[0,8],[0,16]]"
100112,真新草地,1,100111,100113,1,3,200632,6,99999,1001,2,1001121,1001126,0,0,0,0,0,80412,0,0,6,3,word_y033,0,0,0,0,0,2,顺利战胜火箭队后终于踏上轻松的旅途,"[[0,8],[0,16]]"
100113,真新广场,1,100112,100114,1,3,200632,6,99999,1001,2,1001131,1001136,0,0,0,0,0,80413,0,0,6,3,word_y033,0,0,0,0,0,3,繁华的广场，这是我的家！,"[[0,8],[0,16]]"
100114,真新小道,1,100113,100115,1,3,200632,6,99999,1001,1,1001146,0,0,0,0,0,0,80414,0,0,6,3,word_y033,0,0,0,0,0,4,静谧的小道，周边的人似乎很友好,"[[0,8],[0,16]]"
100115,宿敌的挑战,1,100114,100116,1,2,204031,6,99999,1001,2,1001151,1001156,0,0,0,0,0,80415,0,0,6,3,word_y033,0,0,0,0,0,5,小茂的出现，能够奠定主角的地位？,"[[0,8],[0,16]]"
100116,博士的诱惑,1,100115,100117,1,3,200632,6,99999,1001,2,1001161,1001166,0,0,0,0,0,80416,0,0,6,3,word_y033,0,0,0,0,0,6,女人最喜欢的是什么呢？,"[[0,8],[0,16]]"
100117,1号道路,1,100116,100118,1,3,200632,6,99999,1001,2,1001171,1001176,0,0,0,0,0,80417,23001,0,6,3,word_y033,0,0,0,0,0,7,这条名为1号的道路通向何方,"[[0,8],[0,16]]"
100118,真新郊外,1,100117,100119,1,3,200632,6,99999,1001,2,1001181,1001186,0,0,0,0,0,80418,23001,0,6,3,word_y033,0,0,0,0,0,8,郊外透露出一股平和的气息,"[[0,8],[0,16]]"
100119,喵？,1,100118,100120,1,3,200632,6,99999,1001,2,1001191,1001196,0,0,0,0,0,80419,23001,0,6,3,word_y033,0,0,0,0,0,9,会说话的喵喵怪,"[[0,8],[0,16]]"
100120,博士的考验,1,100119,200111|100211,1,1,204612,6,99999,1001,2,1001201,1001206,0,0,0,0,0,80420,23001,0,6,3,word_y033,0,0,0,0,0,10,来自红豆杉博士最后的叮嘱,"[[790003,14]]"
100211,8号道路,1,100120,100212,1,3,200632,6,99999,1002,2,1002111,1002116,0,0,0,0,0,80421,23001,0,6,3,word_y033,0,0,0,0,0,1,道路尽头是栋古色古香的建筑,"[[0,8],[0,16]]"
100212,古香水族馆,1,100211,100213,1,3,200632,6,99999,1002,2,1002121,1002126,0,0,0,0,0,80422,23001,0,6,3,word_y033,0,1,50,0,0,2,一座只有鲤鱼王的水族馆,"[[0,8],[0,16]]"
100213,古香旅馆,1,100212,100214,1,3,200632,6,99999,1002,2,1002131,1002136,0,0,0,0,0,80423,23001,0,6,3,word_y033,0,1,50,0,0,3,这家旅馆看起来饱经风霜,"[[0,8],[0,16]]"
100214,密道,1,100213,100215,1,3,200632,6,99999,1002,2,1002141,1002146,0,0,0,0,0,80424,23001,0,6,3,word_y033,0,1,50,0,0,4,旅馆的墙壁中竟然藏着密道,"[[0,8],[0,16]]"
100215,闪耀洞窟,1,100214,100216,1,2,-204373,6,99999,1002,2,1002151,1002156,0,0,0,0,0,80425,23001,0,6,3,word_y033,0,1,50,0,0,5,洞穴的壁上遍布闪闪发亮的光点,"[[0,8],[0,16]]"
100216,化石研究所,1,100215,100217,1,3,200632,6,99999,1002,2,1002161,1002166,0,0,0,0,0,80426,23001,0,6,3,word_y033,0,1,50,0,0,6,一块硕大的化石摆放在展厅中间,"[[0,8],[0,16]]"
100217,化石遗址,1,100216,100218,1,3,200632,6,99999,1002,2,1002171,1002176,0,0,0,0,0,80427,23001,0,6,3,word_y033,0,1,50,0,0,7,遗址的围栏上写着：闲人勿进,"[[0,8],[0,16]]"
100218,火箭队踪迹,1,100217,100219,1,3,200632,6,99999,1002,2,1002181,1002186,0,0,0,0,0,80428,23001,0,6,3,word_y033,0,1,50,0,0,8,鬼鬼祟祟的火箭队出现了！,"[[0,8],[0,16]]"
100219,福爷的家,1,100218,100220,1,3,200632,6,99999,1002,2,1002191,1002196,0,0,0,0,0,80429,23001,0,6,3,word_y033,0,1,50,0,0,9,福爷的家就像是一个植物园,"[[0,8],[0,16]]"
100220,吉宪的礼物,1,100219,200211|100311,1,1,204583,6,99999,1002,2,1002201,1002206,0,0,0,0,0,80430,23001,0,6,3,word_y033,0,1,50,0,0,10,乱入！暴鲤龙！,"[[750003,14]]"
100311,港口,1,100220,100312,1,3,200632,6,99999,1003,2,1003111,1003116,0,0,0,0,0,80431,23001,0,6,3,word_y033,0,1,50,0,0,1,伴随汽笛声，新的征程开始了,"[[0,8],[0,16]]"
100312,栈道,1,100311,100313,1,3,200632,6,99999,1003,2,1003121,1003126,0,0,0,0,0,80432,23001,0,6,3,word_y033,0,1,50,0,0,2,走过长长的栈道才能上岸,"[[0,8],[0,16]]"
100313,冰晶山,1,100312,100314,1,3,200632,6,99999,1003,2,1003131,1003136,0,0,0,0,0,80433,23001,0,6,3,word_y033,0,1,50,0,0,3,那颗闪闪发亮的冰晶让人垂涎,"[[0,8],[0,16]]"
100314,冰涟宝贝中心,1,100313,100315,1,3,200632,6,99999,1003,2,1003141,1003146,0,0,0,0,0,80434,23001,0,6,3,word_y033,0,1,50,0,0,4,这是大陆上常见的小精灵中心,"[[0,8],[0,16]]"
