lv,exp,power,sp,addsp,maxexp,maxpower,maxsp,friends_num,gift_num,getgift_num,levelup,star,evo,skill_up,equip,enchant,strengthen,lottery,visit,cleanUp,golden_finger,golden_soul,decompose,hard_fb,keepfb,online_package,mission,maze,eat,explore,friends,chatroom,pvp,rank,daily_pvp,union,fairy,relicfb,active_chapter,get_money1,get_exp1,blessedSpot,ambition,ticket,ticket_ex,dlcfb,rob,refine,refine_fabao,refine_equip,hotunits,heavenstore,sliverstore,goldenstore,units_compose,equip_compose,one_gift,several_gift,spar,atk_monster,golden_sliver_hill,novice_gift,knowledge,limit_time_gift,family,gve,random_compose,golden_city,player_equipment,pvp_tower
1,0,0,0,0,61,10,61,20,20,20,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2,6,2,1,72,62,12,62,20,20,20,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
3,12,2,1,13,63,14,63,20,20,20,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
4,12,2,1,14,64,16,64,20,20,20,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
5,24,2,1,15,65,18,65,20,20,20,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
6,30,2,1,16,66,20,66,20,20,20,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
7,36,2,1,17,67,22,67,20,20,20,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
8,50,2,1,18,68,24,68,20,20,20,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
9,65,2,1,19,69,26,69,20,20,20,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
10,80,2,1,20,70,28,70,20,20,20,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
