id,group,ranking,title,comment,condition,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3,type|itemID|amount4,type|itemID|amount5,grad_png
1,1,1,神魔争霸赛季奖励,积分：1500，主动战斗场次：50，排名前：1%,1500|50,8|8|100000,,,,,80042
2,1,10,神魔争霸赛季奖励,积分：1350，主动战斗场次：35，排名前：10%,1350|35,8|8|100000,,,,,80043
3,1,30,神魔争霸赛季奖励,积分：1250，主动战斗场次：25，排名前：30%,1250|25,8|8|100000,,,,,80044
4,1,60,神魔争霸赛季奖励,积分：1100，主动战斗场次：10，排名前：60%,1100|10,8|8|100000,,,,,80045
5,1,0,神魔争霸赛季奖励,积分：1000，主动战斗场次：2,1000|2,8|8|100000,,,,,80046
6,2,1,神魔争霸赛季奖励,积分：1500，主动战斗场次：50，排名前：1%,1500|50,8|8|100000,,,,,80042
7,2,10,神魔争霸赛季奖励,积分：1350，主动战斗场次：35，排名前：10%,1350|35,8|8|100000,,,,,80043
8,2,30,神魔争霸赛季奖励,积分：1250，主动战斗场次：25，排名前：30%,1250|25,8|8|100000,,,,,80044
9,2,60,神魔争霸赛季奖励,积分：1100，主动战斗场次：10，排名前：60%,1100|10,8|8|100000,,,,,80045
10,2,0,神魔争霸赛季奖励,积分：1000，主动战斗场次：2,1000|2,8|8|100000,,,,,80046
11,3,1,神魔争霸赛季奖励,积分：1500，主动战斗场次：50，排名前：1%,1500|50,8|8|100000,,,,,80042
12,3,10,神魔争霸赛季奖励,积分：1350，主动战斗场次：35，排名前：10%,1350|35,8|8|100000,,,,,80043
13,3,30,神魔争霸赛季奖励,积分：1250，主动战斗场次：25，排名前：30%,1250|25,8|8|100000,,,,,80044
14,3,60,神魔争霸赛季奖励,积分：1100，主动战斗场次：10，排名前：60%,1100|10,8|8|100000,,,,,80045
15,3,0,神魔争霸赛季奖励,积分：1000，主动战斗场次：2,1000|2,8|8|100000,,,,,80046
16,4,1,神魔争霸赛季奖励,积分：1500，主动战斗场次：50，排名前：1%,1500|50,8|8|100000,,,,,80042
17,4,10,神魔争霸赛季奖励,积分：1350，主动战斗场次：35，排名前：10%,1350|35,8|8|100000,,,,,80043
18,4,30,神魔争霸赛季奖励,积分：1250，主动战斗场次：25，排名前：30%,1250|25,8|8|100000,,,,,80044
19,4,60,神魔争霸赛季奖励,积分：1100，主动战斗场次：10，排名前：60%,1100|10,8|8|100000,,,,,80045
20,4,0,神魔争霸赛季奖励,积分：1000，主动战斗场次：2,1000|2,8|8|100000,,,,,80046
21,5,1,神魔争霸赛季奖励,积分：1500，主动战斗场次：50，排名前：1%,1500|50,8|8|100000,,,,,80042
22,5,10,神魔争霸赛季奖励,积分：1350，主动战斗场次：35，排名前：10%,1350|35,8|8|100000,,,,,80043
23,5,30,神魔争霸赛季奖励,积分：1250，主动战斗场次：25，排名前：30%,1250|25,8|8|100000,,,,,80044
24,5,60,神魔争霸赛季奖励,积分：1100，主动战斗场次：10，排名前：60%,1100|10,8|8|100000,,,,,80045
25,5,0,神魔争霸赛季奖励,积分：1000，主动战斗场次：2,1000|2,8|8|100000,,,,,80046
26,6,1,神魔争霸赛季奖励,积分：1500，主动战斗场次：50，排名前：1%,1500|50,8|8|100000,,,,,80042
27,6,10,神魔争霸赛季奖励,积分：1350，主动战斗场次：35，排名前：10%,1350|35,8|8|100000,,,,,80043
28,6,30,神魔争霸赛季奖励,积分：1250，主动战斗场次：25，排名前：30%,1250|25,8|8|100000,,,,,80044
29,6,60,神魔争霸赛季奖励,积分：1100，主动战斗场次：10，排名前：60%,1100|10,8|8|100000,,,,,80045
30,6,0,神魔争霸赛季奖励,积分：1000，主动战斗场次：2,1000|2,8|8|100000,,,,,80046
31,7,1,神魔争霸赛季奖励,积分：1500，主动战斗场次：50，排名前：1%,1500|50,8|8|100000,,,,,80042
32,7,10,神魔争霸赛季奖励,积分：1350，主动战斗场次：35，排名前：10%,1350|35,8|8|100000,,,,,80043
33,7,30,神魔争霸赛季奖励,积分：1250，主动战斗场次：25，排名前：30%,1250|25,8|8|100000,,,,,80044
34,7,60,神魔争霸赛季奖励,积分：1100，主动战斗场次：10，排名前：60%,1100|10,8|8|100000,,,,,80045
35,7,0,神魔争霸赛季奖励,积分：1000，主动战斗场次：2,1000|2,8|8|100000,,,,,80046
36,8,1,神魔争霸赛季奖励,积分：1500，主动战斗场次：50，排名前：1%,1500|50,8|8|100000,,,,,80042
37,8,10,神魔争霸赛季奖励,积分：1350，主动战斗场次：35，排名前：10%,1350|35,8|8|100000,,,,,80043
38,8,30,神魔争霸赛季奖励,积分：1250，主动战斗场次：25，排名前：30%,1250|25,8|8|100000,,,,,80044
39,8,60,神魔争霸赛季奖励,积分：1100，主动战斗场次：10，排名前：60%,1100|10,8|8|100000,,,,,80045
40,8,0,神魔争霸赛季奖励,积分：1000，主动战斗场次：2,1000|2,8|8|100000,,,,,80046
