ID,goldcount,count
1,0,0
2,300,1
3,3000,2
4,8000,3
5,13000,4
6,18000,5
7,25000,6
8,32000,7
9,40000,8
10,50000,9
11,60000,10
12,70000,11
13,80000,12
14,90000,13
15,100000,14
16,110000,15
17,120000,16
18,130000,17
19,140000,18
20,150000,19
21,160000,20
22,170000,21
23,180000,22
24,190000,23
25,200000,24
26,210000,25
27,220000,26
28,230000,27
29,240000,28
30,250000,29
31,260000,30
32,270000,31
33,280000,32
34,290000,33
35,300000,34
36,310000,35
37,320000,36
38,330000,37
39,340000,38
40,350000,39
41,360000,40
42,370000,41
43,380000,42
44,390000,43
45,400000,44
46,410000,45
47,420000,46
48,430000,47
49,440000,48
50,450000,49
51,460000,50
52,470000,51
53,480000,52
54,490000,53
55,500000,54
56,510000,55
57,520000,56
58,530000,57
59,540000,58
60,550000,59
61,560000,60
62,570000,61
63,580000,62
64,590000,63
65,600000,64
66,610000,65
67,620000,66
68,630000,67
69,640000,68
70,650000,69
71,660000,70
72,670000,71
73,680000,72
74,690000,73
75,700000,74
76,710000,75
77,720000,76
78,730000,77
79,740000,78
80,750000,79
81,760000,80
82,770000,81
83,780000,82
84,790000,83
85,800000,84
86,810000,85
87,820000,86
88,830000,87
89,840000,88
90,850000,89
91,860000,90
92,870000,91
93,880000,92
94,890000,93
95,900000,94
96,910000,95
97,920000,96
98,930000,97
99,940000,98
100,950000,99
101,960000,100
102,970000,101
103,980000,102
104,990000,103
105,1000000,104
106,1010000,105
107,1020000,106
108,1030000,107
109,1040000,108
110,1050000,109
111,1060000,110
112,1070000,111
113,1080000,112
114,1090000,113
115,1100000,114
116,1110000,115
117,1120000,116
118,1130000,117
119,1140000,118
120,1150000,119
121,1160000,120
122,1170000,121
123,1180000,122
124,1190000,123
125,1200000,124
126,1210000,125
127,1220000,126
128,1230000,127
129,1240000,128
130,1250000,129
131,1260000,130
132,1270000,131
133,1280000,132
134,1290000,133
135,1300000,134
136,1310000,135
137,1320000,136
138,1330000,137
139,1340000,138
140,1350000,139
141,1360000,140
142,1370000,141
143,1380000,142
144,1390000,143
145,1400000,144
146,1410000,145
147,1420000,146
148,1430000,147
149,1440000,148
150,1450000,149
151,1460000,150
152,1470000,151
153,1480000,152
154,1490000,153
155,1500000,154
156,1510000,155
157,1520000,156
158,1530000,157
159,1540000,158
160,1550000,159
161,1560000,160
162,1570000,161
163,1580000,162
164,1590000,163
165,1600000,164
