id,droptype,,dropProb,itemtype,itemid ,price,timesLimit,producttype,productID,amount,openlevel
10101,1,彩虹百货,400,16,0,400,1,3,1000301,1,0
10102,1,彩虹百货,400,16,0,400,1,3,1000302,1,0
10103,1,彩虹百货,400,16,0,400,1,3,1000303,1,0
10104,1,彩虹百货,400,16,0,400,1,3,1000304,1,0
10105,1,彩虹百货,400,16,0,400,1,3,1000305,1,0
10106,1,彩虹百货,400,16,0,400,1,3,1000306,1,0
10107,1,彩虹百货,400,16,0,400,1,3,1000307,1,0
10108,1,彩虹百货,400,16,0,400,1,3,1000308,1,0
10109,1,彩虹百货,400,16,0,400,1,3,1000309,1,0
10110,1,彩虹百货,400,16,0,400,1,3,1000310,1,0
10111,1,彩虹百货,400,16,0,400,1,3,1000311,1,0
10112,1,彩虹百货,400,16,0,400,1,3,1000312,1,0
10113,1,彩虹百货,400,16,0,400,1,3,1000313,1,0
10114,1,彩虹百货,400,16,0,400,1,3,1000314,1,0
10115,1,彩虹百货,400,16,0,400,1,3,1000315,1,0
10116,1,彩虹百货,200,16,0,3000,1,3,1000316,1,0
10117,1,彩虹百货,200,16,0,3000,1,3,1000317,1,0
10118,1,彩虹百货,200,16,0,3000,1,3,1000318,1,0
10119,1,彩虹百货,200,16,0,3000,1,3,1000319,1,0
10120,1,彩虹百货,200,16,0,3000,1,3,1000320,1,0
10121,1,彩虹百货,200,16,0,3000,1,3,1000321,1,0
10122,1,彩虹百货,200,16,0,3000,1,3,1000322,1,0
10123,1,彩虹百货,200,16,0,3000,1,3,1000323,1,0
10124,1,彩虹百货,200,16,0,3000,1,3,1000324,1,0
10125,1,彩虹百货,200,16,0,3000,1,3,1000325,1,0
10126,1,彩虹百货,200,16,0,3000,1,3,1000326,1,0
10127,1,彩虹百货,200,16,0,3000,1,3,1000327,1,0
10128,1,彩虹百货,200,16,0,3000,1,3,1000328,1,0
10129,1,彩虹百货,200,16,0,3000,1,3,1000329,1,0
10130,1,彩虹百货,200,16,0,3000,1,3,1000330,1,0
10131,1,彩虹百货,90,16,0,20000,1,3,1000331,1,0
10132,1,彩虹百货,90,16,0,20000,1,3,1000332,1,0
10133,1,彩虹百货,0,16,0,20000,1,3,1000333,1,0
10134,1,彩虹百货,0,16,0,20000,1,3,1000334,1,0
10135,1,彩虹百货,90,16,0,20000,1,3,1000335,1,0
10136,1,彩虹百货,90,16,0,20000,1,3,1000336,1,0
10137,1,彩虹百货,90,16,0,20000,1,3,1000337,1,0
10138,1,彩虹百货,90,16,0,20000,1,3,1000338,1,0
10139,1,彩虹百货,0,16,0,20000,1,3,1000339,1,0
10140,1,彩虹百货,90,16,0,20000,1,3,1000340,1,0
10141,1,彩虹百货,0,16,0,20000,1,3,1000341,1,0
10142,1,彩虹百货,90,16,0,20000,1,3,1000342,1,0
10143,1,彩虹百货,90,16,0,20000,1,3,1000343,1,0
10144,1,彩虹百货,90,16,0,20000,1,3,1000344,1,0
10145,1,彩虹百货,0,16,0,20000,1,3,1000345,1,0
10201,2,彩虹百货,400,16,0,400,1,3,1000301,1,0
10202,2,彩虹百货,400,16,0,400,1,3,1000302,1,0
10203,2,彩虹百货,400,16,0,400,1,3,1000303,1,0
10204,2,彩虹百货,400,16,0,400,1,3,1000304,1,0
10205,2,彩虹百货,400,16,0,400,1,3,1000305,1,0
10206,2,彩虹百货,400,16,0,400,1,3,1000306,1,0
10207,2,彩虹百货,400,16,0,400,1,3,1000307,1,0
10208,2,彩虹百货,400,16,0,400,1,3,1000308,1,0
10209,2,彩虹百货,400,16,0,400,1,3,1000309,1,0
10210,2,彩虹百货,400,16,0,400,1,3,1000310,1,0
10211,2,彩虹百货,400,16,0,400,1,3,1000311,1,0
10212,2,彩虹百货,400,16,0,400,1,3,1000312,1,0
10213,2,彩虹百货,400,16,0,400,1,3,1000313,1,0
10214,2,彩虹百货,400,16,0,400,1,3,1000314,1,0
10215,2,彩虹百货,400,16,0,400,1,3,1000315,1,0
10216,2,彩虹百货,200,16,0,3000,1,3,1000316,1,0
10217,2,彩虹百货,200,16,0,3000,1,3,1000317,1,0
10218,2,彩虹百货,200,16,0,3000,1,3,1000318,1,0
10219,2,彩虹百货,200,16,0,3000,1,3,1000319,1,0
10220,2,彩虹百货,200,16,0,3000,1,3,1000320,1,0
10221,2,彩虹百货,200,16,0,3000,1,3,1000321,1,0
10222,2,彩虹百货,200,16,0,3000,1,3,1000322,1,0
10223,2,彩虹百货,200,16,0,3000,1,3,1000323,1,0
10224,2,彩虹百货,200,16,0,3000,1,3,1000324,1,0
10225,2,彩虹百货,200,16,0,3000,1,3,1000325,1,0
10226,2,彩虹百货,200,16,0,3000,1,3,1000326,1,0
10227,2,彩虹百货,200,16,0,3000,1,3,1000327,1,0
10228,2,彩虹百货,200,16,0,3000,1,3,1000328,1,0
10229,2,彩虹百货,200,16,0,3000,1,3,1000329,1,0
10230,2,彩虹百货,200,16,0,3000,1,3,1000330,1,0
10301,3,彩虹百货,700,16,0,300,1,14,740003,3,1
10302,3,彩虹百货,700,16,0,300,1,14,750003,3,1
10303,3,彩虹百货,700,16,0,300,1,14,760003,3,1
10304,3,彩虹百货,700,16,0,300,1,14,770003,3,1
10305,3,彩虹百货,700,16,0,300,1,14,780003,3,1
