ID,group,acc_login,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3,type|itemID|amount4
1001,1,1,28|28|5,21|21|5,25|25|5,0
1002,1,2,28|28|10,21|21|10,25|25|10,0
1003,1,3,28|28|15,21|21|15,25|25|15,0
1004,1,4,28|28|20,21|21|20,25|25|20,0
1005,1,5,28|28|25,21|21|25,25|25|25,0
1006,1,6,28|28|30,21|21|30,25|25|30,0
1007,1,7,28|28|35,21|21|35,25|25|35,0
2001,2,1,21|21|5,0,0,0
2002,2,2,21|21|10,0,0,0
2003,2,3,21|21|15,0,0,0
2004,2,4,21|21|20,0,0,0
2005,2,5,21|21|25,0,0,0
2006,2,6,21|21|30,0,0,0
2007,2,7,21|21|35,0,0,0
