step,color,step_show,level,attr_mul,skill_lvup,enchant_num,advanced_cost
1,1,0,10,2,1,0,100
2,2,0,15,3,2,2,500
3,2,1,20,4,3,0,1000
4,3,0,25,5,4,2,2000
5,3,1,30,7,5,0,5000
6,3,2,35,9,6,0,10000
7,4,0,40,11,7,2,15000
8,4,1,45,13,8,0,20000
9,4,2,50,15,9,0,30000
10,4,3,55,17,10,0,40000
11,5,0,60,19,11,2,50000
12,5,1,65,21,12,0,60000
13,5,2,70,24,13,0,80000
14,5,3,75,27,14,0,100000
15,5,4,80,30,15,0,150000
16,6,0,85,34,16,2,200000
17,6,1,90,38,17,0,300000
18,6,2,95,42,18,0,500000
19,6,3,100,46,19,0,700000
20,7,0,105,52,20,0,1000000
21,7,1,110,58,21,0,1500000
22,7,2,0,64,22,0,0
