adventureTime,second,rarity,expGet,packID
1,3600,1,10,10001
1,3600,2,20,10001
1,3600,3,30,10001
1,3600,4,40,10001
1,3600,5,50,10001
2,10800,1,20,10001
2,10800,2,40,10001
2,10800,3,60,10001
2,10800,4,80,10001
2,10800,5,100,10001
3,18000,1,30,10001
3,18000,2,60,10001
3,18000,3,90,10001
3,18000,4,120,10001
3,18000,5,150,10001
4,36000,1,55,10001
4,36000,2,110,10001
4,36000,3,165,10001
4,36000,4,220,10001
4,36000,5,275,10001
5,72000,1,105,10001
5,72000,2,210,10001
5,72000,3,315,10001
5,72000,4,420,10001
5,72000,5,525,10001
