group,open_type,npc_pic,name_pic
1,1,60150_22.png,5word_1616_22.png
2,1,60150_23.png,5word_1616_23.png
3,1,60150_24.png,5word_1616_24.png
4,1,60150_38.png,5word_1616_38.png
5,1,60150_39.png,5word_1616_39.png
6,1,60150_28.png,5word_1616_28.png
7,1,60150_34.png,5word_1616_34.png
8,1,60150_32.png,5word_1616_32.png
9,1,60150_31.png,5word_1616_31.png
10,1,60150_30.png,5word_1616_30.png
11,1,60150_27.png,5word_1616_27.png
12,1,60150_41.png,5word_1616_41.png
1,2,60150_35.png,5word_1616_35.png
2,2,60150_37.png,5word_1616_37.png
3,2,60150_29.png,5word_1616_29.png
4,2,60150_40.png,5word_1616_40.png
