id,monster_id,monster_size,monster_hp,monster_prob,drop_id
1,3000175,0,10,0,0
2,3000179,0,10,0,0
3,3000177,0,10,0,0
4,3000246,0,10,0,0
5,3000248,0,10,0,0
6,3000105,0,10,0,0
7,3000054,0,10,0,0
8,3000109,0,10,0,0
9,6100333,0,10,0,0
10,3000063,0,10,0,0
11,1100052,2,20,2,0
12,1100053,2,20,2,0
13,1100054,2,20,1,0
14,6000007,1,100,0,0
15,3000112,1,200,0,0
16,6100470,1,500,0,0
17,6000014,1,100,0,0
18,6000035,1,200,0,0
19,6000160,1,500,0,0
20,6000021,1,100,0,0
21,6000184,1,200,0,0
22,6000190,1,500,0,0
23,6000028,1,100,0,0
24,6100240,1,200,0,0
25,6100260,1,500,0,0
26,6100573,0,10,0,0
27,3000169,0,10,0,0
28,3000163,0,10,0,0
29,6100453,0,10,0,0
