id,equip_reward1,equip_reward2,mat_reward1,mat_reward2
10001,5|5|100,16|16|1000,0,0
10002,5|5|100,16|16|1000,0,0
10003,5|5|100,16|16|1000,0,0
10004,5|5|100,16|16|1000,0,0
10005,5|5|100,16|16|1000,0,0
20001,5|5|100,16|16|1000,0,0
20002,5|5|100,16|16|1000,0,0
20003,5|5|100,16|16|1000,0,0
20004,5|5|100,16|16|1000,0,0
20005,5|5|100,16|16|1000,0,0
30001,5|5|100,16|16|1000,0,0
30002,5|5|100,16|16|1000,0,0
30003,5|5|100,16|16|1000,0,0
30004,5|5|100,16|16|1000,0,0
30005,5|5|100,16|16|1000,0,0
40001,5|5|100,16|16|1000,0,0
40002,5|5|100,16|16|1000,0,0
40003,5|5|100,16|16|1000,0,0
40004,5|5|100,16|16|1000,0,0
40005,5|5|100,16|16|1000,0,0
50031,5|5|600,16|16|6000,0,0
50032,5|5|600,16|16|6000,0,0
50033,5|5|600,16|16|6000,0,0
50034,5|5|600,16|16|6000,0,0
50035,5|5|600,16|16|6000,0,0
50036,5|5|600,16|16|6000,0,0
50037,5|5|600,16|16|6000,0,0
50038,5|5|600,16|16|6000,0,0
50039,5|5|600,16|16|6000,0,0
50040,5|5|600,16|16|6000,0,0
50041,5|5|600,16|16|6000,0,0
50042,5|5|600,16|16|6000,0,0
50043,5|5|600,16|16|6000,0,0
50044,5|5|600,16|16|6000,0,0
50045,5|5|600,16|16|6000,0,0
50046,5|5|600,16|16|6000,0,0
50047,5|5|600,16|16|6000,0,0
50048,5|5|600,16|16|6000,0,0
50049,5|5|600,16|16|6000,0,0
50050,5|5|600,16|16|6000,0,0
50051,5|5|600,16|16|6000,0,0
50052,5|5|600,16|16|6000,0,0
50053,5|5|600,16|16|6000,0,0
50054,5|5|600,16|16|6000,0,0
50055,5|5|600,16|16|6000,0,0
50056,5|5|600,16|16|6000,0,0
50057,5|5|600,16|16|6000,0,0
50058,5|5|600,16|16|6000,0,0
50059,5|5|600,16|16|6000,0,0
50060,5|5|600,16|16|6000,0,0
50061,5|5|720,16|16|7200,0,0
50062,5|5|720,16|16|7200,0,0
50063,5|5|720,16|16|7200,0,0
50064,5|5|720,16|16|7200,0,0
50065,5|5|720,16|16|7200,0,0
50066,5|5|720,16|16|7200,0,0
50067,5|5|720,16|16|7200,0,0
50068,5|5|720,16|16|7200,0,0
50069,5|5|600,16|16|6000,0,0
50070,5|5|600,16|16|6000,0,0
50071,5|5|960,16|16|9600,0,0
50072,5|5|960,16|16|9600,0,0
50073,5|5|960,16|16|9600,0,0
50074,5|5|960,16|16|9600,0,0
50075,5|5|960,16|16|9600,0,0
50076,5|5|600,16|16|6000,0,0
50077,5|5|600,16|16|6000,0,0
50078,5|5|600,16|16|6000,0,0
50079,5|5|600,16|16|6000,0,0
50080,5|5|720,16|16|7200,0,0
50081,5|5|720,16|16|7200,0,0
50082,5|5|720,16|16|7200,0,0
50083,5|5|720,16|16|7200,0,0
50084,5|5|720,16|16|7200,0,0
50085,5|5|720,16|16|7200,0,0
50086,5|5|600,16|16|6000,0,0
50087,5|5|600,16|16|6000,0,0
50088,5|5|600,16|16|6000,0,0
50089,5|5|720,16|16|7200,0,0
50090,5|5|720,16|16|7200,0,0
50094,5|5|720,16|16|7200,0,0
700001,0,0,5|5|1,16|16|50
700002,0,0,5|5|10,16|16|100
700003,0,0,5|5|20,16|16|200
700004,0,0,5|5|40,16|16|400
700005,0,0,5|5|200,16|16|2000
700006,0,0,5|5|400,16|16|4000
700007,0,0,5|5|1000,16|16|10000
710001,0,0,5|5|1,16|16|10
710002,0,0,5|5|5,16|16|50
710003,0,0,5|5|10,16|16|100
710004,0,0,5|5|20,16|16|200
710005,0,0,5|5|100,16|16|1000
710006,0,0,5|5|200,16|16|2000
710007,0,0,5|5|500,16|16|5000
720001,0,0,5|5|1,16|16|10
720002,0,0,5|5|5,16|16|50
720003,0,0,5|5|10,16|16|100
720004,0,0,5|5|20,16|16|200
720005,0,0,5|5|100,16|16|1000
720006,0,0,5|5|200,16|16|2000
720007,0,0,5|5|500,16|16|5000
730001,0,0,5|5|1,16|16|10
730002,0,0,5|5|5,16|16|50
730003,0,0,5|5|10,16|16|100
730004,0,0,5|5|20,16|16|200
730005,0,0,5|5|100,16|16|1000
730006,0,0,5|5|200,16|16|2000
730007,0,0,5|5|500,16|16|5000
740001,0,0,5|5|1,16|16|10
740002,0,0,5|5|5,16|16|50
740003,0,0,5|5|10,16|16|100
740004,0,0,5|5|20,16|16|200
740005,0,0,5|5|100,16|16|1000
740006,0,0,5|5|200,16|16|2000
740007,0,0,5|5|500,16|16|5000
750001,0,0,5|5|1,16|16|10
750002,0,0,5|5|5,16|16|50
750003,0,0,5|5|10,16|16|100
750004,0,0,5|5|20,16|16|200
750005,0,0,5|5|100,16|16|1000
750006,0,0,5|5|200,16|16|2000
750007,0,0,5|5|500,16|16|5000
760001,0,0,5|5|1,16|16|10
760002,0,0,5|5|5,16|16|50
760003,0,0,5|5|10,16|16|100
760004,0,0,5|5|20,16|16|200
