step,defend_event_type,defend_event_argv,attack_event_type,attack_event_argv
1,1,2221,1,2221
2,1,2221,1,2221
3,1,2222,1,2222
4,2,2224,2,2224
5,1,2222,1,2222
6,1,2222,1,2222
7,1,2223,1,2223
8,1,2223,1,2223
9,2,2225,2,2225
10,3,0,3,0
11,1,2221,1,2221
12,1,2221,1,2221
13,1,2222,1,2222
14,2,2224,2,2224
15,1,2222,1,2222
16,1,2222,1,2222
17,1,2223,1,2223
18,1,2223,1,2223
19,2,2225,2,2225
20,3,0,3,0
21,1,2221,1,2221
22,1,2221,1,2221
23,1,2222,1,2222
24,2,2224,2,2224
25,1,2222,1,2222
26,1,2222,1,2222
27,1,2223,1,2223
28,1,2223,1,2223
29,2,2225,2,2225
30,3,0,3,0
31,1,2221,1,2221
32,1,2221,1,2221
33,1,2222,1,2222
34,2,2224,2,2224
35,1,2222,1,2222
36,1,2222,1,2222
37,1,2223,1,2223
38,1,2223,1,2223
39,2,2225,2,2225
40,3,0,3,0
41,1,2221,1,2221
42,1,2221,1,2221
43,1,2222,1,2222
44,2,2224,2,2224
45,1,2222,1,2222
46,1,2222,1,2222
47,1,2223,1,2223
48,1,2223,1,2223
49,2,2225,2,2225
50,3,0,3,0
51,1,2221,1,2221
52,1,2221,1,2221
53,1,2222,1,2222
54,2,2224,2,2224
55,1,2222,1,2222
56,1,2222,1,2222
57,1,2223,1,2223
58,1,2223,1,2223
59,2,2225,2,2225
60,3,0,3,0
61,1,2221,1,2221
62,1,2221,1,2221
63,1,2222,1,2222
64,2,2224,2,2224
65,1,2222,1,2222
66,1,2222,1,2222
67,1,2223,1,2223
68,1,2223,1,2223
69,2,2225,2,2225
70,3,0,3,0
71,1,2221,1,2221
72,1,2221,1,2221
73,1,2222,1,2222
74,2,2224,2,2224
75,1,2222,1,2222
76,1,2222,1,2222
77,1,2223,1,2223
78,1,2223,1,2223
79,2,2225,2,2225
80,3,0,3,0
81,1,2221,1,2221
82,1,2221,1,2221
83,1,2222,1,2222
84,2,2224,2,2224
85,1,2222,1,2222
86,1,2222,1,2222
87,1,2223,1,2223
88,1,2223,1,2223
89,2,2225,2,2225
90,3,0,3,0
91,1,2221,1,2221
92,1,2221,1,2221
93,1,2222,1,2222
94,2,2224,2,2224
95,1,2222,1,2222
96,1,2222,1,2222
97,1,2223,1,2223
98,1,2223,1,2223
99,2,2225,2,2225
100,3,0,3,0
101,1,2221,1,2221
102,1,2221,1,2221
103,1,2222,1,2222
104,2,2224,2,2224
105,1,2222,1,2222
106,1,2222,1,2222
107,1,2223,1,2223
108,1,2223,1,2223
109,2,2225,2,2225
110,3,0,3,0
111,1,2221,1,2221
112,1,2221,1,2221
113,1,2222,1,2222
114,2,2224,2,2224
115,1,2222,1,2222
116,1,2222,1,2222
117,1,2223,1,2223
118,1,2223,1,2223
119,2,2225,2,2225
120,3,0,3,0
121,1,2221,1,2221
122,1,2221,1,2221
123,1,2222,1,2222
124,2,2224,2,2224
125,1,2222,1,2222
126,1,2222,1,2222
127,1,2223,1,2223
128,1,2223,1,2223
129,2,2225,2,2225
130,3,0,3,0
131,1,2221,1,2221
132,1,2221,1,2221
133,1,2222,1,2222
134,2,2224,2,2224
135,1,2222,1,2222
136,1,2222,1,2222
137,1,2223,1,2223
138,1,2223,1,2223
139,2,2225,2,2225
140,3,0,3,0
141,1,2221,1,2221
142,1,2221,1,2221
143,1,2222,1,2222
144,2,2224,2,2224
145,1,2222,1,2222
146,1,2222,1,2222
147,1,2223,1,2223
148,1,2223,1,2223
149,2,2225,2,2225
150,3,0,3,0
151,1,2221,1,2221
152,1,2221,1,2221
153,1,2222,1,2222
154,2,2224,2,2224
155,1,2222,1,2222
156,1,2222,1,2222
157,1,2223,1,2223
158,1,2223,1,2223
159,2,2225,2,2225
160,3,0,3,0
