id,start_time,end_time,fbid,desc
1,2016-01-22 20:00,2016-01-22 21:00,11,世界BOSS[colorindex:colorIndex=5]盖亚多拉斯[colorindex:colorIndex=0]将于01-22晚上20:00开放，BOSS将停留1小时，全服训练家均可挑战，击杀BOSS更可获得丰厚奖励噢！
2,2016-01-24 20:00,2016-01-24 21:00,12,世界BOSS[colorindex:colorIndex=4]矶龙卷[colorindex:colorIndex=0]将于01-24晚上20:00开放，BOSS将停留1小时，全服训练家均可挑战，击杀BOSS更可获得丰厚奖励噢！
3,2016-01-26 20:00,2016-01-26 21:00,13,世界BOSS[colorindex:colorIndex=3]奥西里斯[colorindex:colorIndex=0]将于01-26晚上20:00开放，BOSS将停留1小时，全服训练家均可挑战，击杀BOSS更可获得丰厚奖励噢！
4,2016-01-28 20:00,2016-01-28 21:00,11,世界BOSS[colorindex:colorIndex=5]盖亚多拉斯[colorindex:colorIndex=0]将于01-28晚上20:00开放，BOSS将停留1小时，全服训练家均可挑战，击杀BOSS更可获得丰厚奖励噢！
5,2016-01-30 20:00,2016-01-30 21:00,12,世界BOSS[colorindex:colorIndex=4]矶龙卷[colorindex:colorIndex=0]将于01-30晚上20:00开放，BOSS将停留1小时，全服训练家均可挑战，击杀BOSS更可获得丰厚奖励噢！
6,2016-02-01 20:00,2016-02-01 21:00,13,世界BOSS[colorindex:colorIndex=3]奥西里斯[colorindex:colorIndex=0]将于02-01晚上20:00开放，BOSS将停留1小时，全服训练家均可挑战，击杀BOSS更可获得丰厚奖励噢！
7,2016-02-03 20:00,2016-02-03 21:00,11,世界BOSS[colorindex:colorIndex=5]盖亚多拉斯[colorindex:colorIndex=0]将于02-03晚上20:00开放，BOSS将停留1小时，全服训练家均可挑战，击杀BOSS更可获得丰厚奖励噢！
8,2016-02-05 20:00,2016-02-05 21:00,12,世界BOSS[colorindex:colorIndex=4]矶龙卷[colorindex:colorIndex=0]将于02-05晚上20:00开放，BOSS将停留1小时，全服训练家均可挑战，击杀BOSS更可获得丰厚奖励噢！
1501,2016-02-07 20:00,2016-02-07 21:00,15,世界BOSS[colorindex:colorIndex=5]美猴王[colorindex:colorIndex=0]将于02-07晚上20:00开放，BOSS将停留1小时，全服训练家均可挑战，击杀BOSS更可获得丰厚奖励噢！
1502,2016-02-08 20:00,2016-02-08 21:00,15,世界BOSS[colorindex:colorIndex=5]美猴王[colorindex:colorIndex=0]将于02-08晚上20:00开放，BOSS将停留1小时，全服训练家均可挑战，击杀BOSS更可获得丰厚奖励噢！
1503,2016-02-09 20:00,2016-02-09 21:00,15,世界BOSS[colorindex:colorIndex=5]美猴王[colorindex:colorIndex=0]将于02-09晚上20:00开放，BOSS将停留1小时，全服训练家均可挑战，击杀BOSS更可获得丰厚奖励噢！
9,2016-02-11 20:00,2016-02-11 21:00,13,世界BOSS[colorindex:colorIndex=3]奥西里斯[colorindex:colorIndex=0]将于02-11晚上20:00开放，BOSS将停留1小时，全服训练家均可挑战，击杀BOSS更可获得丰厚奖励噢！
10,2016-02-13 20:00,2016-02-13 21:00,11,世界BOSS[colorindex:colorIndex=5]盖亚多拉斯[colorindex:colorIndex=0]将于02-13晚上20:00开放，BOSS将停留1小时，全服训练家均可挑战，击杀BOSS更可获得丰厚奖励噢！
11,2016-02-15 20:00,2016-02-15 21:00,12,世界BOSS[colorindex:colorIndex=4]矶龙卷[colorindex:colorIndex=0]将于02-15晚上20:00开放，BOSS将停留1小时，全服训练家均可挑战，击杀BOSS更可获得丰厚奖励噢！
12,2016-02-17 20:00,2016-02-17 21:00,13,世界BOSS[colorindex:colorIndex=3]奥西里斯[colorindex:colorIndex=0]将于02-17晚上20:00开放，BOSS将停留1小时，全服训练家均可挑战，击杀BOSS更可获得丰厚奖励噢！
1401,2016-12-25 20:00,2016-12-25 21:00,14,世界BOSS[colorindex:colorIndex=10]圣诞皮神[colorindex:colorIndex=0]将于12-25晚上20:00开放，BOSS将停留1小时，全服训练家均可挑战，击杀BOSS更可获得丰厚奖励噢！
1402,2016-12-26 20:00,2016-12-26 21:00,14,世界BOSS[colorindex:colorIndex=10]圣诞皮神[colorindex:colorIndex=0]将于12-26晚上20:00开放，BOSS将停留1小时，全服训练家均可挑战，击杀BOSS更可获得丰厚奖励噢！
1403,2016-12-27 20:00,2016-12-27 21:00,14,世界BOSS[colorindex:colorIndex=10]圣诞皮神[colorindex:colorIndex=0]将于12-27晚上20:00开放，BOSS将停留1小时，全服训练家均可挑战，击杀BOSS更可获得丰厚奖励噢！
315,2016-03-12 18:10,2016-03-12 18:15,315,
