id,bHP,batk,bdef,bcrit,bdodge,stifle,restraint,amount,silver,lv_limit,data_id
1,1,1,1,1,1,1.5,0.5,1,10000,90,1
2,1.25,1.25,1.25,1.25,1.25,1.5,0.5,1,20000,90,1
3,1.5,1.5,1.5,1.5,1.5,1.5,0.5,1,50000,90,1
4,1.75,1.75,1.75,1.75,1.75,1.5,0.5,1,100000,90,1
5,2,2,2,2,2,1.5,0.5,1,150000,90,1
6,2.25,2.25,2.25,2.25,2.25,1.6,0.6,1,200000,90,2
7,2.5,2.5,2.5,2.5,2.5,1.6,0.6,1,250000,90,2
8,2.75,2.75,2.75,2.75,2.75,1.6,0.6,1,300000,90,2
9,3,3,3,3,3,1.6,0.6,1,350000,90,2
10,3.25,3.25,3.25,3.25,3.25,1.6,0.6,1,400000,90,2
11,3.5,3.5,3.5,3.5,3.5,1.7,0.7,2,500000,90,3
12,3.75,3.75,3.75,3.75,3.75,1.7,0.7,2,600000,90,3
13,4,4,4,4,4,1.7,0.7,2,700000,90,3
14,4.25,4.25,4.25,4.25,4.25,1.7,0.7,2,800000,90,3
15,4.5,4.5,4.5,4.5,4.5,1.7,0.7,2,900000,90,3
16,4.75,4.75,4.75,4.75,4.75,1.8,0.8,4,1000000,90,3
17,5,5,5,5,5,1.8,0.8,4,1200000,90,3
18,5.25,5.25,5.25,5.25,5.25,1.8,0.8,4,1400000,90,3
19,5.5,5.5,5.5,5.5,5.5,1.8,0.8,4,1600000,90,3
20,5.75,5.75,5.75,5.75,5.75,1.8,0.8,4,0,90,3
