id,campaign,starttime,lasttime,group,reward_group,bg_pic
1001,1,2016-01-18 00:00,2016-01-18 23:59,0,0,0
2001,2,2016-01-20 00:00,2016-01-20 23:59,1,0,0
2002,2,2016-01-21 00:00,2016-01-21 23:59,2,0,0
2003,2,2016-01-22 00:00,2016-01-22 23:59,3,0,0
2004,2,2016-01-23 00:00,2016-01-23 23:59,4,0,0
2005,2,2016-01-24 00:00,2016-01-24 23:59,5,0,0
2006,2,2016-01-25 00:00,2016-01-25 23:59,6,0,0
3001,3,2016-01-18 00:00,2016-01-18 23:59,1,0,0
4001,4,2016-01-18 00:00,2016-01-18 23:59,211,0,0
5001,5,2016-01-18 00:00,2016-01-18 23:59,2,0,0
6001,6,2016-01-18 00:00,2016-01-18 23:59,2,0,0
7001,7,2016-01-18 00:00,2016-01-18 23:59,0,0,0
8001,8,2016-01-18 00:00,2016-01-18 23:59,1,0,0
10001,10,2016-01-18 00:00,2016-01-18 23:59,1,1,http://pokemonassets.winnergame.com/assets/images/20002.png
11001,11,2016-01-18 00:00,2016-03-18 23:59,1,0,0
12001,12,2016-01-26 00:00,2016-01-26 23:59,8,0,0
13001,13,2016-01-18 00:00,2018-02-20 23:59,15,0,0
14001,14,2016-03-12 00:00,2016-03-18 23:59,6664,0,0
15001,15,2016-03-12 00:00,2016-03-18 23:59,5554,0,0
16001,16,2016-02-06 00:00,2016-02-13 23:59,1,0,春节活动开始啦！挑战副本即可获得兑换道具[colorindex:colorIndex=3]鞭炮[colorindex:colorIndex=0]，收集足够数量即可兑换丰厚奖励噢！
17001,17,2016-01-18 00:00,2016-03-18 23:59,1,2,"活动期间，累计消耗[sprite:fileName='icon/80001.png',scale=0.4]达指定数额，即可领取相应奖励"
18001,18,2016-01-18 00:00,2016-01-18 23:59,1,0,活动期间，累计登陆达到指定天数，即可领取相应奖励
19001,19,2016-01-18 00:00,2016-01-18 23:59,1,0,0
20001,20,2016-01-18 00:00,2016-03-18 23:59,1,0,0
21001,21,2016-01-18 00:00,2016-03-18 23:59,1,0,0
22001,22,2016-02-18 00:00,2016-02-25 23:59,1,0,1008371|1008361|1008362|1008381
22002,22,2016-02-26 00:00,2016-03-04 23:59,1,0,1008372|1008363|1008364|1008382
22003,22,2016-03-05 00:00,2016-03-12 23:59,1,0,1008373|1008365|1008366|1008383
22004,22,2016-03-03 00:00,2016-03-20 23:59,1,0,1008374|1008367|1008384|1008389
22005,22,2016-03-21 00:00,2016-03-28 23:59,1,0,1008375|1008380|1008385|1008390
23001,23,2016-03-14 00:00,2017-03-14 00:00,1,0,  [fontsize:20]活动规则：[endl:num=1]   1、[colorindex:colorIndex=3]迷唇姐[colorindex:colorIndex=0]使用香水+安全裤装扮自己，成为漂亮的[colorindex:colorIndex=3]S级[colorindex:colorIndex=0]迷唇[endl:num=1]   2、[colorindex:colorIndex=3]刷新任意商店[colorindex:colorIndex=0]得材料（刷新10次香水、刷新25次安全裤）[endl:num=1]   3、装扮后保留所有养成状态
24001,24,2016-03-14 00:00,2017-03-14 00:00,3,2,0
25001,25,2016-03-14 00:00,2017-03-14 00:00,1,0,"活动期间,累计刷新商店达指定次数,即可领取奖励"
26001,26,2016-03-14 00:00,2017-03-14 00:00,0,0,0
27001,27,2016-03-14 00:00,2017-03-14 00:00,0,0,0
28001,28,2016-03-14 00:00,2017-03-14 00:00,1,0,0
29001,29,2016-03-14 00:00,2017-03-14 00:00,315,0,0
