id,group,name,start_time,end_time,packid,packcount,petid,petcount,matid,matcount,equipid,equipcount,specPackid,specPackcount,attrs,each_use_count,use_count
1,1,全金将,,,10086,1,,,,,,,,,,9999,9999
2,2,入群礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,110002|190017,1|1,,,,,"{""money"":88888,""soul"":8888}",1,999999
3,3,微信礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,711003|190013,2|1,,,,,"{""money"":100000,""soul"":10000,""gold"":100}",1,1
4,4,渠道-新手礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,100001|190012,2|1,,,,,"{""money"":60000,""soul"":6000}",1,1
5,5,媒体-新手礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,100001|190012,2|1,,,,,"{""money"":60000,""soul"":6000}",1,1
6,6,豪华礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,120002|700004,1|2,,,,,"{""money"":120000,""soul"":12000}",1,1
7,7,普通独家礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,110002|190013,2|2,,,,,"{""money"":100000,""soul"":10000}",1,1
8,8,UC独家礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,190017|100002,1|1,,,,,"{""money"":160000,""soul"":16000}",1,1
9,9,360独家礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,110002|190013,2|2,,,,,"{""money"":110000,""soul"":11000}",1,1
10,10,百度独家礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,190013|100002,2|2,,,,,"{""money"":160000,""soul"":16000}",1,1
11,11,小米独家礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,110003|120002,1|2,,,,,"{""money"":100000,""soul"":10000}",1,1
12,12,UC公会礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,190013|711003|100003,2|3|1,,,,,"{""money"":120000,""soul"":10000}",1,1
13,13,搜狐-独家礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,700004,1,,,,,"{""money"":120000,""soul"":10000}",1,1
14,14,新浪-独家礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,110002,2,,,,,"{""money"":80000,""soul"":8000}",1,1
15,15,网易-独家礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,711003,3,,,,,"{""money"":110000,""soul"":8500}",1,1
16,16,18183-独家礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,110003,1,,,,,"{""money"":70000,""soul"":7000}",1,1
17,17,17173-独家礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,120001,2,,,,,"{""money"":66666,""soul"":6000}",1,1
18,18,口袋巴士-独家礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,790003,10,,,,,"{""money"":80000,""soul"":6000}",1,1
19,19,91手游-独家礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,711003,2,,,,,"{""money"":90000,""soul"":7000}",1,1
20,20,5253-独家礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,100003,1,,,,,"{""money"":88888,""soul"":7777}",1,1
21,21,游戏多-独家礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,110002,2,,,,,"{""money"":95000,""soul"":7500}",1,1
22,22,搞趣网-独家礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,100003,1,,,,,"{""money"":76000,""soul"":8000}",1,1
23,23,媒体独家礼包1,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,110003,1,,,,,"{""money"":70000,""soul"":7000}",1,1
24,24,媒体独家礼包2,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,120001,2,,,,,"{""money"":66666,""soul"":6000}",1,1
25,25,媒体独家礼包3,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,790003,10,,,,,"{""money"":80000,""soul"":6000}",1,1
26,26,媒体独家礼包4,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,120002,1,,,,,"{""money"":66666,""soul"":6000}",1,1
27,27,媒体独家礼包5,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,711003,2,,,,,"{""money"":90000,""soul"":7000}",1,1
28,28,媒体独家礼包6,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,100003,1,,,,,"{""money"":88888,""soul"":7777}",1,1
29,29,媒体独家礼包7,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,110002,2,,,,,"{""money"":95000,""soul"":7500}",1,1
30,30,媒体独家礼包8,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,100003,1,,,,,"{""money"":76000,""soul"":8000}",1,1
31,31,媒体独家礼包9,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,100003,2,,,,,"{""money"":88888,""soul"":7777}",1,1
32,32,媒体独家礼包10,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,110002,2,,,,,"{""money"":95000,""soul"":7500}",1,1
33,33,360独家礼包2,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,190017|711003,1|2,,,,,"{""money"":80000,""soul"":8000}",1,1
34,34,XY独家礼包,2015-12-03 00:00:00,2016-06-30 00:00:00,,,,,711003,2,,,,,"{""money"":80000,""soul"":8000,""ball"":8}",1,1
