level,defend_treasure,attack_treasure
1,80,16
2,80,16
3,80,16
4,80,16
5,85,17
6,85,17
7,85,17
8,85,17
9,85,17
10,90,18
11,90,18
12,90,18
13,90,18
14,90,18
15,95,19
16,95,19
17,95,19
18,95,19
19,95,19
20,100,20
21,100,20
22,100,20
23,100,20
24,100,20
25,105,21
26,105,21
27,105,21
28,105,21
29,105,21
30,110,22
31,110,22
32,110,22
33,110,22
34,110,22
35,115,23
36,115,23
37,115,23
38,115,23
39,115,23
40,120,24
41,120,24
42,120,24
43,120,24
44,120,24
45,125,25
46,125,25
47,125,25
48,125,25
49,125,25
50,130,26
51,130,26
52,130,26
53,130,26
54,130,26
55,135,27
56,135,27
57,135,27
58,135,27
59,135,27
60,140,28
61,140,28
62,140,28
63,140,28
64,140,28
65,145,29
66,145,29
67,145,29
68,145,29
69,145,29
70,150,30
71,150,30
72,150,30
73,150,30
74,150,30
75,155,31
76,155,31
77,155,31
78,155,31
79,155,31
80,160,32
81,160,32
82,160,32
83,160,32
84,160,32
85,165,33
86,165,33
87,165,33
88,165,33
89,165,33
90,170,34
