ID,limit,description,zombie_id,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3,type|itemID|amount4
1,2,当前关卡只能上阵2个精灵,300001,8|8|2000,0,0,0
2,2,当前关卡只能上阵2个精灵,300002,8|8|2000,0,0,0
3,2,当前关卡只能上阵2个精灵,300003,8|8|2000,0,0,0
4,2,当前关卡只能上阵2个精灵,300004,8|8|2000,0,0,0
5,2,当前关卡只能上阵2个精灵,300005,8|8|2000,0,0,0
6,2,当前关卡只能上阵2个精灵,300006,8|8|2000,0,0,0
7,2,当前关卡只能上阵2个精灵,300007,8|8|2000,0,0,0
8,2,当前关卡只能上阵2个精灵,300008,8|8|2000,0,0,0
9,2,当前关卡只能上阵2个精灵,300009,8|8|2000,0,0,0
10,2,当前关卡只能上阵2个精灵,300010,8|8|2000,30|30|10,0,0
11,3,当前关卡只能上阵3个精灵,300011,8|8|2500,0,0,0
12,3,当前关卡只能上阵3个精灵,300012,8|8|2500,0,0,0
13,3,当前关卡只能上阵3个精灵,300013,8|8|2500,0,0,0
14,3,当前关卡只能上阵3个精灵,300014,8|8|2500,0,0,0
15,3,当前关卡只能上阵3个精灵,300015,8|8|2500,0,0,0
16,3,当前关卡只能上阵3个精灵,300016,8|8|2500,0,0,0
17,3,当前关卡只能上阵3个精灵,300017,8|8|2500,0,0,0
18,3,当前关卡只能上阵3个精灵,300018,8|8|2500,0,0,0
19,3,当前关卡只能上阵3个精灵,300019,8|8|2500,0,0,0
20,3,当前关卡只能上阵3个精灵,300020,8|8|2500,30|30|10,0,0
21,4,当前关卡只能上阵4个精灵,300021,8|8|3000,0,0,0
22,4,当前关卡只能上阵4个精灵,300022,8|8|3000,0,0,0
23,4,当前关卡只能上阵4个精灵,300023,8|8|3000,0,0,0
24,4,当前关卡只能上阵4个精灵,300024,8|8|3000,0,0,0
25,4,当前关卡只能上阵4个精灵,300025,8|8|3000,0,0,0
26,4,当前关卡只能上阵4个精灵,300026,8|8|3000,0,0,0
27,4,当前关卡只能上阵4个精灵,300027,8|8|3000,0,0,0
28,4,当前关卡只能上阵4个精灵,300028,8|8|3000,0,0,0
29,4,当前关卡只能上阵4个精灵,300029,8|8|3000,0,0,0
30,4,当前关卡只能上阵4个精灵,300030,8|8|3000,30|30|10,0,0
31,4,当前关卡只能上阵4个精灵,300031,8|8|3500,0,0,0
32,4,当前关卡只能上阵4个精灵,300032,8|8|3500,0,0,0
33,4,当前关卡只能上阵4个精灵,300033,8|8|3500,0,0,0
34,4,当前关卡只能上阵4个精灵,300034,8|8|3500,0,0,0
35,4,当前关卡只能上阵4个精灵,300035,8|8|3500,0,0,0
36,4,当前关卡只能上阵4个精灵,300036,8|8|3500,0,0,0
37,4,当前关卡只能上阵4个精灵,300037,8|8|3500,0,0,0
38,4,当前关卡只能上阵4个精灵,300038,8|8|3500,0,0,0
39,4,当前关卡只能上阵4个精灵,300039,8|8|3500,0,0,0
40,4,当前关卡只能上阵4个精灵,300040,8|8|3500,30|30|10,0,0
41,4,当前关卡只能上阵4个精灵,300041,8|8|4000,0,0,0
42,4,当前关卡只能上阵4个精灵,300042,8|8|4000,0,0,0
43,4,当前关卡只能上阵4个精灵,300043,8|8|4000,0,0,0
44,4,当前关卡只能上阵4个精灵,300044,8|8|4000,0,0,0
45,4,当前关卡只能上阵4个精灵,300045,8|8|4000,0,0,0
46,4,当前关卡只能上阵4个精灵,300046,8|8|4000,0,0,0
47,4,当前关卡只能上阵4个精灵,300047,8|8|4000,0,0,0
48,4,当前关卡只能上阵4个精灵,300048,8|8|4000,0,0,0
49,4,当前关卡只能上阵4个精灵,300049,8|8|4000,0,0,0
50,4,当前关卡只能上阵4个精灵,300050,8|8|4000,30|30|10,0,0
51,4,当前关卡只能上阵4个精灵,300051,8|8|4500,0,0,0
52,4,当前关卡只能上阵4个精灵,300052,8|8|4500,0,0,0
53,4,当前关卡只能上阵4个精灵,300053,8|8|4500,0,0,0
54,4,当前关卡只能上阵4个精灵,300054,8|8|4500,0,0,0
55,4,当前关卡只能上阵4个精灵,300055,8|8|4500,0,0,0
56,4,当前关卡只能上阵4个精灵,300056,8|8|4500,0,0,0
57,4,当前关卡只能上阵4个精灵,300057,8|8|4500,0,0,0
58,4,当前关卡只能上阵4个精灵,300058,8|8|4500,0,0,0
59,4,当前关卡只能上阵4个精灵,300059,8|8|4500,0,0,0
60,4,当前关卡只能上阵4个精灵,300060,8|8|4500,30|30|10,0,0
61,4,当前关卡只能上阵4个精灵,300061,8|8|5000,0,0,0
62,4,当前关卡只能上阵4个精灵,300062,8|8|5000,0,0,0
63,4,当前关卡只能上阵4个精灵,300063,8|8|5000,0,0,0
64,4,当前关卡只能上阵4个精灵,300064,8|8|5000,0,0,0
65,4,当前关卡只能上阵4个精灵,300065,8|8|5000,0,0,0
66,4,当前关卡只能上阵4个精灵,300066,8|8|5000,0,0,0
67,4,当前关卡只能上阵4个精灵,300067,8|8|5000,0,0,0
68,4,当前关卡只能上阵4个精灵,300068,8|8|5000,0,0,0
69,4,当前关卡只能上阵4个精灵,300069,8|8|5000,0,0,0
70,4,当前关卡只能上阵4个精灵,300070,8|8|5000,30|30|10,0,0
71,4,当前关卡只能上阵4个精灵,300071,8|8|5500,0,0,0
72,4,当前关卡只能上阵4个精灵,300072,8|8|5500,0,0,0
73,4,当前关卡只能上阵4个精灵,300073,8|8|5500,0,0,0
74,4,当前关卡只能上阵4个精灵,300074,8|8|5500,0,0,0
75,4,当前关卡只能上阵4个精灵,300075,8|8|5500,0,0,0
76,4,当前关卡只能上阵4个精灵,300076,8|8|5500,0,0,0
77,4,当前关卡只能上阵4个精灵,300077,8|8|5500,0,0,0
78,4,当前关卡只能上阵4个精灵,300078,8|8|5500,0,0,0
79,4,当前关卡只能上阵4个精灵,300079,8|8|5500,0,0,0
80,4,当前关卡只能上阵4个精灵,300080,8|8|5500,30|30|10,0,0
81,4,当前关卡只能上阵4个精灵,300081,8|8|6000,0,0,0
82,4,当前关卡只能上阵4个精灵,300082,8|8|6000,0,0,0
83,4,当前关卡只能上阵4个精灵,300083,8|8|6000,0,0,0
84,4,当前关卡只能上阵4个精灵,300084,8|8|6000,0,0,0
85,4,当前关卡只能上阵4个精灵,300085,8|8|6000,0,0,0
86,4,当前关卡只能上阵4个精灵,300086,8|8|6000,0,0,0
87,4,当前关卡只能上阵4个精灵,300087,8|8|6000,0,0,0
88,4,当前关卡只能上阵4个精灵,300088,8|8|6000,0,0,0
89,4,当前关卡只能上阵4个精灵,300089,8|8|6000,0,0,0
90,4,当前关卡只能上阵4个精灵,300090,8|8|6000,30|30|10,0,0
91,4,当前关卡只能上阵4个精灵,300091,8|8|7000,0,0,0
92,4,当前关卡只能上阵4个精灵,300092,8|8|7000,0,0,0
93,4,当前关卡只能上阵4个精灵,300093,8|8|7000,0,0,0
94,4,当前关卡只能上阵4个精灵,300094,8|8|7000,0,0,0
95,4,当前关卡只能上阵4个精灵,300095,8|8|7000,0,0,0
96,4,当前关卡只能上阵4个精灵,300096,8|8|7000,0,0,0
97,4,当前关卡只能上阵4个精灵,300097,8|8|7000,0,0,0
98,4,当前关卡只能上阵4个精灵,300098,8|8|7000,0,0,0
99,4,当前关卡只能上阵4个精灵,300099,8|8|7000,0,0,0
100,4,当前关卡只能上阵4个精灵,300100,8|8|7000,30|30|20,0,0
101,4,当前关卡只能上阵4个精灵,300101,8|8|8000,0,0,0
102,4,当前关卡只能上阵4个精灵,300102,8|8|8000,0,0,0
103,4,当前关卡只能上阵4个精灵,300103,8|8|8000,0,0,0
104,4,当前关卡只能上阵4个精灵,300104,8|8|8000,0,0,0
105,4,当前关卡只能上阵4个精灵,300105,8|8|8000,0,0,0
106,4,当前关卡只能上阵4个精灵,300106,8|8|8000,0,0,0
107,4,当前关卡只能上阵4个精灵,300107,8|8|8000,0,0,0
108,4,当前关卡只能上阵4个精灵,300108,8|8|8000,0,0,0
109,4,当前关卡只能上阵4个精灵,300109,8|8|8000,0,0,0
110,4,当前关卡只能上阵4个精灵,300110,8|8|8000,30|30|20,0,0
111,4,当前关卡只能上阵4个精灵,300111,8|8|9000,0,0,0
112,4,当前关卡只能上阵4个精灵,300112,8|8|9000,0,0,0
113,4,当前关卡只能上阵4个精灵,300113,8|8|9000,0,0,0
114,4,当前关卡只能上阵4个精灵,300114,8|8|9000,0,0,0
115,4,当前关卡只能上阵4个精灵,300115,8|8|9000,0,0,0
116,4,当前关卡只能上阵4个精灵,300116,8|8|9000,0,0,0
117,4,当前关卡只能上阵4个精灵,300117,8|8|9000,0,0,0
118,4,当前关卡只能上阵4个精灵,300118,8|8|9000,0,0,0
119,4,当前关卡只能上阵4个精灵,300119,8|8|9000,0,0,0
120,4,当前关卡只能上阵4个精灵,300120,8|8|9000,30|30|20,0,0
121,4,当前关卡只能上阵4个精灵,300121,8|8|10000,0,0,0
122,4,当前关卡只能上阵4个精灵,300122,8|8|10000,0,0,0
123,4,当前关卡只能上阵4个精灵,300123,8|8|10000,0,0,0
124,4,当前关卡只能上阵4个精灵,300124,8|8|10000,0,0,0
125,4,当前关卡只能上阵4个精灵,300125,8|8|10000,0,0,0
126,4,当前关卡只能上阵4个精灵,300126,8|8|10000,0,0,0
127,4,当前关卡只能上阵4个精灵,300127,8|8|10000,0,0,0
128,4,当前关卡只能上阵4个精灵,300128,8|8|10000,0,0,0
129,4,当前关卡只能上阵4个精灵,300129,8|8|10000,0,0,0
130,4,当前关卡只能上阵4个精灵,300130,8|8|10000,30|30|20,0,0
131,4,当前关卡只能上阵4个精灵,300131,8|8|11000,0,0,0
132,4,当前关卡只能上阵4个精灵,300132,8|8|11000,0,0,0
133,4,当前关卡只能上阵4个精灵,300133,8|8|11000,0,0,0
134,4,当前关卡只能上阵4个精灵,300134,8|8|11000,0,0,0
135,4,当前关卡只能上阵4个精灵,300135,8|8|11000,0,0,0
136,4,当前关卡只能上阵4个精灵,300136,8|8|11000,0,0,0
137,4,当前关卡只能上阵4个精灵,300137,8|8|11000,0,0,0
138,4,当前关卡只能上阵4个精灵,300138,8|8|11000,0,0,0
139,4,当前关卡只能上阵4个精灵,300139,8|8|11000,0,0,0
140,4,当前关卡只能上阵4个精灵,300140,8|8|11000,30|30|20,0,0
141,4,当前关卡只能上阵4个精灵,300141,8|8|12000,0,0,0
142,4,当前关卡只能上阵4个精灵,300142,8|8|12000,0,0,0
143,4,当前关卡只能上阵4个精灵,300143,8|8|12000,0,0,0
144,4,当前关卡只能上阵4个精灵,300144,8|8|12000,0,0,0
145,4,当前关卡只能上阵4个精灵,300145,8|8|12000,0,0,0
146,4,当前关卡只能上阵4个精灵,300146,8|8|12000,0,0,0
147,4,当前关卡只能上阵4个精灵,300147,8|8|12000,0,0,0
148,4,当前关卡只能上阵4个精灵,300148,8|8|12000,0,0,0
149,4,当前关卡只能上阵4个精灵,300149,8|8|12000,0,0,0
150,4,当前关卡只能上阵4个精灵,300150,8|8|12000,30|30|20,0,0
151,4,当前关卡只能上阵4个精灵,300151,8|8|13000,0,0,0
152,4,当前关卡只能上阵4个精灵,300152,8|8|13000,0,0,0
153,4,当前关卡只能上阵4个精灵,300153,8|8|13000,0,0,0
154,4,当前关卡只能上阵4个精灵,300154,8|8|13000,0,0,0
155,4,当前关卡只能上阵4个精灵,300155,8|8|13000,0,0,0
156,4,当前关卡只能上阵4个精灵,300156,8|8|13000,0,0,0
157,4,当前关卡只能上阵4个精灵,300157,8|8|13000,0,0,0
158,4,当前关卡只能上阵4个精灵,300158,8|8|13000,0,0,0
159,4,当前关卡只能上阵4个精灵,300159,8|8|13000,0,0,0
160,4,当前关卡只能上阵4个精灵,300160,8|8|13000,30|30|20,0,0
161,4,当前关卡只能上阵4个精灵,300161,8|8|14000,0,0,0
162,4,当前关卡只能上阵4个精灵,300162,8|8|14000,0,0,0
163,4,当前关卡只能上阵4个精灵,300163,8|8|14000,0,0,0
164,4,当前关卡只能上阵4个精灵,300164,8|8|14000,0,0,0
165,4,当前关卡只能上阵4个精灵,300165,8|8|14000,0,0,0
166,4,当前关卡只能上阵4个精灵,300166,8|8|14000,0,0,0
167,4,当前关卡只能上阵4个精灵,300167,8|8|14000,0,0,0
168,4,当前关卡只能上阵4个精灵,300168,8|8|14000,0,0,0
169,4,当前关卡只能上阵4个精灵,300169,8|8|14000,0,0,0
170,4,当前关卡只能上阵4个精灵,300170,8|8|14000,30|30|20,0,0
171,4,当前关卡只能上阵4个精灵,300171,8|8|16000,0,0,0
172,4,当前关卡只能上阵4个精灵,300172,8|8|16000,0,0,0
173,4,当前关卡只能上阵4个精灵,300173,8|8|16000,0,0,0
174,4,当前关卡只能上阵4个精灵,300174,8|8|16000,0,0,0
175,4,当前关卡只能上阵4个精灵,300175,8|8|16000,0,0,0
176,4,当前关卡只能上阵4个精灵,300176,8|8|16000,0,0,0
177,4,当前关卡只能上阵4个精灵,300177,8|8|16000,0,0,0
178,4,当前关卡只能上阵4个精灵,300178,8|8|16000,0,0,0
179,4,当前关卡只能上阵4个精灵,300179,8|8|16000,0,0,0
180,4,当前关卡只能上阵4个精灵,300180,8|8|16000,30|30|30,0,0
181,4,当前关卡只能上阵4个精灵,300181,8|8|18000,0,0,0
182,4,当前关卡只能上阵4个精灵,300182,8|8|18000,0,0,0
183,4,当前关卡只能上阵4个精灵,300183,8|8|18000,0,0,0
184,4,当前关卡只能上阵4个精灵,300184,8|8|18000,0,0,0
185,4,当前关卡只能上阵4个精灵,300185,8|8|18000,0,0,0
186,4,当前关卡只能上阵4个精灵,300186,8|8|18000,0,0,0
187,4,当前关卡只能上阵4个精灵,300187,8|8|18000,0,0,0
