ID,floor,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3,type|itemID|amount4
1,5,31|81101|1,31|81201|1,31|81301|1,0
2,10,31|81101|1,31|81201|1,31|81301|1,0
3,15,31|81101|2,31|81201|2,31|81301|2,0
4,20,31|81101|2,31|81201|2,31|81301|2,0
5,30,31|81101|3,31|81201|3,31|81301|3,0
6,40,31|81101|3,31|81201|3,31|81301|3,0
7,50,31|81101|4,31|81201|4,31|81301|4,0
8,60,31|81101|4,31|81201|4,31|81301|4,0
9,70,31|81101|5,31|81201|5,31|81301|5,0
10,80,31|81101|5,31|81201|5,31|81301|5,0
11,90,31|81101|6,31|81201|6,31|81301|6,0
12,100,31|81101|6,31|81201|6,31|81301|6,0
13,110,31|81101|7,31|81201|7,31|81301|7,0
14,120,31|81101|7,31|81201|7,31|81301|7,0
15,130,31|81101|8,31|81201|8,31|81301|8,0
16,140,31|81101|8,31|81201|8,31|81301|8,0
17,150,31|81101|9,31|81201|9,31|81301|9,0
18,160,31|81101|9,31|81201|9,31|81301|9,0
19,180,31|81101|10,31|81201|10,31|81301|10,0
20,200,31|81101|10,31|81201|10,31|81301|10,0
