dropID,奖励名,loginday,type,itemID,amount
1,连续登陆1天,1,8,8,20000
2,连续登陆2天,2,8,8,25000
3,连续登陆3天,3,8,8,30000
4,连续登陆3天,3,5,5,100
5,连续登陆4天,4,8,8,35000
6,连续登陆4天,4,5,5,200
7,连续登陆5天,5,8,8,40000
8,连续登陆5天,5,5,5,300
9,连续登陆6天,6,8,8,45000
10,连续登陆6天,6,5,5,400
11,连续登陆7天,7,8,8,50000
12,连续登陆7天,7,3,3000201,1
13,连续登陆8天,8,8,8,55000
14,连续登陆8天,8,5,5,500
15,连续登陆9天,9,8,8,60000
16,连续登陆9天,9,5,5,500
17,连续登陆10天,10,8,8,65000
18,连续登陆10天,10,5,5,500
19,连续登陆11天,11,8,8,70000
20,连续登陆11天,11,5,5,500
21,连续登陆12天,12,8,8,75000
22,连续登陆12天,12,5,5,500
23,连续登陆13天,13,8,8,80000
24,连续登陆13天,13,5,5,500
25,连续登陆14天,14,8,8,85000
26,连续登陆14天,14,3,3000202,1
27,连续登陆15天,15,8,8,90000
28,连续登陆15天,15,3,3000202,1
29,连续登陆16天,16,8,8,95000
30,连续登陆16天,16,5,5,500
31,连续登陆17天,17,8,8,100000
32,连续登陆17天,17,5,5,500
33,连续登陆18天,18,8,8,100000
34,连续登陆18天,18,5,5,500
35,连续登陆19天,19,8,8,100000
36,连续登陆19天,19,5,5,500
37,连续登陆20天,20,8,8,100000
38,连续登陆20天,20,5,5,500
39,连续登陆21天,21,8,8,100000
40,连续登陆21天,21,5,5,500
41,连续登陆21天,21,3,3000203,1
42,连续登陆22天,22,8,8,100000
43,连续登陆22天,22,5,5,500
44,连续登陆23天,23,8,8,100000
45,连续登陆23天,23,5,5,500
46,连续登陆24天,24,8,8,100000
47,连续登陆24天,24,5,5,500
48,连续登陆25天,25,8,8,100000
49,连续登陆25天,25,5,5,500
50,连续登陆26天,26,8,8,100000
51,连续登陆26天,26,5,5,500
52,连续登陆27天,27,8,8,100000
53,连续登陆27天,27,5,5,500
54,连续登陆28天,28,8,8,100000
55,连续登陆28天,28,5,5,500
56,连续登陆29天,29,8,8,100000
57,连续登陆29天,29,5,5,500
58,连续登陆30天,30,8,8,100000
59,连续登陆30天,30,3,3000203,2
