id,vip_level1,type|itemID|amount1,vip_level2,type|itemID|amount2,vip_level3,type|itemID|amount3,vip_level4,type|itemID|amount4,vip_level5,type|itemID|amount5,vip_level6,type|itemID|amount6,vip_level7,type|itemID|amount7,vip_level8,type|itemID|amount8,vip_level9,type|itemID|amount9,vip_level10,type|itemID|amount10,vip_level11,type|itemID|amount11,vip_level12,type|itemID|amount12
1,1,8|8|50000,1,8|8|50000,1,8|8|50000,1,8|8|50000,1,8|8|50000,1,8|8|50000,1,8|8|50000,1,8|8|50000,1,8|8|50000,1,8|8|50000,1,8|8|50000,1,8|8|50000
2,4,14|21000362|5,4,14|21000362|5,4,14|21000362|5,4,14|21000362|5,4,14|21000362|5,4,14|21000362|5,4,14|21000362|5,4,14|21000362|5,4,14|21000362|5,4,14|21000362|5,4,14|21000362|5,4,14|21000362|5
3,2,2|2|100,2,2|2|100,2,2|2|100,2,2|2|100,2,2|2|100,2,2|2|100,2,2|2|100,2,2|2|100,2,2|2|100,2,2|2|100,2,2|2|100,2,2|2|100
4,-1,16|16|10000,-1,16|16|10000,-1,16|16|10000,-1,16|16|10000,-1,16|16|10000,-1,16|16|10000,-1,16|16|10000,-1,16|16|10000,-1,16|16|10000,-1,16|16|10000,-1,16|16|10000,-1,16|16|10000
5,3,5|5|200,3,5|5|200,3,5|5|200,3,5|5|200,3,5|5|200,3,5|5|200,3,5|5|200,3,5|5|200,3,5|5|200,3,5|5|200,3,5|5|200,3,5|5|200
6,1,8|8|70000,1,8|8|70000,1,8|8|70000,1,8|8|70000,1,8|8|70000,1,8|8|70000,1,8|8|70000,1,8|8|70000,1,8|8|70000,1,8|8|70000,1,8|8|70000,1,8|8|70000
7,5,14|21000362|10,5,14|21000362|10,5,14|21000362|10,5,14|21000362|10,5,14|21000362|10,5,14|21000362|10,5,14|21000362|10,5,14|21000362|10,5,14|21000362|10,5,14|21000362|10,5,14|21000362|10,5,14|21000362|10
8,2,2|2|120,2,2|2|120,2,2|2|120,2,2|2|120,2,2|2|120,2,2|2|120,2,2|2|120,2,2|2|120,2,2|2|120,2,2|2|120,2,2|2|120,2,2|2|120
9,-1,16|16|15000,-1,16|16|15000,-1,16|16|15000,-1,16|16|15000,-1,16|16|15000,-1,16|16|15000,-1,16|16|15000,-1,16|16|15000,-1,16|16|15000,-1,16|16|15000,-1,16|16|15000,-1,16|16|15000
10,3,5|5|250,3,5|5|250,3,5|5|250,3,5|5|250,3,5|5|250,3,5|5|250,3,5|5|250,3,5|5|250,3,5|5|250,3,5|5|250,3,5|5|250,3,5|5|250
11,1,8|8|100000,1,8|8|100000,1,8|8|100000,1,8|8|100000,1,8|8|100000,1,8|8|100000,1,8|8|100000,1,8|8|100000,1,8|8|100000,1,8|8|100000,1,8|8|100000,1,8|8|100000
12,6,14|21000362|15,6,14|21000362|15,6,14|21000362|15,6,14|21000362|15,6,14|21000362|15,6,14|21000362|15,6,14|21000362|15,6,14|21000362|15,6,14|21000362|15,6,14|21000362|15,6,14|21000362|15,6,14|21000362|15
13,2,2|2|140,2,2|2|140,2,2|2|140,2,2|2|140,2,2|2|140,2,2|2|140,2,2|2|140,2,2|2|140,2,2|2|140,2,2|2|140,2,2|2|140,2,2|2|140
14,-1,16|16|20000,-1,16|16|20000,-1,16|16|20000,-1,16|16|20000,-1,16|16|20000,-1,16|16|20000,-1,16|16|20000,-1,16|16|20000,-1,16|16|20000,-1,16|16|20000,-1,16|16|20000,-1,16|16|20000
15,3,5|5|300,3,5|5|300,3,5|5|300,3,5|5|300,3,5|5|300,3,5|5|300,3,5|5|300,3,5|5|300,3,5|5|300,3,5|5|300,3,5|5|300,3,5|5|300
