ID,group,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3,type|itemID|amount4,gold,daily_count
1001,1,2|2|30,,0,0,60,1
1002,1,2|2|150,,0,0,300,1
1003,1,2|2|250,,0,0,600,1
1004,1,2|2|340,,0,0,980,1
1005,1,2|2|990,,0,0,1980,1
1006,1,2|2|1640,,0,0,3280,1
1007,1,2|2|3240,,0,0,6480,1
2001,2,21|21|3,,0,0,60,1
2002,2,21|21|15,,0,0,300,1
2003,2,21|21|25,,0,0,600,1
2004,2,21|21|34,,0,0,980,1
2005,2,21|21|99,,0,0,1980,1
2006,2,21|21|164,,0,0,3280,1
2007,2,21|21|324,,0,0,6480,1
3001,3,16|16|4500,,0,0,60,1
3002,3,16|16|22500,,0,0,300,1
3003,3,16|16|37500,,0,0,600,1
3004,3,16|16|51000,,0,0,980,1
3005,3,16|16|150000,,0,0,1980,1
3006,3,16|16|250000,,0,0,3280,1
3007,3,16|16|500000,,0,0,6480,1
4001,4,8|8|60000,,0,0,60,1
4002,4,8|8|300000,,0,0,300,1
4003,4,8|8|500000,,0,0,600,1
4004,4,8|8|700000,,0,0,980,1
4005,4,8|8|2000000,,0,0,1980,1
4006,4,8|8|3000000,,0,0,3280,1
4007,4,8|8|6500000,,0,0,6480,1
5001,5,5|5|30,,0,0,60,1
5002,5,5|5|150,,0,0,300,1
5003,5,5|5|250,,0,0,600,1
5004,5,5|5|340,,0,0,980,1
5005,5,5|5|990,,0,0,1980,1
5006,5,5|5|1640,,0,0,3280,1
5007,5,5|5|3240,,0,0,6480,1
6001,6,27|27|2,,0,0,60,1
6002,6,27|27|5,,0,0,300,1
6003,6,27|27|8,,0,0,600,1
6004,6,27|27|10,,0,0,980,1
6005,6,27|27|15,,0,0,1980,1
6006,6,27|27|25,,0,0,3280,1
6007,6,27|27|60,,0,0,6480,1
7001,7,28|28|2,,0,0,60,1
7002,7,28|28|5,,0,0,300,1
7003,7,28|28|8,,0,0,600,1
7004,7,28|28|10,,0,0,980,1
7005,7,28|28|15,,0,0,1980,1
7006,7,28|28|25,,0,0,3280,1
7007,7,28|28|60,,0,0,6480,1
