id,ranking,title,comment,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3,type|itemID|amount4,type|itemID|amount5
1,1|1,城堡争霸每日奖励,排名达到第1名，可获得,14|900006|1,21|21|100,16|16|100000,,
2,2|2,城堡争霸每日奖励,排名达到第2名，可获得,21|21|90,16|16|90000,,,
3,3|3,城堡争霸每日奖励,排名达到第3名，可获得,21|21|85,16|16|85000,,,
4,4|4,城堡争霸每日奖励,排名达到第4名，可获得,21|21|80,16|16|80000,,,
5,5|5,城堡争霸每日奖励,排名达到第5名，可获得,21|21|75,16|16|75000,,,
6,6|6,城堡争霸每日奖励,排名达到第6名，可获得,21|21|70,16|16|70000,,,
7,7|7,城堡争霸每日奖励,排名达到第7名，可获得,21|21|65,16|16|65000,,,
8,8|8,城堡争霸每日奖励,排名达到第8名，可获得,21|21|60,16|16|60000,,,
9,9|9,城堡争霸每日奖励,排名达到第9名，可获得,21|21|55,16|16|55000,,,
10,10|10,城堡争霸每日奖励,排名达到第10名，可获得,21|21|50,16|16|50000,,,
11,11|20,城堡争霸每日奖励,排名达到11-20名，可获得,21|21|45,16|16|45000,,,
12,21|50,城堡争霸每日奖励,排名达到21-50名，可获得,21|21|40,16|16|40000,,,
13,51|100,城堡争霸每日奖励,排名达到51-100名，可获得,21|21|35,16|16|35000,,,
14,101|200,城堡争霸每日奖励,排名达到101-200名，可获得,21|21|30,16|16|30000,,,
15,201|300,城堡争霸每日奖励,排名达到201-300名，可获得,21|21|26,16|16|26000,,,
16,301|400,城堡争霸每日奖励,排名达到301-400名，可获得,21|21|22,16|16|22000,,,
17,401|500,城堡争霸每日奖励,排名达到401-500名，可获得,21|21|18,16|16|18000,,,
18,501|1000,城堡争霸每日奖励,排名达到501-1000名，可获得,21|21|14,16|16|14000,,,
19,1001|2000,城堡争霸每日奖励,排名达到1001-2000名，可获得,21|21|10,16|16|10000,,,
20,2001|5000,城堡争霸每日奖励,排名达到2001-5000名，可获得,21|21|8,16|16|8000,,,
21,5001|10000,城堡争霸每日奖励,排名达到5001-10000名，可获得,21|21|6,16|16|6000,,,
22,10000|0,城堡争霸每日奖励,排名10000名以下，可获得,21|21|5,16|16|5000,,,
