id,single_desc,all_desc,multiple,horn,red_paper_count,red_paper,red_paper_desc
1,[colorindex:colorIndex=0]你击败了[colorindex:colorIndex=2]{},[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]拿到本次赛事[colorindex:colorIndex=5]第一滴血,1,1,200,8888,[colorindex:colorIndex=0][colorindex:colorIndex=2]{}[colorindex:colorIndex=0]拿到全服[colorindex:colorIndex=5]第一滴血[colorindex:colorIndex=0]，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个[colorindex:colorIndex=2]红包[colorindex:colorIndex=0]
2,[colorindex:colorIndex=0]你击败了[colorindex:colorIndex=2]{},0,0,0,0,0,0
3,[colorindex:colorIndex=0]你击败了[colorindex:colorIndex=2]{},0,0,0,0,0,0
4,[colorindex:colorIndex=0]你击败了[colorindex:colorIndex=2]{},0,0,0,0,0,0
5,[colorindex:colorIndex=0]你击败了[colorindex:colorIndex=2]{},[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]达成[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0]，在赛场[colorindex:colorIndex=2]杀人如麻,0,1,100,8888,[colorindex:colorIndex=0][colorindex:colorIndex=2]{}[colorindex:colorIndex=0]达到[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0]，给全服玩家发放[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个[colorindex:colorIndex=2]红包[colorindex:colorIndex=0]
6,[colorindex:colorIndex=0]你击败了[colorindex:colorIndex=2]{},0,0,0,0,0,0
7,[colorindex:colorIndex=0]你击败了[colorindex:colorIndex=2]{},0,0,0,0,0,0
8,[colorindex:colorIndex=0]你击败了[colorindex:colorIndex=2]{},0,0,0,0,0,0
9,[colorindex:colorIndex=0]你击败了[colorindex:colorIndex=2]{},0,0,0,0,0,0
10,[colorindex:colorIndex=0]你击败了[colorindex:colorIndex=2]{},[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]达成[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0]，在赛场[colorindex:colorIndex=2]杀人如麻,0,1,120,8888,[colorindex:colorIndex=0][colorindex:colorIndex=2]{}[colorindex:colorIndex=0]达到[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0]，给全服玩家发放[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个[colorindex:colorIndex=2]红包[colorindex:colorIndex=0]
11,[colorindex:colorIndex=0]你击败了[colorindex:colorIndex=2]{},0,0,0,0,0,0
12,[colorindex:colorIndex=0]你击败了[colorindex:colorIndex=2]{},0,0,0,0,0,0
13,[colorindex:colorIndex=0]你击败了[colorindex:colorIndex=2]{},0,0,0,0,0,0
14,[colorindex:colorIndex=0]你击败了[colorindex:colorIndex=2]{},0,0,0,0,0,0
15,[colorindex:colorIndex=0]你击败了[colorindex:colorIndex=2]{},[colorindex:colorIndex=0][colorindex:colorIndex=5]{}[colorindex:colorIndex=0]击败了[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]达成[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0]，在赛场[colorindex:colorIndex=2]无人可挡,0,1,150,8888,[colorindex:colorIndex=0][colorindex:colorIndex=2]{}[colorindex:colorIndex=0]成为达到[colorindex:colorIndex=2]{}连胜[colorindex:colorIndex=0]，给全服玩家发放[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个[colorindex:colorIndex=2]红包[colorindex:colorIndex=0]
16,[colorindex:colorIndex=0]你击败了[colorindex:colorIndex=2]{},0,0,0,0,0,0
