id,newstype,newsdesc,arg
1,1,恭喜 {name} 在 [colorindex:colorIndex=10]精灵召唤[colorindex:colorIndex=0] 中召唤出了精灵 {rewards},4
2,2,恭喜 {name} 在 [colorindex:colorIndex=10]精灵召唤[colorindex:colorIndex=0] 中召唤出了精灵 {rewards},1000375|1000390|1000380|1000385|1000369|1000370|1000345|1000359|1000374|1000389|1000367|1000384|1000379|1000355|1000357|1000356|1000373|1000383|1000388|1000365|1000378|1000366|1000352|1000353|1000372|1000363|1000387|1000382|1000377|1000364|1000349|1000350|1000371|1000361|1000386|1000381|1000376|1000362|1000331|1000347
3,3,恭喜 {name} 通过 [colorindex:colorIndex=10]碎片合成[colorindex:colorIndex=0] 获得了精灵 {rewards},4
4,4,恭喜 {name} 通过 [colorindex:colorIndex=10]碎片合成[colorindex:colorIndex=0] 获得了精灵 {rewards},1000375|1000390|1000380|1000385|1000369|1000370|1000345|1000359|1000374|1000389|1000367|1000384|1000379|1000355|1000357|1000356|1000373|1000383|1000388|1000365|1000378|1000366|1000352|1000353|1000372|1000363|1000387|1000382|1000377|1000364|1000349|1000350|1000371|1000361|1000386|1000381|1000376|1000362|1000331|1000347
5,5,恭喜 {name} 成功完成 {rewards} 的进化,4|5
6,6,恭喜 {name} 召唤出专属装备 {rewards},4|5
7,7,恭喜 {name} 合成了专属装备 {rewards},4|5
8,8,恭喜 {name} 将装备 {rewards} 进化到满阶,3|4|5
9,9,恭喜 {name} 将精灵 {rewards} 升星到满星,2|3|4|5
10,10,恭喜 {name} 荣登神魔争霸擂主,0
11,11,恭喜 {name} 发现了BOSS[colorindex:colorIndex=5] %s [colorindex:colorIndex=0] ,0
12,12,恭喜 {name} 通过[colorindex:colorIndex=5] 许愿池 [colorindex:colorIndex=0]获得{rewards} ,0
13,13,恭喜 {name} 通过神将渡魂召唤出 {rewards},1000375|1000390|1000380|1000385|1000369|1000370|1000345|1000359|1000374|1000389|1000367|1000384|1000379|1000355|1000357|1000356|1000373|1000383|1000388|1000365|1000378|1000366|1000352|1000353|1000372|1000363|1000387|1000382|1000377|1000364|1000349|1000350|1000371|1000361|1000386|1000381|1000376|1000362|1000331|1000347
14,14,恭喜 {name} 通过装备炼器召唤出 {rewards},4|5
15,15,恭喜 {name} 通过扭蛋机召唤出精灵 {rewards} ,1000375|1000390|1000380|1000385|1000369|1000370|1000345|1000359|1000374|1000389|1000367|1000384|1000379|1000355|1000357|1000356|1000373|1000383|1000388|1000365|1000378|1000366|1000352|1000353|1000372|1000363|1000387|1000382|1000377|1000364|1000349|1000350|1000371|1000361|1000386|1000381|1000376|1000362|1000331|1000347
16,16,恭喜 {name} 通过扭蛋机召唤出专属 {rewards} ,4|5
17,17,恭喜 {name} 通过 [colorindex:colorIndex=10]梦幻转盘[colorindex:colorIndex=0] 获得了 %s 星精灵 {rewards},1000375|1000390|1000380|1000385|1000369|1000370|1000345|1000359|1000374|1000389|1000367|1000384|1000379|1000355|1000357|1000356|1000373|1000383|1000388|1000365|1000378|1000366|1000352|1000353|1000372|1000363|1000387|1000382|1000377|1000364|1000349|1000350|1000371|1000361|1000386|1000381|1000376|1000362|1000331|1000347
18,18,恭喜 {name} 通过 [colorindex:colorIndex=10]精灵置换[colorindex:colorIndex=0] 获得了 [colorindex:colorIndex=8]稀有[colorindex:colorIndex=0] 精灵 {rewards},1000362|1000381|1000361|1000364|1000382|1000363|1000366|1000365|1000383|1000384|1000367|1000389|1000385|1000380|1000390
19,19,恭喜 {name} 通过 [colorindex:colorIndex=10]精灵置换[colorindex:colorIndex=0] 获得了 [colorindex:colorIndex=9]传说[colorindex:colorIndex=0] 精灵 {rewards},1000371|1000372|1000373|1000374|1000375
20,20,恭喜 {name} 通过 [colorindex:colorIndex=10]精灵置换[colorindex:colorIndex=0] 获得了 [colorindex:colorIndex=10]不朽[colorindex:colorIndex=0] 精灵 {rewards},0
21,21,恭喜 {name} 通过 [colorindex:colorIndex=10]精灵置换[colorindex:colorIndex=0] 获得了 [colorindex:colorIndex=5]永恒[colorindex:colorIndex=0] 精灵 {rewards},0
