eid,ename,ekind,ecolor,ATK,AGU,AGV,HP,HGU,HGV,DEF,DGU,DGV,EVA,EGU,EGV,CRI,CGU,CGV,eq,iconid,picid,value,pnum,issuit,isexclusive,desc,attr_id
10013,铁剑,1,2,75,3,39,0,0,0,0,0,0,0,0,0,0,0,0,28,710001,0,1440,0,0,0,由青铁随意炼制而成，初学者练习常用,30201
10014,红缨枪,1,2,82,3,42,0,0,0,0,0,0,0,0,0,0,0,0,30,710002,0,1680,0,0,0,白腊木制成的枪杆，柔韧有弹性，挥舞后根本停不下来,30201
10015,青铜剑,1,2,80,3,40,0,0,0,0,0,0,0,0,0,0,0,0,29,710003,0,1560,0,11,1,由青铜精炼而成，将领常用的普通兵器,30201
10016,双弦钺,1,2,83,3,42,0,0,0,0,0,0,0,0,0,0,0,0,31,710004,0,1800,0,0,0,铁杆黝黑，银月如弦，挑行李是再好不过了,30201
10017,烧火棍,1,2,70,3,37,0,0,0,0,0,0,0,0,0,0,0,0,26,710005,0,1200,0,23,2,看起来跟刘邦斩蛇的那根棍子有点像？,30201
10018,乌龙鞭,1,2,72,3,38,0,0,0,0,0,0,0,0,0,0,0,0,27,710006,0,1320,0,0,0,"表皮毛糙,极其坚韧，打起人来吃痛的紧",30202
10019,柳叶刀,1,2,76,3,39,0,0,0,0,0,0,0,0,0,0,0,0,28,710007,0,1440,0,0,0,刀身如柳叶，可藏于衣身，实乃暗杀利器,30202
10020,锯齿矛,1,2,82,3,41,0,0,0,0,0,0,0,0,0,0,0,0,30,710008,0,1680,0,0,0,矛是用来丢的，用来刺飞禽猛兽倒是不错,30202
10021,碎铁锤,1,2,85,3,43,0,0,0,0,0,0,0,0,0,0,0,0,32,710009,0,1960,0,6,3,单锤重一千零八十斤，挥舞可碎黑铁,30202
10022,金蛇信,1,3,200,4.9,58,0,0,0,0,0,0,0,0,0,0,0,0,45,710010,0,3760,20,14,4,因枪头如金蛇出信，疾厉无形而得名,30202
10023,凌云爪,1,3,195,4.8,57,0,0,0,0,0,0,0,0,0,0,0,0,44,710011,0,3600,20,0,0,虽是爪类武器，却也带着一股凌然正气,30203
10030,瘟癀伞,1,3,200,4.9,58,0,0,0,0,0,0,0,0,0,0,0,0,45,710012,0,3760,20,1,5,撑开即可瘟天癀地，虽不足以杀死诸神，扰乱凡间倒是绰绰有余,30203
10025,混元锤,1,3,205,5,60,0,0,0,0,0,0,0,0,0,0,0,0,47,710013,0,4040,20,0,6,仿照雷公布雷时所用的锤子而制成,30203
10026,破天锥,1,3,197,4.8,57,0,0,0,0,0,0,0,0,0,0,0,0,44,710014,0,3600,20,0,7,仿照电母鸣电时所用的钉锥而制成,30203
10027,晴光镜弓,1,3,203,4.9,59,0,0,0,0,0,0,0,0,0,0,0,0,46,710015,0,3880,20,8,8,姑瑶山神女用过的镜子，有时也会变成弓以击退色狼,30203
10028,混铁棍,1,3,208,5,62,0,0,0,0,0,0,0,0,0,0,0,0,49,710016,0,4360,20,0,9,牛魔王用巨力将混铁杂糅而成的棍子,30203
10029,方天戟,1,3,210,5,64,0,0,0,0,0,0,0,0,0,0,0,0,51,710017,0,4680,20,17,10,一划一方天地，为方天画戟类兵器中的精品,30203
10024,天师剑,1,3,205,5.1,63,0,0,0,0,0,0,0,0,0,0,0,0,50,710018,0,4520,20,2,0,天师们都会佩戴的一种有灵性的剑,30203
10031,太阴腾蛇剪,1,3,200,4.9,59,0,0,0,0,0,0,0,0,0,0,0,0,46,710019,0,3880,20,0,11,据说是白蛇的武器，有极阴之气附之其上,30203
10032,五火七禽扇,1,4,397,6.8,77,0,0,0,0,0,0,0,0,0,0,0,0,89,710020,0,9440,50,19,12,空中火、石中火、木中火、三昧火、人间火五火集七禽翎炼成,30203
10033,碧空雷光剑,1,3,202,4.9,59,0,0,0,0,0,0,0,0,0,0,0,0,46,710021,0,3880,20,15,13,纤若碧空，动如雷光，传说是女娲赠予妲己之物,30203
10034,落雨梨花枪,1,3,206,5,61,0,0,0,0,0,0,0,0,0,0,0,0,48,710022,0,4200,20,0,14,落雨梨花，不沾枪身，纤细如玉，冷厉如影,30203
10035,太阿剑,1,3,211,5,65,0,0,0,0,0,0,0,0,0,0,0,0,52,710023,0,4800,20,0,15,欧冶子和干将两大剑师联手所铸，威道之剑,30203
10036,火尖枪,1,4,400,7,80,0,0,0,0,0,0,0,0,0,0,0,0,92,710024,0,10000,50,10,16,枪身一丈八长可随意变化，共有两挺，能够合二为一,30203
10037,芭蕉扇,1,4,396,6.8,78,0,0,0,0,0,0,0,0,0,0,0,0,90,710025,0,9640,50,22,17,太阴之精叶，能灭火气，乃乾坤宝扇,30203
10038,三尖两刃刀,1,4,400,7,80,0,0,0,0,0,0,0,0,0,0,0,0,92,710026,0,10000,50,13,18,三叉刀形，刀身两面有刃，清源妙道真君传于世,30203
10039,赤霄剑,1,4,399,7,79,0,0,0,0,0,0,0,0,0,0,0,0,91,710027,0,9800,50,20,19,火神剑的仿制品？,30203
10040,九齿钉耙,1,4,400,7,80,0,0,0,0,0,0,0,0,0,0,0,0,92,710028,0,10000,50,18,20,全名称为上宝沁金耙，乃太上老君用神冰铁亲自锤炼,30203
10041,毗卢禅杖,1,4,390,6.8,78,0,0,0,0,0,0,0,0,0,0,0,0,90,710029,0,9640,50,7,21,佛门供奉的禅杖，大日如来修行时的禅杖，有万丈佛光普照,30203
10042,上清神剑,1,4,398,7,80,0,0,0,0,0,0,0,0,0,0,0,0,92,710030,0,10000,50,21,22,姜子牙的配剑，扶摇直上禹馀天,30203
10043,太仪拂尘,1,4,395,6.9,79,0,0,0,0,0,0,0,0,0,0,0,0,91,710031,0,9800,50,3,23,仙人用的拂尘，扫一扫，乐逍遥,30203
10044,干戚,1,4,410,7.2,85,0,0,0,0,0,0,0,0,0,0,0,0,95,710032,0,10920,50,24,24,刑天的斧和盾，刑天死后不知去向,30203
10045,子午鸳鸯钺,1,3,215,5.1,62,0,0,0,0,0,0,0,0,0,0,0,0,53,710033,0,4960,20,0,25,钺分子午，一雄一雌，演练时开合交织，不即不离,30203
10046,北斗七星剑,1,4,400,7,80,0,0,0,0,0,0,0,0,0,0,0,0,92,710034,0,10000,50,4,26,太上老君炼魔的宝剑，后被金角银角大王盗取法宝下界,30203
10047,如意金箍棒,1,4,408,7.1,83,0,0,0,0,0,0,0,0,0,0,0,0,94,710035,0,10560,50,12,27,原为东海龙宫定海神针，后被齐天大圣取走,30203
10048,水神戟,1,5,592,9.85,98,0,0,0,0,0,0,0,0,0,0,0,0,150,710036,0,17560,100,27,28,水神之物，曾被诸葛孔明用于借东风,30203
