id,gup1,gup2,gup3,gup4,gup5,gup6,gup7,gup8,gup9,gup10,gup11,gup12,gup13,gup14,gup15,gup16,gup17,gup18,gup19,gup20,gup21
1,"[[14,710001,1]]","[[14,710002,1],[14,720002,1]]","[[14,720002,3],[14,710002,1]]","[[14,710003,1],[14,720003,1],[14,730003,1]]","[[14,720003,4],[14,710003,2],[14,730003,2],[14,711003,1]]","[[14,720003,9],[14,710003,3],[14,730003,3],[14,711003,2]]","[[14,710004,1],[14,720004,1],[14,730004,1],[14,711004,1]]","[[14,720004,4],[14,710004,2],[14,730004,2],[14,711004,2]]","[[14,720004,9],[14,710004,3],[14,730004,3],[14,711004,3]]","[[14,720004,18],[14,710004,6],[14,730004,6],[14,711004,6]]","[[14,710005,1],[14,720005,1],[14,730005,1],[14,711005,1]]","[[14,720005,4],[14,710005,2],[14,730005,2],[14,711005,2]]","[[14,720005,9],[14,710005,3],[14,730005,3],[14,711005,3]]","[[14,720005,18],[14,710005,6],[14,730005,6],[14,711005,6]]","[[14,720005,30],[14,710005,10],[14,730005,10],[14,711005,10]]","[[14,720006,4],[14,710006,2],[14,730006,2],[14,711006,2]]","[[14,720006,9],[14,710006,3],[14,730006,3],[14,711006,3]]","[[14,720006,18],[14,710006,6],[14,730006,6],[14,711006,6]]","[[14,720006,30],[14,710006,10],[14,730006,10],[14,711006,10]]","[[14,720007,9],[14,710007,3],[14,730007,3],[14,711007,3]]","[[14,720007,18],[14,710007,6],[14,730007,6],[14,711007,6]]"
2,"[[14,710001,1]]","[[14,710002,1],[14,720002,1]]","[[14,720002,3],[14,710002,1]]","[[14,710003,1],[14,720003,1],[14,730003,1]]","[[14,730003,4],[14,720003,2],[14,710003,2],[14,711003,1]]","[[14,730003,9],[14,720003,3],[14,710003,3],[14,711003,2]]","[[14,710004,1],[14,720004,1],[14,730004,1],[14,711004,1]]","[[14,730004,4],[14,720004,2],[14,710004,2],[14,711004,2]]","[[14,730004,9],[14,720004,3],[14,710004,3],[14,711004,3]]","[[14,730004,18],[14,720004,6],[14,710004,6],[14,711004,6]]","[[14,710005,1],[14,720005,1],[14,730005,1],[14,711005,1]]","[[14,730005,4],[14,720005,2],[14,710005,2],[14,711005,2]]","[[14,730005,9],[14,720005,3],[14,710005,3],[14,711005,3]]","[[14,730005,18],[14,720005,6],[14,710005,6],[14,711005,6]]","[[14,730005,30],[14,720005,10],[14,710005,10],[14,711005,10]]","[[14,730006,4],[14,720006,2],[14,710006,2],[14,711006,2]]","[[14,730006,9],[14,720006,3],[14,710006,3],[14,711006,3]]","[[14,730006,18],[14,720006,6],[14,710006,6],[14,711006,6]]","[[14,730006,30],[14,720006,10],[14,710006,10],[14,711006,10]]","[[14,730007,9],[14,720007,3],[14,710007,3],[14,711007,3]]","[[14,730007,18],[14,720007,6],[14,710007,6],[14,711007,6]]"
3,"[[14,710001,1]]","[[14,710002,1],[14,720002,1]]","[[14,710002,3],[14,720002,1]]","[[14,710003,1],[14,720003,1],[14,730003,1]]","[[14,710003,4],[14,720003,2],[14,730003,2],[14,711003,1]]","[[14,710003,9],[14,720003,3],[14,730003,3],[14,711003,2]]","[[14,710004,1],[14,720004,1],[14,730004,1],[14,711004,1]]","[[14,710004,4],[14,720004,2],[14,730004,2],[14,711004,2]]","[[14,710004,9],[14,720004,3],[14,730004,3],[14,711004,3]]","[[14,710004,18],[14,720004,6],[14,730004,6],[14,711004,6]]","[[14,710005,1],[14,720005,1],[14,730005,1],[14,711005,1]]","[[14,710005,4],[14,720005,2],[14,730005,2],[14,711005,2]]","[[14,710005,9],[14,720005,3],[14,730005,3],[14,711005,3]]","[[14,710005,18],[14,720005,6],[14,730005,6],[14,711005,6]]","[[14,710005,30],[14,720005,10],[14,730005,10],[14,711005,10]]","[[14,710006,4],[14,720006,2],[14,730006,2],[14,711006,2]]","[[14,710006,9],[14,720006,3],[14,730006,3],[14,711006,3]]","[[14,710006,18],[14,720006,6],[14,730006,6],[14,711006,6]]","[[14,710006,30],[14,720006,10],[14,730006,10],[14,711006,10]]","[[14,710007,9],[14,720007,3],[14,730007,3],[14,711007,3]]","[[14,710007,18],[14,720007,6],[14,730007,6],[14,711007,6]]"
4,"[[14,710001,1]]","[[14,710002,1],[14,720002,1]]","[[14,710002,3],[14,720002,1]]","[[14,710003,1],[14,720003,1],[14,730003,1]]","[[14,710003,4],[14,720003,2],[14,730003,2],[14,711003,1]]","[[14,710003,9],[14,720003,3],[14,730003,3],[14,711003,2]]","[[14,710004,1],[14,720004,1],[14,730004,1],[14,711004,1]]","[[14,710004,4],[14,720004,2],[14,730004,2],[14,711004,2]]","[[14,710004,9],[14,720004,3],[14,730004,3],[14,711004,3]]","[[14,710004,18],[14,720004,6],[14,730004,6],[14,711004,6]]","[[14,710005,1],[14,720005,1],[14,730005,1],[14,711005,1]]","[[14,710005,4],[14,720005,2],[14,730005,2],[14,711005,2]]","[[14,710005,9],[14,720005,3],[14,730005,3],[14,711005,3]]","[[14,710005,18],[14,720005,6],[14,730005,6],[14,711005,6]]","[[14,710005,30],[14,720005,10],[14,730005,10],[14,711005,10]]","[[14,710006,4],[14,720006,2],[14,730006,2],[14,711006,2]]","[[14,710006,9],[14,720006,3],[14,730006,3],[14,711006,3]]","[[14,710006,18],[14,720006,6],[14,730006,6],[14,711006,6]]","[[14,710006,30],[14,720006,10],[14,730006,10],[14,711006,10]]","[[14,710007,9],[14,720007,3],[14,730007,3],[14,711007,3]]","[[14,710007,18],[14,720007,6],[14,730007,6],[14,711007,6]]"
5,"[[14,710001,1]]","[[14,710002,1],[14,720002,1]]","[[14,710002,3],[14,720002,1]]","[[14,710003,1],[14,720003,1],[14,730003,1]]","[[14,710003,4],[14,720003,2],[14,730003,2],[14,711003,1]]","[[14,710003,9],[14,720003,3],[14,730003,3],[14,711003,2]]","[[14,710004,1],[14,720004,1],[14,730004,1],[14,711004,1]]","[[14,710004,4],[14,720004,2],[14,730004,2],[14,711004,2]]","[[14,710004,9],[14,720004,3],[14,730004,3],[14,711004,3]]","[[14,710004,18],[14,720004,6],[14,730004,6],[14,711004,6]]","[[14,710005,1],[14,720005,1],[14,730005,1],[14,711005,1]]","[[14,710005,4],[14,720005,2],[14,730005,2],[14,711005,2]]","[[14,710005,9],[14,720005,3],[14,730005,3],[14,711005,3]]","[[14,710005,18],[14,720005,6],[14,730005,6],[14,711005,6]]","[[14,710005,30],[14,720005,10],[14,730005,10],[14,711005,10]]","[[14,710006,4],[14,720006,2],[14,730006,2],[14,711006,2]]","[[14,710006,9],[14,720006,3],[14,730006,3],[14,711006,3]]","[[14,710006,18],[14,720006,6],[14,730006,6],[14,711006,6]]","[[14,710006,30],[14,720006,10],[14,730006,10],[14,711006,10]]","[[14,710007,9],[14,720007,3],[14,730007,3],[14,711007,3]]","[[14,710007,18],[14,720007,6],[14,730007,6],[14,711007,6]]"
6,"[[14,710001,1]]","[[14,710002,1],[14,720002,1]]","[[14,710002,3],[14,720002,1]]","[[14,710003,1],[14,720003,1],[14,730003,1]]","[[14,710003,4],[14,720003,2],[14,730003,2],[14,711003,1]]","[[14,710003,9],[14,720003,3],[14,730003,3],[14,711003,2]]","[[14,710004,1],[14,720004,1],[14,730004,1],[14,711004,1]]","[[14,710004,4],[14,720004,2],[14,730004,2],[14,711004,2]]","[[14,710004,9],[14,720004,3],[14,730004,3],[14,711004,3]]","[[14,710004,18],[14,720004,6],[14,730004,6],[14,711004,6]]","[[14,710005,1],[14,720005,1],[14,730005,1],[14,711005,1]]","[[14,710005,4],[14,720005,2],[14,730005,2],[14,711005,2]]","[[14,710005,9],[14,720005,3],[14,730005,3],[14,711005,3]]","[[14,710005,18],[14,720005,6],[14,730005,6],[14,711005,6]]","[[14,710005,30],[14,720005,10],[14,730005,10],[14,711005,10]]","[[14,710006,4],[14,720006,2],[14,730006,2],[14,711006,2]]","[[14,710006,9],[14,720006,3],[14,730006,3],[14,711006,3]]","[[14,710006,18],[14,720006,6],[14,730006,6],[14,711006,6]]","[[14,710006,30],[14,720006,10],[14,730006,10],[14,711006,10]]","[[14,710007,9],[14,720007,3],[14,730007,3],[14,711007,3]]","[[14,710007,18],[14,720007,6],[14,730007,6],[14,711007,6]]"
7,"[[14,710001,1]]","[[14,710002,1],[14,720002,1]]","[[14,710002,3],[14,720002,1]]","[[14,710003,1],[14,720003,1],[14,730003,1]]","[[14,710003,4],[14,720003,2],[14,730003,2],[14,711003,1]]","[[14,710003,9],[14,720003,3],[14,730003,3],[14,711003,2]]","[[14,710004,1],[14,720004,1],[14,730004,1],[14,711004,1]]","[[14,710004,4],[14,720004,2],[14,730004,2],[14,711004,2]]","[[14,710004,9],[14,720004,3],[14,730004,3],[14,711004,3]]","[[14,710004,18],[14,720004,6],[14,730004,6],[14,711004,6]]","[[14,710005,1],[14,720005,1],[14,730005,1],[14,711005,1]]","[[14,710005,4],[14,720005,2],[14,730005,2],[14,711005,2]]","[[14,710005,9],[14,720005,3],[14,730005,3],[14,711005,3]]","[[14,710005,18],[14,720005,6],[14,730005,6],[14,711005,6]]","[[14,710005,30],[14,720005,10],[14,730005,10],[14,711005,10]]","[[14,710006,4],[14,720006,2],[14,730006,2],[14,711006,2]]","[[14,710006,9],[14,720006,3],[14,730006,3],[14,711006,3]]","[[14,710006,18],[14,720006,6],[14,730006,6],[14,711006,6]]","[[14,710006,30],[14,720006,10],[14,730006,10],[14,711006,10]]","[[14,710007,9],[14,720007,3],[14,730007,3],[14,711007,3]]","[[14,710007,18],[14,720007,6],[14,730007,6],[14,711007,6]]"
8,"[[14,710001,1]]","[[14,710002,1],[14,720002,1]]","[[14,710002,3],[14,720002,1]]","[[14,710003,1],[14,720003,1],[14,730003,1]]","[[14,710003,4],[14,720003,2],[14,730003,2],[14,711003,1]]","[[14,710003,9],[14,720003,3],[14,730003,3],[14,711003,2]]","[[14,710004,1],[14,720004,1],[14,730004,1],[14,711004,1]]","[[14,710004,4],[14,720004,2],[14,730004,2],[14,711004,2]]","[[14,710004,9],[14,720004,3],[14,730004,3],[14,711004,3]]","[[14,710004,18],[14,720004,6],[14,730004,6],[14,711004,6]]","[[14,710005,1],[14,720005,1],[14,730005,1],[14,711005,1]]","[[14,710005,4],[14,720005,2],[14,730005,2],[14,711005,2]]","[[14,710005,9],[14,720005,3],[14,730005,3],[14,711005,3]]","[[14,710005,18],[14,720005,6],[14,730005,6],[14,711005,6]]","[[14,710005,30],[14,720005,10],[14,730005,10],[14,711005,10]]","[[14,710006,4],[14,720006,2],[14,730006,2],[14,711006,2]]","[[14,710006,9],[14,720006,3],[14,730006,3],[14,711006,3]]","[[14,710006,18],[14,720006,6],[14,730006,6],[14,711006,6]]","[[14,710006,30],[14,720006,10],[14,730006,10],[14,711006,10]]","[[14,710007,9],[14,720007,3],[14,730007,3],[14,711007,3]]","[[14,710007,18],[14,720007,6],[14,730007,6],[14,711007,6]]"
9,"[[14,710001,1]]","[[14,710002,1],[14,720002,1]]","[[14,710002,3],[14,720002,1]]","[[14,710003,1],[14,720003,1],[14,730003,1]]","[[14,710003,4],[14,720003,2],[14,730003,2],[14,711003,1]]","[[14,710003,9],[14,720003,3],[14,730003,3],[14,711003,2]]","[[14,710004,1],[14,720004,1],[14,730004,1],[14,711004,1]]","[[14,710004,4],[14,720004,2],[14,730004,2],[14,711004,2]]","[[14,710004,9],[14,720004,3],[14,730004,3],[14,711004,3]]","[[14,710004,18],[14,720004,6],[14,730004,6],[14,711004,6]]","[[14,710005,1],[14,720005,1],[14,730005,1],[14,711005,1]]","[[14,710005,4],[14,720005,2],[14,730005,2],[14,711005,2]]","[[14,710005,9],[14,720005,3],[14,730005,3],[14,711005,3]]","[[14,710005,18],[14,720005,6],[14,730005,6],[14,711005,6]]","[[14,710005,30],[14,720005,10],[14,730005,10],[14,711005,10]]","[[14,710006,4],[14,720006,2],[14,730006,2],[14,711006,2]]","[[14,710006,9],[14,720006,3],[14,730006,3],[14,711006,3]]","[[14,710006,18],[14,720006,6],[14,730006,6],[14,711006,6]]","[[14,710006,30],[14,720006,10],[14,730006,10],[14,711006,10]]","[[14,710007,9],[14,720007,3],[14,730007,3],[14,711007,3]]","[[14,710007,18],[14,720007,6],[14,730007,6],[14,711007,6]]"
10,"[[14,710001,1]]","[[14,710002,1],[14,720002,1]]","[[14,710002,3],[14,720002,1]]","[[14,710003,1],[14,720003,1],[14,730003,1]]","[[14,710003,4],[14,720003,2],[14,730003,2],[14,711003,1]]","[[14,710003,9],[14,720003,3],[14,730003,3],[14,711003,2]]","[[14,710004,1],[14,720004,1],[14,730004,1],[14,711004,1]]","[[14,710004,4],[14,720004,2],[14,730004,2],[14,711004,2]]","[[14,710004,9],[14,720004,3],[14,730004,3],[14,711004,3]]","[[14,710004,18],[14,720004,6],[14,730004,6],[14,711004,6]]","[[14,710005,1],[14,720005,1],[14,730005,1],[14,711005,1]]","[[14,710005,4],[14,720005,2],[14,730005,2],[14,711005,2]]","[[14,710005,9],[14,720005,3],[14,730005,3],[14,711005,3]]","[[14,710005,18],[14,720005,6],[14,730005,6],[14,711005,6]]","[[14,710005,30],[14,720005,10],[14,730005,10],[14,711005,10]]","[[14,710006,4],[14,720006,2],[14,730006,2],[14,711006,2]]","[[14,710006,9],[14,720006,3],[14,730006,3],[14,711006,3]]","[[14,710006,18],[14,720006,6],[14,730006,6],[14,711006,6]]","[[14,710006,30],[14,720006,10],[14,730006,10],[14,711006,10]]","[[14,710007,9],[14,720007,3],[14,730007,3],[14,711007,3]]","[[14,710007,18],[14,720007,6],[14,730007,6],[14,711007,6]]"
11,"[[17,50031,1]]","[[17,50031,1]]","[[17,50031,2]]","[[17,50031,2]]","[[17,50031,2],[14,712003,1]]","[[17,50031,3],[14,712003,2]]","[[17,50031,3],[14,712004,1]]","[[17,50031,3],[14,712004,2]]","[[17,50031,3],[14,712004,3]]","[[17,50031,4],[14,712004,6]]","[[17,50031,4],[14,712005,1]]","[[17,50031,4],[14,712005,2]]","[[17,50031,4],[14,712005,3]]","[[17,50031,4],[14,712005,6]]","[[17,50031,5],[14,712005,10]]","[[17,50031,5],[14,712006,2]]","[[17,50031,5],[14,712006,3]]","[[17,50031,5],[14,712006,6]]","[[17,50031,5],[14,712006,10]]","[[17,50031,5],[14,712007,3]]","[[17,50031,5],[14,712007,6]]"
12,"[[17,50032,1]]","[[17,50032,1]]","[[17,50032,2]]","[[17,50032,2]]","[[17,50032,2],[14,712003,1]]","[[17,50032,3],[14,712003,2]]","[[17,50032,3],[14,712004,1]]","[[17,50032,3],[14,712004,2]]","[[17,50032,3],[14,712004,3]]","[[17,50032,4],[14,712004,6]]","[[17,50032,4],[14,712005,1]]","[[17,50032,4],[14,712005,2]]","[[17,50032,4],[14,712005,3]]","[[17,50032,4],[14,712005,6]]","[[17,50032,5],[14,712005,10]]","[[17,50032,5],[14,712006,2]]","[[17,50032,5],[14,712006,3]]","[[17,50032,5],[14,712006,6]]","[[17,50032,5],[14,712006,10]]","[[17,50032,5],[14,712007,3]]","[[17,50032,5],[14,712007,6]]"
13,"[[17,50033,1]]","[[17,50033,1]]","[[17,50033,2]]","[[17,50033,2]]","[[17,50033,2],[14,712003,1]]","[[17,50033,3],[14,712003,2]]","[[17,50033,3],[14,712004,1]]","[[17,50033,3],[14,712004,2]]","[[17,50033,3],[14,712004,3]]","[[17,50033,4],[14,712004,6]]","[[17,50033,4],[14,712005,1]]","[[17,50033,4],[14,712005,2]]","[[17,50033,4],[14,712005,3]]","[[17,50033,4],[14,712005,6]]","[[17,50033,5],[14,712005,10]]","[[17,50033,5],[14,712006,2]]","[[17,50033,5],[14,712006,3]]","[[17,50033,5],[14,712006,6]]","[[17,50033,5],[14,712006,10]]","[[17,50033,5],[14,712007,3]]","[[17,50033,5],[14,712007,6]]"
14,"[[17,50034,1]]","[[17,50034,1]]","[[17,50034,2]]","[[17,50034,2]]","[[17,50034,2],[14,712003,1]]","[[17,50034,3],[14,712003,2]]","[[17,50034,3],[14,712004,1]]","[[17,50034,3],[14,712004,2]]","[[17,50034,3],[14,712004,3]]","[[17,50034,4],[14,712004,6]]","[[17,50034,4],[14,712005,1]]","[[17,50034,4],[14,712005,2]]","[[17,50034,4],[14,712005,3]]","[[17,50034,4],[14,712005,6]]","[[17,50034,5],[14,712005,10]]","[[17,50034,5],[14,712006,2]]","[[17,50034,5],[14,712006,3]]","[[17,50034,5],[14,712006,6]]","[[17,50034,5],[14,712006,10]]","[[17,50034,5],[14,712007,3]]","[[17,50034,5],[14,712007,6]]"
