strengthen,base_addition,cost,level_need,success_rate,failed_level
1,1,10000,1,100,1
2,2,10000,1,100,1
3,3,10000,1,100,2
4,4,10000,1,100,3
5,5,10000,1,100,4
6,7,20000,1,100,5
7,9,20000,1,100,6
8,11,20000,1,100,7
9,13,20000,1,100,8
10,15,20000,1,100,9
11,18,30000,1,100,10
12,21,30000,1,100,11
13,24,30000,1,100,12
14,27,30000,1,100,13
15,30,30000,1,100,14
16,34,40000,1,100,15
17,38,40000,1,100,16
18,42,40000,1,100,17
19,46,40000,1,100,18
20,50,40000,1,100,19
21,55,50000,1,100,20
22,60,50000,1,100,21
23,65,50000,1,100,22
24,70,50000,1,100,23
25,75,50000,1,100,24
26,81,100000,1,100,25
27,87,100000,1,100,26
28,93,100000,1,100,27
29,99,100000,1,100,28
30,105,100000,1,100,29
31,112,200000,1,100,30
32,119,200000,1,100,31
33,126,200000,1,100,32
34,133,200000,1,100,33
35,140,200000,1,100,34
36,148,300000,1,100,35
37,156,300000,1,100,36
38,164,300000,1,100,37
39,172,300000,1,100,38
40,180,300000,1,100,39
41,189,400000,1,100,40
42,198,400000,1,100,41
43,207,400000,1,100,42
44,216,400000,1,100,43
45,225,400000,1,100,44
46,235,500000,1,100,45
47,245,500000,1,100,46
48,255,500000,1,100,47
49,265,500000,1,100,48
50,275,500000,1,100,49
51,286,600000,1,100,50
52,297,600000,1,100,51
53,308,600000,1,100,52
54,319,600000,1,100,53
55,330,600000,1,100,54
56,342,700000,1,100,55
57,354,700000,1,100,56
58,366,700000,1,100,57
59,378,700000,1,100,58
60,390,700000,1,100,59
61,403,800000,1,100,60
62,416,800000,1,100,61
63,429,800000,1,100,62
64,442,800000,1,100,63
65,455,800000,1,100,64
66,469,900000,1,100,65
67,483,900000,1,100,66
68,497,900000,1,100,67
69,511,900000,1,100,68
70,525,900000,1,100,69
71,540,1000000,1,100,70
72,555,1000000,1,100,71
73,570,1000000,1,100,72
74,585,1000000,1,100,73
75,600,1000000,1,100,74
76,616,1100000,1,100,75
77,632,1100000,1,100,76
78,648,1100000,1,100,77
79,664,1100000,1,100,78
80,680,1100000,1,100,79
81,697,1200000,1,100,80
82,714,1200000,1,100,81
83,731,1200000,1,100,82
84,748,1200000,1,100,83
85,765,1200000,1,100,84
86,783,1300000,1,100,85
87,801,1300000,1,100,86
88,819,1300000,1,100,87
89,837,1300000,1,100,88
90,855,1300000,1,100,89
91,874,1400000,1,100,90
92,893,1400000,1,100,91
93,912,1400000,1,100,92
94,931,1400000,1,100,93
95,950,1400000,1,100,94
96,970,1500000,1,100,95
97,990,1500000,1,100,96
98,1010,1500000,1,100,97
99,1030,1500000,1,100,98
100,1050,1500000,1,100,99
101,1071,1600000,1,100,100
102,1092,1600000,1,100,101
103,1113,1600000,1,100,102
104,1134,1600000,1,100,103
105,1155,1600000,1,100,104
106,1177,1700000,1,100,105
107,1199,1700000,1,100,106
108,1221,1700000,1,100,107
109,1243,1700000,1,100,108
110,1265,1700000,1,100,109
111,1288,1800000,1,100,110
112,1311,1800000,1,100,111
113,1334,1800000,1,100,112
114,1357,1800000,1,100,113
115,1380,1800000,1,100,114
116,1404,1900000,1,100,115
117,1428,1900000,1,100,116
118,1452,1900000,1,100,117
119,1476,1900000,1,100,118
120,1500,1900000,1,100,119
