exclid,unit1,unit2,unit3,unit4,ATK,HP,DEF,EVA,CRI
1,11,12,13,0,100,0,0,0,0
2,31,69,80,0,0,300,0,0,0
3,6,7,8,74,0,300,0,0,0
4,32,49,50,0,0,600,0,0,0
5,16,60,61,65,0,0,100,0,0
6,5,0,0,0,150,0,0,0,0
7,4,103,0,0,0,600,0,0,0
8,19,22,0,0,0,0,100,0,0
9,20,10,15,0,0,0,100,0,0
10,23,29,30,0,150,0,0,0,0
11,27,66,0,0,0,600,0,0,0
12,42,44,0,0,0,1000,0,0,0
13,28,0,0,0,150,0,0,0,0
14,59,107,0,0,0,0,100,0,0
15,9,104,0,0,0,600,0,0,0
16,1,36,21,0,300,0,0,0,0
17,2,78,57,112,0,1000,0,0,0
18,3,109,0,0,0,1000,0,0,0
19,67,40,0,0,300,0,0,0,0
20,18,37,113,0,0,1000,0,0,0
21,17,51,63,62,0,500,100,0,0
22,45,106,0,0,0,1000,0,0,0
23,41,43,72,110,200,500,0,0,0
24,26,0,0,0,300,0,0,0,0
25,35,64,0,0,0,600,0,0,0
26,77,39,0,0,200,0,100,0,0
27,24,55,0,0,320,0,0,0,0
28,54,0,0,0,0,0,400,0,0
29,53,0,0,0,500,0,0,0,0
30,58,0,0,0,300,0,150,0,0
31,56,0,0,0,0,1800,0,0,0
32,71,0,0,0,500,0,0,0,5
33,25,52,111,0,0,1800,0,0,0
34,46,47,48,0,0,300,0,0,0
35,68,73,79,74,0,300,0,0,0
36,11,12,13,0,100,0,0,0,0
37,23,30,108,0,150,0,0,0,0
38,19,22,0,0,0,300,50,0,0
39,16,60,61,65,80,300,0,0,0
40,9,0,0,0,0,300,50,0,0
41,35,59,103,0,0,0,100,0,0
42,4,14,66,0,0,600,0,0,0
43,32,49,50,0,0,600,0,0,0
44,3,20,109,0,0,0,150,0,0
45,10,15,107,0,0,0,100,0,0
46,42,44,56,0,0,1000,0,0,0
47,28,33,34,0,0,600,0,0,0
48,104,0,0,0,180,0,0,0,0
49,21,64,0,0,0,600,0,0,0
50,26,0,0,0,0,1000,0,0,0
51,24,55,0,0,0,1000,0,0,0
52,2,57,76,0,0,500,100,0,0
53,45,106,0,0,0,0,150,0,0
54,67,40,0,0,200,500,0,0,0
55,41,43,72,110,0,500,100,0,0
56,77,5,39,105,200,500,0,0,0
57,18,37,38,71,0,1000,0,0,0
58,51,63,0,0,300,0,0,0,0
59,1,36,53,0,200,500,0,0,0
60,57,0,0,0,0,1500,0,5,0
61,54,0,0,0,0,1000,200,0,0
62,62,0,0,0,0,1800,0,0,0
63,58,0,0,0,0,0,400,0,0
64,25,52,111,0,0,1000,0,0,0
65,31,69,80,0,0,300,0,0,0
66,68,73,79,0,100,0,0,0,0
67,70,75,81,0,0,0,50,0,0
68,24,0,0,0,0,0,0,0,8
69,16,60,61,65,150,0,0,0,0
70,42,44,56,0,300,0,0,0,0
71,17,32,0,0,0,0,100,0,0
72,19,27,103,0,0,600,0,0,0
73,23,29,108,0,150,0,0,0,0
74,4,66,0,0,0,300,50,0,0
75,3,20,109,0,300,0,0,0,0
76,15,104,64,0,0,300,50,0,0
77,28,33,34,0,80,300,0,0,0
78,51,63,62,0,0,1000,0,0,0
79,77,5,39,0,0,500,100,0,0
80,2,78,57,0,200,500,0,0,0
81,18,113,38,71,0,1000,0,0,0
82,36,53,54,0,150,0,0,3,0
83,45,106,0,0,150,0,80,0,0
84,41,43,72,0,150,0,80,0,0
85,67,40,58,0,150,0,80,0,0
86,55,0,0,0,0,1500,0,5,0
87,25,111,0,0,0,1800,0,0,0
88,70,75,81,0,60,200,0,0,0
89,46,47,48,0,0,300,0,0,0
90,6,7,8,0,0,300,0,0,0
91,18,113,38,0,0,0,150,0,0
92,17,49,50,0,0,300,50,0,0
93,16,60,61,65,150,0,0,0,0
94,29,30,107,108,150,0,0,0,0
95,19,22,27,0,0,300,50,0,0
96,28,33,34,0,0,600,0,0,0
97,14,0,0,0,150,0,0,0,0
98,3,20,109,0,300,0,0,0,0
99,45,106,0,0,300,0,0,0,0
100,42,44,56,0,0,1000,0,0,0
101,25,52,111,0,0,1000,0,0,0
102,77,5,39,0,250,0,0,0,3
103,78,57,76,0,0,500,100,0,0
104,24,55,0,0,0,1000,0,0,0
105,67,40,58,0,0,500,100,0,0
106,51,63,62,0,300,0,0,0,0
107,41,43,72,110,0,1000,0,0,0
108,1,36,54,0,150,0,80,0,0
109,71,0,0,0,0,1000,0,0,10
110,53,0,0,0,500,0,0,0,0
111,24,105,0,0,120,0,0,0,2
112,1,0,0,0,0,0,0,0,8
113,14,64,0,0,0,0,0,5,0
114,25,52,0,0,0,1000,0,0,0
115,37,71,0,0,0,1000,0,0,0
116,78,19,0,0,0,1000,0,0,0
117,56,0,0,0,500,0,0,0,0
118,55,0,0,0,500,0,0,0,0
119,57,0,0,0,500,0,0,0,0
120,51,0,0,0,0,1000,0,0,0
121,5,105,0,0,0,600,0,0,0
122,37,38,113,0,200,500,0,0,0
123,52,0,0,0,0,1000,0,0,0
124,63,0,0,0,300,0,0,0,0
125,76,0,0,0,0,1800,0,0,0
126,62,0,0,0,0,1000,200,0,0
127,53,54,0,0,300,0,0,0,3
128,58,0,0,0,0,1000,0,0,0
129,76,110,112,0,0,1800,0,0,0
130,76,0,0,0,0,1800,0,0,0
131,110,112,0,0,0,1000,0,5,0
132,112,0,0,0,500,0,0,0,0
133,112,0,0,0,500,0,0,0,0
