id,chapter,stars,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3
1,1001,10,14|21000356|2,8|8|5000,
2,1001,20,14|21000356|2,8|8|7500,2|2|20
3,1001,30,14|21000356|2,8|8|12500,2|2|30
4,1002,10,14|21000356|2,8|8|5000,
5,1002,20,14|21000356|2,8|8|7500,2|2|20
6,1002,30,14|21000356|2,8|8|12500,2|2|30
7,1003,10,14|21000356|2,8|8|5000,
8,1003,20,14|21000356|2,8|8|7500,2|2|20
9,1003,30,14|21000356|2,8|8|12500,2|2|30
10,1004,10,14|21000356|2,8|8|5000,
11,1004,20,14|21000356|2,8|8|7500,2|2|20
12,1004,30,14|21000356|2,8|8|12500,2|2|30
13,1005,10,14|21000356|2,8|8|5000,
14,1005,20,14|21000356|2,8|8|7500,2|2|20
15,1005,30,14|21000356|2,8|8|12500,2|2|30
16,1006,10,14|21000356|2,8|8|5000,
17,1006,20,14|21000356|2,8|8|7500,2|2|20
18,1006,30,14|21000356|2,8|8|12500,2|2|30
19,1007,10,14|21000356|2,8|8|5000,
20,1007,20,14|21000356|2,8|8|7500,2|2|20
21,1007,30,14|21000356|2,8|8|12500,2|2|30
22,1008,10,14|21000356|2,8|8|5000,
23,1008,20,14|21000356|2,8|8|7500,2|2|20
24,1008,30,14|21000356|2,8|8|12500,2|2|30
25,1009,10,14|21000356|2,8|8|5000,
26,1009,20,14|21000356|2,8|8|7500,2|2|20
27,1009,30,14|21000356|2,8|8|12500,2|2|30
28,1010,10,14|21000356|2,8|8|5000,
29,1010,20,14|21000356|2,8|8|7500,2|2|20
30,1010,30,14|21000356|2,8|8|12500,2|2|30
31,1011,10,14|21000356|2,8|8|7500,
32,1011,20,14|21000356|2,8|8|11250,2|2|30
33,1011,30,14|21000356|2,8|8|18750,2|2|45
34,1012,10,14|21000356|2,8|8|7500,
35,1012,20,14|21000356|2,8|8|11250,2|2|30
36,1012,30,14|21000356|2,8|8|18750,2|2|45
37,1013,10,14|21000356|2,8|8|7500,
38,1013,20,14|21000356|2,8|8|11250,2|2|30
39,1013,30,14|21000356|2,8|8|18750,2|2|45
40,1014,10,14|21000356|2,8|8|7500,
41,1014,20,14|21000356|2,8|8|11250,2|2|30
42,1014,30,14|21000356|2,8|8|18750,2|2|45
43,1015,10,14|21000356|2,8|8|7500,
44,1015,20,14|21000356|2,8|8|11250,2|2|30
45,1015,30,14|21000356|2,8|8|18750,2|2|45
46,1016,10,14|21000356|2,8|8|7500,
47,1016,20,14|21000356|2,8|8|11250,2|2|30
48,1016,30,14|21000356|2,8|8|18750,2|2|45
49,1017,10,14|21000356|2,8|8|7500,
50,1017,20,14|21000356|2,8|8|11250,2|2|30
