id,ranking,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3,type|itemID|amount4
1,1|1,15|15|2000,20|20|2000,0,0
2,2|2,15|15|1500,20|20|1500,0,0
3,3|3,15|15|1200,20|20|1200,0,0
4,4|10,15|15|1000,20|20|1000,0,0
5,11|20,15|15|900,20|20|900,0,0
6,21|50,15|15|800,20|20|800,0,0
7,51|100,15|15|750,20|20|750,0,0
8,101|200,15|15|700,20|20|700,0,0
9,201|500,15|15|650,20|20|650,0,0
10,501|1000,15|15|600,20|20|600,0,0
11,1001|2000,15|15|550,20|20|550,0,0
12,2001|5000,15|15|500,20|20|500,0,0
13,5001|10000,15|15|450,20|20|450,0,0
14,10000|0,15|15|400,20|20|400,0,0
