id,class,unitsid,prob
1,2,1000316,1000
2,2,1000317,1000
3,2,1000318,1000
4,2,1000319,1000
5,2,1000320,1000
6,2,1000321,1000
7,2,1000322,1000
8,2,1000323,1000
9,2,1000324,1000
10,2,1000325,500
11,2,1000326,0
12,2,1000327,500
13,2,1000328,500
14,2,1000329,500
15,2,1000330,500
16,3,1000331,1000
17,3,1000332,1000
18,3,1000333,1000
19,3,1000334,3000
20,3,1000335,3000
21,3,1000336,3000
22,3,1000337,1000
23,3,1000338,1000
24,3,1000339,1000
25,3,1000340,0
26,3,1000341,500
27,3,1000342,500
28,3,1000343,500
29,3,1000344,500
30,3,1000345,500
31,4,1000346,1250
32,4,1000347,1000
33,4,1000348,0
34,4,1000349,1250
35,4,1000350,1000
36,4,1000351,0
37,4,1000352,500
38,4,1000353,1000
39,4,1000354,0
40,4,1000355,0
41,4,1000356,0
42,4,1000357,500
43,4,1000358,0
44,4,1000359,500
45,4,1000360,500
46,4,1000361,1000
47,4,1000362,0
48,4,1000363,1000
49,4,1000364,0
50,4,1000365,1000
51,4,1000366,0
52,4,1000367,0
53,4,1000368,0
54,4,1000369,0
55,4,1000370,0
56,5,1000371,1000
57,5,1000372,1000
58,5,1000373,1000
59,5,1000374,0
60,5,1000375,0
