id,type,step,gupr,compose_need_num,name,icon,desc,atk,hp,def
81101,1,1,81102,3,碎裂的红宝石,81101,[colorindex:colorIndex=0]1级攻击宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗1级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗2级宝石,10,0,0
81102,1,2,81103,3,晦暗的红宝石,81102,[colorindex:colorIndex=0]2级攻击宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗2级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗3级宝石,20,0,0
81103,1,3,81104,3,暗淡的红宝石,81103,[colorindex:colorIndex=0]3级攻击宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗3级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗4级宝石,40,0,0
81104,1,4,81105,3,普通的红宝石,81104,[colorindex:colorIndex=0]4级攻击宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗4级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗5级宝石,80,0,0
81105,1,5,81106,3,切割的红宝石,81105,[colorindex:colorIndex=0]5级攻击宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗5级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗6级宝石,160,0,0
81106,1,6,81107,3,抛光的红宝石,81106,[colorindex:colorIndex=0]6级攻击宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗6级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗7级宝石,320,0,0
81107,1,7,81108,3,闪耀的红宝石,81107,[colorindex:colorIndex=0]7级攻击宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗7级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗8级宝石,640,0,0
81108,1,8,81109,3,无瑕的红宝石,81108,[colorindex:colorIndex=0]8级攻击宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗8级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗9级宝石,1280,0,0
81109,1,9,81110,3,完美的红宝石,81109,[colorindex:colorIndex=0]9级攻击宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗9级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗10级宝石,2560,0,0
81110,1,10,0,3,不朽的红宝石,81110,[colorindex:colorIndex=0]10级攻击宝石[endl:num=1][colorindex:colorIndex=3]宝石已达最高等级[colorindex:colorIndex=0],5120,0,0
81201,2,1,81202,3,碎裂的绿宝石,81201,[colorindex:colorIndex=0]1级血量宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗1级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗2级宝石,0,50,0
81202,2,2,81203,3,晦暗的绿宝石,81202,[colorindex:colorIndex=0]2级血量宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗2级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗3级宝石,0,100,0
