id,single_attack_win_desc,single_attack_lose_desc,attack_count_desc,multiple1,horn1,red_paper_desc,multiple2,horn2,red_paper_count,red_paper
0,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,0,0,0,0,0,0,0,0
1,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,1,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,15,8888
2,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
3,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
4,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
5,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,0,1,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,15,8888
6,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
7,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
8,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
9,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
