id,single_defend_win_desc,single_defend_lose_dese,defend_count_desc,multiple1,horn1,red_paper_desc,multiple2,horn2,red_paper_count,red_paper
0,你成功阻止[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]抢夺宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败损失部分宝藏,0,0,0,0,0,0,0,0
1,你成功阻止[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]抢夺宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败损失部分宝藏,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次押运，获得大量宝藏,1,0,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次押运，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,50,8888
2,你成功阻止[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]抢夺宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败损失部分宝藏,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次押运，获得大量宝藏,1,0,0,0,0,0,8888
3,你成功阻止[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]抢夺宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败损失部分宝藏,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次押运，获得大量宝藏,1,0,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次押运，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,50,8888
4,你成功阻止[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]抢夺宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败损失部分宝藏,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次押运，获得大量宝藏,0,0,0,0,0,0,8888
5,你成功阻止[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]抢夺宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败损失部分宝藏,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次押运，获得大量宝藏,0,1,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次押运，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,50,8888
6,你成功阻止[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]抢夺宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败损失部分宝藏,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次押运，获得大量宝藏,0,0,0,1,1,0,8888
7,你成功阻止[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]抢夺宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败损失部分宝藏,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次押运，获得大量宝藏,0,0,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次押运，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,50,8888
8,你成功阻止[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]抢夺宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败损失部分宝藏,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次押运，获得大量宝藏,0,0,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次押运，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,50,8888
9,你成功阻止[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]抢夺宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败损失部分宝藏,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次押运，获得大量宝藏,0,0,0,1,1,0,8888
10,你成功阻止[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]抢夺宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败损失部分宝藏,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次押运，获得大量宝藏,0,1,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次押运，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,50,8888
