id,golden,silver
1,10,20000
2,10,25000
3,10,30000
4,20,40000
5,20,42000
6,20,44000
7,40,80000
8,40,85000
9,40,90000
10,40,95000
11,40,100000
12,100,200000
13,100,210000
14,100,220000.00000000003
15,100,230000.00000000003
16,100,240000.00000000003
17,200,400000
18,200,410000
19,200,420000
20,200,430000
21,200,440000
22,200,450000
23,300,600000
24,300,610000
25,300,620000
26,300,630000
27,300,640000
28,300,650000
29,300,660000
30,400,800000
31,400,810000
32,400,820000
33,400,830000
34,400,840000
35,400,850000
36,400,860000
37,400,870000
38,400,880000
39,400,890000
40,400,900000
41,400,910000
42,400,920000
43,400,930000
44,400,940000
45,400,950000
46,400,960000
47,400,970000
48,400,980000
49,400,990000
50,400,1000000
51,400,1010000
52,400,1020000
53,400,1030000
54,400,1040000
55,400,1050000
56,400,1060000
57,400,1070000
58,400,1080000
59,400,1090000
60,400,1100000
61,400,1110000
62,400,1120000
63,400,1130000
64,400,1140000
65,400,1150000
66,400,1160000
67,400,1170000
68,400,1180000
69,400,1190000
70,400,1200000
71,400,1210000
72,400,1220000
73,400,1230000
74,400,1240000
75,400,1250000
76,400,1260000
77,400,1270000
78,400,1280000
79,400,1290000
80,400,1300000
81,400,1310000
82,400,1320000
83,400,1330000
84,400,1340000
85,400,1350000
86,400,1360000
87,400,1370000
88,400,1380000
89,400,1390000
90,400,1400000
91,400,1410000
92,400,1420000
93,400,1430000
94,400,1440000
95,400,1450000
96,400,1460000
97,400,1470000
98,400,1480000
99,400,1490000
100,400,1500000
