id,single_win_desc,single_lose_desc,unions_win_desc,multiple1,horn1,red_paper_desc,multiple2,horn2,red_paper_count,red_paper
0,0,0,0,0,0,0,0,0,0,0
1,你击败了第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层精灵获得大量基础资源,你被第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层精灵击败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会推进到第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层,1,1,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会推进到第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,50,8888
2,你击败了第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层精灵获得大量基础资源,你被第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层精灵击败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会推进到第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层,1,0,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会推进到第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,50,8888
3,你击败了第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层精灵获得大量基础资源,你被第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层精灵击败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会推进到第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层,1,0,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会推进到第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,50,8888
4,你击败了第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层精灵获得大量基础资源,你被第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层精灵击败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会推进到第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层,1,0,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会推进到第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,50,8888
5,你击败了第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层精灵获得大量基础资源,你被第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层精灵击败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会推进到第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层,0,1,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会推进到第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,50,8888
6,你击败了第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层精灵获得大量基础资源,你被第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层精灵击败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会推进到第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层,1,0,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会推进到第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,50,8888
7,你击败了第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层精灵获得大量基础资源,你被第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层精灵击败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会推进到第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层,1,0,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会推进到第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,50,8888
8,你击败了第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层精灵获得大量基础资源,你被第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层精灵击败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会推进到第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层,1,0,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会推进到第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,50,8888
9,你击败了第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层精灵获得大量基础资源,你被第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层精灵击败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会推进到第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层,1,0,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会推进到第[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]层，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,50,8888
