id,monster_lv,monster_skill_lv,monster_star,monster_id1,monster_id2,monster_id3,monster_id4,monster_group_count,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3,type|itemID|amount4,typea|itemID|amount1,typea|itemID|amount2,typea|itemID|amount3,typea|itemID|amount4
1,67,30,5,1006351,1006334,1006354,1006335,30,8|8|20000,16|16|2000,0,0,8|8|10000,16|16|1000,0,0
2,70,30,6,1007338,1006352,1006341,1006344,30,8|8|22000,16|16|2200,0,0,8|8|11000,16|16|1100,0,0
3,73,31,6,1007332,1006346,1006341,1006343,30,8|8|24000,16|16|2400,0,0,8|8|12000,16|16|1200,0,0
4,76,31,7,1007331,1006356,1006350,1006339,30,8|8|26000,16|16|2600,0,0,8|8|13000,16|16|1300,0,0
5,79,32,7,1007350,1006355,1006345,1006359,30,8|8|28000,16|16|2800,0,0,8|8|14000,16|16|1400,0,0
6,82,32,8,1007358,1006356,1006350,1006349,30,8|8|30000,16|16|3000,0,0,8|8|15000,16|16|1500,0,0
7,85,33,8,1007333,1006339,1006336,1006344,30,8|8|32000,16|16|3200,0,0,8|8|16000,16|16|1600,0,0
8,88,33,9,1007354,1006358,1006335,1006346,30,8|8|34000,16|16|3400,0,0,8|8|17000,16|16|1700,0,0
9,91,34,9,1007344,1006360,1006342,1006341,30,8|8|36000,16|16|3600,0,0,8|8|18000,16|16|1800,0,0
10,94,34,10,1007334,1006351,1006335,1006339,30,8|8|38000,16|16|3800,0,0,8|8|19000,16|16|1900,0,0
11,97,35,10,1007356,1006350,1006325,1006362,30,8|8|40000,16|16|4000,0,0,8|8|20000,16|16|2000,0,0
12,100,35,11,1008338,1006352,1006341,1006344,30,8|8|42000,16|16|4200,0,0,8|8|21000,16|16|2100,0,0
13,103,36,11,1008332,1006346,1006341,1006343,30,8|8|44000,16|16|4400,0,0,8|8|22000,16|16|2200,0,0
14,106,36,12,1008333,1006356,1006350,1006339,30,8|8|46000,16|16|4600,0,0,8|8|23000,16|16|2300,0,0
15,109,37,12,1008350,1006355,1006345,1006359,30,8|8|48000,16|16|4800,0,0,8|8|24000,16|16|2400,0,0
16,112,37,13,1008363,1006372,1003364,1006335,30,8|8|50000,16|16|5000,0,0,8|8|25000,16|16|2500,0,0
17,115,38,13,1008333,1007339,1007336,1007344,30,8|8|52000,16|16|5200,0,0,8|8|26000,16|16|2600,0,0
18,118,38,14,1008354,1007358,1007335,1007346,30,8|8|54000,16|16|5400,0,0,8|8|27000,16|16|2700,0,0
19,121,39,14,1008344,1007360,1007342,1007341,30,8|8|56000,16|16|5600,0,0,8|8|28000,16|16|2800,0,0
20,124,39,15,1008334,1007351,1007335,1007339,30,8|8|58000,16|16|5800,0,0,8|8|29000,16|16|2900,0,0
21,127,40,15,1008373,1007352,1007359,1007353,30,8|8|60000,16|16|6000,0,0,8|8|30000,16|16|3000,0,0
22,130,40,16,1009338,1007352,1007341,1007344,30,8|8|62000,16|16|6200,0,0,8|8|31000,16|16|3100,0,0
23,133,41,16,1009332,1007346,1007341,1007343,30,8|8|64000,16|16|6400,0,0,8|8|32000,16|16|3200,0,0
24,136,41,17,1009333,1007356,1007350,1007339,30,8|8|66000,16|16|6600,0,0,8|8|33000,16|16|3300,0,0
25,139,42,17,1009350,1007355,1007345,1007359,30,8|8|68000,16|16|6800,0,0,8|8|34000,16|16|3400,0,0
26,142,42,18,1009364,1007352,1007357,1007367,30,8|8|70000,16|16|7000,0,0,8|8|35000,16|16|3500,0,0
27,145,43,18,1009333,1008339,1008336,1008344,30,8|8|72000,16|16|7200,0,0,8|8|36000,16|16|3600,0,0
28,148,43,19,1009354,1008358,1008335,1008346,30,8|8|74000,16|16|7400,0,0,8|8|37000,16|16|3700,0,0
29,151,44,19,1009344,1008360,1008342,1008341,30,8|8|76000,16|16|7600,0,0,8|8|38000,16|16|3800,0,0
30,154,44,20,1009334,1008351,1008335,1008339,30,8|8|78000,16|16|7800,0,0,8|8|39000,16|16|3900,0,0
31,157,45,20,1009331,1008361,1008374,1008371,30,8|8|80000,16|16|8000,0,0,8|8|40000,16|16|4000,0,0
32,160,45,20,1010338,1008352,1008341,1008344,30,8|8|82000,16|16|8200,0,0,8|8|41000,16|16|4100,0,0
33,163,46,20,1010332,1008346,1008341,1008343,30,8|8|84000,16|16|8400,0,0,8|8|42000,16|16|4200,0,0
34,166,46,20,1010333,1008356,1008350,1008339,30,8|8|86000,16|16|8600,0,0,8|8|43000,16|16|4300,0,0
35,169,47,20,1010350,1008355,1008345,1008359,30,8|8|88000,16|16|8800,0,0,8|8|44000,16|16|4400,0,0
36,172,47,20,1010353,1008362,1008345,1008347,30,8|8|90000,16|16|9000,0,0,8|8|45000,16|16|4500,0,0
37,175,48,20,1010333,1009339,1009336,1009344,30,8|8|92000,16|16|9200,0,0,8|8|46000,16|16|4600,0,0
38,178,48,20,1010354,1009358,1009335,1009346,30,8|8|94000,16|16|9400,0,0,8|8|47000,16|16|4700,0,0
39,181,49,20,1010344,1009360,1009342,1009341,30,8|8|96000,16|16|9600,0,0,8|8|48000,16|16|4800,0,0
40,184,49,20,1010334,1009351,1009335,1009339,30,8|8|98000,16|16|9800,0,0,8|8|49000,16|16|4900,0,0
41,187,50,20,1010369,1009355,1009359,1009372,30,8|8|100000,16|16|10000,0,0,8|8|50000,16|16|5000,0,0
42,190,50,20,1011338,1009352,1009341,1009344,30,8|8|102000,16|16|10200,0,0,8|8|51000,16|16|5100,0,0
43,193,51,20,1011332,1009346,1009341,1009343,30,8|8|104000,16|16|10400,0,0,8|8|52000,16|16|5200,0,0
44,196,51,20,1011333,1009356,1009350,1009339,30,8|8|106000,16|16|10600,0,0,8|8|53000,16|16|5300,0,0
45,199,52,20,1011350,1009355,1009345,1009359,30,8|8|108000,16|16|10800,0,0,8|8|54000,16|16|5400,0,0
46,202,52,20,1011364,1009352,1009357,1009367,30,8|8|110000,16|16|11000,0,0,8|8|55000,16|16|5500,0,0
47,205,53,20,1011333,1010339,1010336,1010344,30,8|8|112000,16|16|11200,0,0,8|8|56000,16|16|5600,0,0
48,208,53,20,1011354,1010358,1010335,1010346,30,8|8|114000,16|16|11400,0,0,8|8|57000,16|16|5700,0,0
49,211,54,20,1011344,1010360,1010342,1010341,30,8|8|116000,16|16|11600,0,0,8|8|58000,16|16|5800,0,0
50,214,54,20,1011334,1010351,1010335,1010339,30,8|8|118000,16|16|11800,0,0,8|8|59000,16|16|5900,0,0
51,217,55,20,1011331,1010361,1010374,1010371,30,8|8|120000,16|16|12000,0,0,8|8|60000,16|16|6000,0,0
52,220,55,20,1011338,1010352,1010341,1010344,30,8|8|122000,16|16|12200,0,0,8|8|61000,16|16|6100,0,0
53,223,56,20,1011332,1010346,1010341,1010343,30,8|8|124000,16|16|12400,0,0,8|8|62000,16|16|6200,0,0
