id,name,type,cmd1,golden,currency,amount,sdktype,goodsid,gift_png,first_tag,general_tag,first_drop,general_drop,general_cmd,bright_point,channelLabel
10000001,尊贵月卡,8,"[colorindex:colorIndex=10]购买后立即获得250[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4][endl:num=1][colorindex:colorIndex=4]每日可额外获得120[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4]",500,CNY,50,0,yk50,660011,Nui_0004_30,Nui_0004_30,0,0,[colorindex:colorIndex=10]继续购买可续签领取天数[endl:num=1][colorindex:colorIndex=4]剩余领取天数：{}天,1,0
10000002,普通月卡,7,"[colorindex:colorIndex=10]购买后立即获得500[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4][endl:num=1][colorindex:colorIndex=4]每日可额外获得240[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4]",250,CNY,25,0,yk25,660010,Nui_0004_30,Nui_0004_30,0,0,[colorindex:colorIndex=10]继续购买可续签领取天数[endl:num=1][colorindex:colorIndex=4]剩余领取天数：{}天,1,0
10000003,6480钻石,1,"[colorindex:colorIndex=10]首次购买额外赠送12960[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4][colorindex:colorIndex=4][endl:num=1](限赠1次)",6480,CNY,648,0,648,660005,Nui_0004_30,ui_0012_35,40001,40009,"[colorindex:colorIndex=10]额外赠送1620[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4]",1,0
10000004,3280钻石,1,"[colorindex:colorIndex=10]首次购买额外赠送3280[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4][colorindex:colorIndex=4][endl:num=1](限赠1次)",3280,CNY,328,0,328,660004,ui_0012_35,ui_0012_35,40002,40010,"[colorindex:colorIndex=10]额外赠送600[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4]",1,0
10000005,1980钻石,1,"[colorindex:colorIndex=10]首次购买额外赠送1980[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4][colorindex:colorIndex=4][endl:num=1](限赠1次)",1980,CNY,198,0,198,660003,ui_0012_35,ui_0012_35,40003,40011,"[colorindex:colorIndex=10]额外赠送240[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4]",0,0
10000006,980钻石,1,"[colorindex:colorIndex=10]首次购买额外赠送3000[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4][colorindex:colorIndex=4][endl:num=1](限赠1次)",980,CNY,98,0,98,660003,Nui_0004_30,ui_0012_35,40004,40012,"[colorindex:colorIndex=10]额外赠送80[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4]",0,0
10000007,600钻石,1,"[colorindex:colorIndex=10]首次购买额外赠送2000[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4][colorindex:colorIndex=4][endl:num=1](限赠1次)",500,CNY,50,0,50,660002,Nui_0004_30,ui_0012_35,40006,40014,"[colorindex:colorIndex=10]额外赠送30[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4]",0,0
10000008,300钻石,1,"[colorindex:colorIndex=10]首次购买额外赠送300[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4][colorindex:colorIndex=4][endl:num=1](限赠1次)",300,CNY,30,0,30,660001,ui_0012_35,ui_0012_35,40007,40015,"[colorindex:colorIndex=10]额外赠送15[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4]",0,0
10000009,60钻石,1,"[colorindex:colorIndex=10]首次购买额外赠送60[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4][colorindex:colorIndex=4][endl:num=1](限赠1次)",60,CNY,6,0,6,80001,ui_0012_35,ui_0012_35,40008,0,,0,0
20000001,尊贵月卡,8,"[colorindex:colorIndex=10]购买后立即获得250[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4][endl:num=1][colorindex:colorIndex=4]每日可额外获得120[colorindex:colorIndex=0][sprite:fileName='icon/80001.png',scale=0.4]",500,CNY,50,1,yk50,660011,Nui_0004_30,Nui_0004_30,0,0,[colorindex:colorIndex=10]继续购买可续签领取天数[endl:num=1][colorindex:colorIndex=4]剩余领取天数：{}天,1,0
