id,Scene_id,damage,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3,type|itemID|amount4
1,6001,100000,21|21|5,8|8|25000,0,0
2,6001,500000,21|21|6,8|8|36000,0,0
3,6001,1000000,21|21|8,8|8|48000,0,0
4,6001,1500000,21|21|10,8|8|60000,0,0
5,6001,2000000,21|21|12,8|8|72000,0,0
6,6001,2500000,21|21|14,8|8|85000,0,0
7,6001,3000000,21|21|16,8|8|100000,0,0
8,6001,3500000,21|21|18,8|8|120000,0,0
9,6001,4000000,21|21|20,8|8|150000,0,0
10,6002,100000,21|21|5,8|8|25000,0,0
11,6002,500000,21|21|6,8|8|36000,0,0
12,6002,1000000,21|21|8,8|8|48000,0,0
13,6002,1500000,21|21|10,8|8|60000,0,0
14,6002,2000000,21|21|12,8|8|72000,0,0
15,6002,2500000,21|21|14,8|8|85000,0,0
16,6002,3000000,21|21|16,8|8|100000,0,0
17,6002,3500000,21|21|18,8|8|120000,0,0
18,6002,4000000,21|21|20,8|8|150000,0,0
19,6003,100000,21|21|5,8|8|25000,0,0
20,6003,500000,21|21|6,8|8|36000,0,0
21,6003,1000000,21|21|8,8|8|48000,0,0
22,6003,1500000,21|21|10,8|8|60000,0,0
23,6003,2000000,21|21|12,8|8|72000,0,0
24,6003,2500000,21|21|14,8|8|85000,0,0
25,6003,3000000,21|21|16,8|8|100000,0,0
26,6003,3500000,21|21|18,8|8|120000,0,0
27,6003,4000000,21|21|20,8|8|150000,0,0
28,6004,100000,21|21|5,8|8|25000,0,0
29,6004,500000,21|21|6,8|8|36000,0,0
30,6004,1000000,21|21|8,8|8|48000,0,0
31,6004,1500000,21|21|10,8|8|60000,0,0
32,6004,2000000,21|21|12,8|8|72000,0,0
33,6004,2500000,21|21|14,8|8|85000,0,0
34,6004,3000000,21|21|16,8|8|100000,0,0
35,6004,3500000,21|21|18,8|8|120000,0,0
36,6004,4000000,21|21|20,8|8|150000,0,0
37,6005,100000,21|21|5,8|8|25000,0,0
38,6005,500000,21|21|6,8|8|36000,0,0
39,6005,1000000,21|21|8,8|8|48000,0,0
40,6005,1500000,21|21|10,8|8|60000,0,0
41,6005,2000000,21|21|12,8|8|72000,0,0
42,6005,2500000,21|21|14,8|8|85000,0,0
43,6005,3000000,21|21|16,8|8|100000,0,0
44,6005,3500000,21|21|18,8|8|120000,0,0
45,6005,4000000,21|21|20,8|8|150000,0,0
46,6006,100000,21|21|5,8|8|25000,0,0
47,6006,500000,21|21|6,8|8|36000,0,0
48,6006,1000000,21|21|8,8|8|48000,0,0
49,6006,1500000,21|21|10,8|8|60000,0,0
50,6006,2000000,21|21|12,8|8|72000,0,0
51,6006,2500000,21|21|14,8|8|85000,0,0
52,6006,3000000,21|21|16,8|8|100000,0,0
53,6006,3500000,21|21|18,8|8|120000,0,0
54,6006,4000000,21|21|20,8|8|150000,0,0
55,6007,100000,21|21|5,8|8|25000,0,0
56,6007,500000,21|21|6,8|8|36000,0,0
57,6007,1000000,21|21|8,8|8|48000,0,0
58,6007,1500000,21|21|10,8|8|60000,0,0
59,6007,2000000,21|21|12,8|8|72000,0,0
60,6007,2500000,21|21|14,8|8|85000,0,0
61,6007,3000000,21|21|16,8|8|100000,0,0
62,6007,3500000,21|21|18,8|8|120000,0,0
63,6007,4000000,21|21|20,8|8|150000,0,0
