id,Scene_id,ranking,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3,type|itemID|amount4
1,6001,1|1,0,21|21|100,0,0
2,6001,2|2,0,21|21|85,0,0
3,6001,3|3,0,21|21|70,0,0
4,6001,4|10,0,21|21|50,0,0
5,6001,11|20,0,21|21|40,0,0
6,6001,21|50,0,21|21|30,0,0
7,6002,1|1,0,21|21|100,0,0
8,6002,2|2,0,21|21|85,0,0
9,6002,3|3,0,21|21|70,0,0
10,6002,4|10,0,21|21|50,0,0
11,6002,11|20,0,21|21|40,0,0
12,6002,21|50,0,21|21|30,0,0
13,6003,1|1,0,21|21|100,0,0
14,6003,2|2,0,21|21|85,0,0
15,6003,3|3,0,21|21|70,0,0
16,6003,4|10,0,21|21|50,0,0
17,6003,11|20,0,21|21|40,0,0
18,6003,21|50,0,21|21|30,0,0
19,6004,1|1,0,21|21|100,0,0
20,6004,2|2,0,21|21|85,0,0
21,6004,3|3,0,21|21|70,0,0
22,6004,4|10,0,21|21|50,0,0
23,6004,11|20,0,21|21|40,0,0
24,6004,21|50,0,21|21|30,0,0
25,6005,1|1,0,21|21|100,0,0
26,6005,2|2,0,21|21|85,0,0
27,6005,3|3,0,21|21|70,0,0
28,6005,4|10,0,21|21|50,0,0
29,6005,11|20,0,21|21|40,0,0
30,6005,21|50,0,21|21|30,0,0
31,6006,1|1,0,21|21|100,0,0
32,6006,2|2,0,21|21|85,0,0
33,6006,3|3,0,21|21|70,0,0
34,6006,4|10,0,21|21|50,0,0
35,6006,11|20,0,21|21|40,0,0
36,6006,21|50,0,21|21|30,0,0
37,6007,1|1,0,21|21|100,0,0
38,6007,2|2,0,21|21|85,0,0
39,6007,3|3,0,21|21|70,0,0
40,6007,4|10,0,21|21|50,0,0
41,6007,11|20,0,21|21|40,0,0
42,6007,21|50,0,21|21|30,0,0
