ID,group,type|itemID|amount1,type|itemID|amount2,prob
1001,1,14|21000371|5,0,4000
1002,1,14|21000361|10,0,2000
1003,1,14|21000362|10,0,2000
1004,1,14|21000381|10,0,2000
2001,2,14|21000372|5,0,4000
2002,2,14|21000363|10,0,2000
2003,2,14|21000364|10,0,2000
2004,2,14|21000382|10,0,2000
3001,3,14|21000373|5,0,4000
3002,3,14|21000365|10,0,2000
3003,3,14|21000366|10,0,2000
3004,3,14|21000383|10,0,2000
4001,4,14|21000374|5,0,4000
4002,4,14|21000367|10,0,2000
4003,4,14|21000384|10,0,2000
4004,4,14|21000389|10,0,2000
5001,5,14|21000375|5,0,4000
5002,5,14|21000380|10,0,2000
5003,5,14|21000385|10,0,2000
5004,5,14|21000390|10,0,2000
