id,itemid,type,amount,prob,starttime,lasttime
1,26001025,14,3,1200,2014-06-15 00:00,2014-06-17 00:00
2,26001025,14,2,1200,2014-06-18 00:00,2014-06-20 00:00
3,26001025,14,3,1200,2014-06-20 00:00,2014-06-22 00:00
4,26001025,14,2,1200,2014-06-22 00:00,2014-06-24 00:00
5,26001025,14,3,1200,2014-06-24 00:00,2014-06-26 00:00
6,26001025,14,2,1200,2014-06-26 00:00,2014-06-28 00:00
7,26001025,14,3,1200,2014-06-28 00:00,2014-06-30 00:00
8,26001025,14,2,1200,2014-06-30 00:00,2014-07-02 00:00
9,26001025,14,3,1200,2014-07-02 00:00,2014-07-04 00:00
10,26001025,14,2,1200,2014-07-04 00:00,2014-07-06 00:00
11,26001025,14,3,1200,2014-07-06 00:00,2014-07-08 00:00
12,26001025,14,2,1200,2014-07-08 00:00,2014-07-10 00:00
13,26001025,14,3,1200,2014-08-10 00:00,2014-09-30 00:00
