id,name,same,units1,units2,units3,units4,units5,units6,atk_per,atk_abs,def_per,def_abs,hp_per,hp_abs,cri,eva
1,火爆脾气,301,1000301,1000302,1000303,0,0,0,0,180,0,0,0,0,0,0
2,火爆脾气,302,1000302,1000303,1000301,0,0,0,0,0,0,120,0,0,0,0
3,火爆脾气,303,1000303,1000301,1000302,0,0,0,0,0,0,0,0,600,0,0
4,水中生物,304,1000304,1000305,1000306,0,0,0,0,180,0,0,0,0,0,0
5,水中生物,305,1000305,1000306,1000304,0,0,0,0,0,0,120,0,0,0,0
6,水中生物,306,1000306,1000304,1000305,0,0,0,0,0,0,0,0,600,0,0
7,草本植物,324,1000324,1000308,1000309,0,0,0,0,180,0,0,0,0,0,0
8,草本植物,308,1000308,1000309,1000324,0,0,0,0,0,0,120,0,0,0,0
9,草本植物,309,1000309,1000324,1000308,0,0,0,0,0,0,0,0,600,0,0
10,圆球滚滚,310,1000310,1000311,1000312,0,0,0,0,0,0,0,0,600,0,0
11,圆球滚滚,311,1000311,1000312,1000310,0,0,0,0,0,0,120,0,0,0,0
12,圆球滚滚,312,1000312,1000310,1000311,0,0,0,0,180,0,0,0,0,0,0
13,毒性臭气,313,1000313,1000314,1000315,0,0,0,0,0,0,120,0,0,0,0
14,毒性臭气,314,1000314,1000315,1000313,0,0,0,0,0,0,0,0,600,0,0
15,毒性臭气,315,1000315,1000313,1000314,0,0,0,0,180,0,0,0,0,0,0
16,大字爆,316,1000316,1000317,1000318,0,0,0,0,0,0,160,0,0,0,0
17,大字爆,317,1000317,1000318,1000316,0,0,0,0,0,0,0,0,800,0,0
18,大字爆,318,1000318,1000316,1000317,0,0,0,0,240,0,0,0,0,0,0
19,水柱尾,319,1000319,1000320,1000321,0,0,0,0,240,0,0,0,0,0,0
20,水柱尾,320,1000320,1000321,1000319,0,0,0,0,0,0,160,0,0,0,0
21,水柱尾,321,1000321,1000319,1000320,0,0,0,0,0,0,0,0,800,0,0
22,自然力,322,1000322,1000323,1000307,0,0,0,0,240,0,0,0,0,0,0
23,自然力,323,1000323,1000307,1000322,0,0,0,0,0,0,0,0,800,0,0
24,自然力,307,1000307,1000322,1000323,0,0,0,0,0,0,160,0,0,0,0
25,电击迷情,325,1000325,1000327,0,0,0,0,0,0,0,0,0,800,0,0
26,电击迷情,327,1000327,1000325,0,0,0,0,0,240,0,0,0,0,0,0
27,古堡夜谈,328,1000328,1000329,1000330,0,0,0,0,0,0,0,0,800,0,0
28,古堡夜谈,329,1000329,1000330,1000328,0,0,0,0,0,0,160,0,0,0,0
29,古堡夜谈,330,1000330,1000328,1000329,0,0,0,0,240,0,0,0,0,0,0
30,卡洛斯修行,333,1000333,1000334,1000339,0,0,0,0,300,0,0,0,0,0,0
31,卡洛斯修行,334,1000334,1000339,1000333,0,0,0,0,0,0,0,0,1000,0,0
32,卡洛斯修行,339,1000339,1000333,1000334,0,0,0,0,0,0,200,0,0,0,0
33,龙蛇马,332,1000332,1000336,1000337,0,0,0,0,300,0,0,0,0,0,0
34,龙蛇马,336,1000336,1000337,1000332,0,0,0,0,300,0,0,0,0,0,0
35,龙蛇马,337,1000337,1000332,1000336,0,0,0,0,300,0,0,0,0,0,0
36,神奥修行,348,1000348,1000335,1000338,0,0,0,0,0,0,0,0,1000,0,0
37,神奥修行,335,1000335,1000338,1000348,0,0,0,0,0,0,0,0,1000,0,0
38,神奥修行,338,1000338,1000348,1000335,0,0,0,0,0,0,0,0,1000,0,0
39,丰缘修行,346,1000346,1000351,1000354,0,0,0,0,0,0,200,0,0,0,0
40,丰缘修行,351,1000351,1000354,1000346,0,0,0,0,0,0,200,0,0,0,0
41,丰缘修行,354,1000354,1000346,1000351,0,0,0,0,0,0,200,0,0,0,0
42,光萌宝贝,341,1000341,1000342,1000358,0,0,0,0,300,0,0,0,0,0,0
43,光萌宝贝,342,1000342,1000358,1000341,0,0,0,0,0,0,200,0,0,0,0
44,光萌宝贝,358,1000358,1000341,1000342,0,0,0,0,0,0,0,0,1000,0,0
45,暗黑精灵,343,1000343,1000344,1000360,0,0,0,0,0,0,0,0,1000,0,0
46,暗黑精灵,344,1000344,1000360,1000343,0,0,0,0,300,0,0,0,0,0,0
47,暗黑精灵,360,1000360,1000343,1000344,0,0,0,0,0,0,200,0,0,0,0
48,雷电缠绕,356,1000356,1000353,0,0,0,0,6,0,0,0,0,0,0,0
49,导电水柱,356,1000356,1000350,0,0,0,0,6,0,0,0,0,0,0,0
50,电光火花,356,1000356,1000347,0,0,0,0,0,0,0,0,0,0,5,0
51,雷电缠绕,353,1000353,1000356,0,0,0,0,0,0,0,0,6,0,0,0
52,相生生长,353,1000353,1000352,0,0,0,0,6,0,0,0,0,0,0,0
53,诅咒缠绕,353,1000353,1000345,0,0,0,0,0,0,0,0,0,0,0,5
54,导电水柱,350,1000350,1000356,0,0,0,0,0,0,6,0,0,0,0,0
55,双重水瀑,350,1000350,1000349,0,0,0,0,0,0,6,0,0,0,0,0
56,水木年华,350,1000350,1000352,0,0,0,0,0,0,6,0,0,0,0,0
57,电光火花,347,1000347,1000356,0,0,0,0,6,0,0,0,0,0,0,0
58,水火龙卷,347,1000347,1000349,0,0,0,0,6,0,0,0,0,0,0,0
59,火木双龙,347,1000347,1000373,0,0,0,0,0,0,0,0,6,0,0,0
60,浴火,331,1000331,1000361,0,0,0,0,0,0,0,0,6,0,0,0
61,火之暴怒,331,1000331,1000371,0,0,0,0,0,0,6,0,0,0,0,0
62,火焰世界,331,1000331,1000376,0,0,0,0,0,0,0,0,6,0,0,0
63,诅咒缠绕,345,1000345,1000353,0,0,0,0,0,0,0,0,6,0,0,0
64,鬼火诅咒,345,1000345,1000359,0,0,0,0,0,0,0,0,0,0,0,5
65,念力咒术,345,1000345,1000357,0,0,0,0,0,0,0,0,6,0,0,0
66,双重水瀑,349,1000349,1000350,0,0,0,0,0,0,6,0,0,0,0,0
67,水火龙卷,349,1000349,1000347,0,0,0,0,0,0,0,0,6,0,0,0
68,龙门舞者,349,1000349,1000365,0,0,0,0,6,0,0,0,0,0,0,0
69,水木年华,352,1000352,1000350,0,0,0,0,0,0,6,0,0,0,0,0
70,丛林相伴,352,1000352,1000366,0,0,0,0,0,0,0,0,6,0,0,0
71,相生生长,352,1000352,1000353,0,0,0,0,0,0,6,0,0,0,0,0
72,蛋蛋守护,355,1000355,1000364,0,0,0,0,0,0,6,0,0,0,0,0
