id,name,comment,sType,target,intervals,type1,val11,val12,type2,val21,val22,type3,val31,val32,firstbuff,first,lastbuff,injure,shuxing
4100001,齐心合力,3COMBO以上，本方攻击加成1.4倍,0,-1,-1,65536,140,3,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100002,乘胜追击,3COMBO以上，本方攻击加成1.6倍,0,-1,-1,65536,160,3,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100003,戮力同心,4COMBO以上，本方攻击加成1.8倍,0,-1,-1,65536,180,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100004,烈焰祷言,每5回合本方火属性单位HP回复10%,0,1,4,2048,10,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
4100005,烈焰回息,每5回合本方火属性单位HP回复15%,0,1,4,2048,15,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
4100006,烈焰救赎,每5回合本方火属性单位HP回复20%,0,1,4,2048,20,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
4100007,寒冰祷言,每5回合本方水属性单位HP回复10%,0,2,4,2048,10,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
4100008,寒冰回息,每5回合本方水属性单位HP回复15%,0,2,4,2048,15,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
4100009,寒冰救赎,每5回合本方水属性单位HP回复20%,0,2,4,2048,20,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
4100010,大地祷言,每5回合本方木属性单位HP回复10%,0,4,4,2048,10,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
4100011,大地回息,每5回合本方木属性单位HP回复15%,0,4,4,2048,15,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
4100012,大地救赎,每5回合本方木属性单位HP回复20%,0,4,4,2048,20,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
4100013,光辉祷言,每5回合本方光属性单位HP回复10%,0,8,4,2048,10,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
4100014,光辉回息,每5回合本方光属性单位HP回复15%,0,8,4,2048,15,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
4100015,光辉救赎,每5回合本方光属性单位HP回复20%,0,8,4,2048,20,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
4100016,暗影祷言,每5回合本方暗属性单位HP回复10%,0,16,4,2048,10,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
4100017,暗影回息,每5回合本方暗属性单位HP回复15%,0,16,4,2048,15,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
4100018,暗影救赎,每5回合本方暗属性单位HP回复20%,0,16,4,2048,20,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
4100019,天王之触,6COMBO以上，本方攻击伤害加成1.5倍,0,-1,-1,65536,150,6,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100020,天王之怒,6COMBO以上，本方攻击伤害加成1.8倍,0,-1,-1,65536,180,6,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100021,天王之煞,9COMBO以上，本方攻击伤害加成2.5倍,0,-1,-1,65536,250,9,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100022,龙血术,本方受到敌人的攻击伤害稍微减少,0,-1,-1,16384,90,31,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100023,龙涎,本方受到敌人的攻击伤害减少,0,-1,-1,16384,85,31,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100024,战鼓,6COMBO以上，本方攻击伤害加成1.5倍,0,-1,-1,65536,150,6,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100025,同心术,6COMBO以上，本方攻击伤害加成1.8倍,0,-1,-1,65536,180,6,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100026,战斗号角,7COMBO以上，本方攻击伤害加成2.1倍,0,-1,-1,65536,210,7,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100027,天降横财,击败神将获得2倍的银币数（无法战斗的情况下仍然发挥效果）,1,0,0,262144,200,1,0,0,0,0,0,0,particle/ui_qishou,0,particle/ui_shoubuff,0,money
4100028,争霸达人,击败神将获得2倍的争霸令（无法战斗的情况下仍然发挥效果）,1,0,0,262144,200,2,0,0,0,0,0,0,particle/ui_qishou,0,particle/ui_shoubuff,0,vs
4100029,经验达人,击败神将获得1.5倍的经验数（无法战斗的情况下仍然发挥效果）,1,0,0,262144,150,3,0,0,0,0,0,0,particle/ui_qishou,0,particle/ui_shoubuff,0,exp
4100030,龙之守护,本方光属性神将受到敌人的伤害减少,0,-1,-1,16384,70,8,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100031,龙之光盾,本方光属性神将受到敌人的伤害减半,0,-1,-1,16384,50,8,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100032,暗龙守护,本方暗属性神将受到敌人的伤害减少,0,-1,-1,16384,70,16,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100033,暗龙之盾,本方暗属性神将受到敌人的伤害减半,0,-1,-1,16384,50,16,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100034,火之觉醒,本方火属性神将触发暴击时，伤害增加4倍,0,1,-1,131072,400,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100035,火之复生,本方火属性神将触发暴击时，伤害增加6倍,0,1,-1,131072,600,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100036,水之觉醒,本方水属性神将触发暴击时，伤害增加4倍,0,2,-1,131072,400,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100037,水之复生,本方水属性神将触发暴击时，伤害增加6倍,0,2,-1,131072,600,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100038,木之觉醒,本方木属性神将触发暴击时，伤害增加4倍,0,4,-1,131072,400,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100039,木之复生,本方木属性神将触发暴击时，伤害增加6倍,0,4,-1,131072,600,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100040,光之觉醒,本方光属性神将触发暴击时，伤害增加4倍,0,8,-1,131072,400,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100041,光之复生,本方光属性神将触发暴击时，伤害增加6倍,0,8,-1,131072,600,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100042,冥之觉醒,本方暗属性神将触发暴击时，伤害增加4倍,0,16,-1,131072,400,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100043,冥之复生,本方暗属性神将触发暴击时，伤害增加6倍,0,16,-1,131072,600,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100044,火焰无双,4COMBO以上，本方火属性神将攻击伤害增加1.8倍,0,1,-1,65536,180,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100045,烈焰无双,4COMBO以上，本方火属性神将攻击伤害增加2.1倍,0,1,-1,65536,210,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100046,湍流无双,4COMBO以上，本方水属性神将攻击伤害增加1.8倍,0,2,-1,65536,180,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100047,激流无双,4COMBO以上，本方水属性神将攻击伤害增加2.1倍,0,2,-1,65536,210,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100048,落英无双,4COMBO以上，本方木属性神将攻击伤害增加1.8倍,0,4,-1,65536,180,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100049,花解无双,4COMBO以上，本方木属性神将攻击伤害增加2.1倍,0,4,-1,65536,210,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100050,乾坤无双,4COMBO以上，本方光属性神将攻击伤害增加1.8倍,0,8,-1,65536,180,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100051,混元无双,4COMBO以上，本方光属性神将攻击伤害增加2.1倍,0,8,-1,65536,210,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100052,幽冥无双,4COMBO以上，本方暗属性神将攻击伤害增加1.8倍,0,16,-1,65536,180,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100053,修罗无双,4COMBO以上，本方暗属性神将攻击伤害增加2.1倍,0,16,-1,65536,210,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
