id,level,dropid,rewards
1,10,80201,"[[14,190012,2],[8,8,50000]]"
2,15,80202,"[[14,190017,2],[16,16,20000]]"
3,20,80203,"[[14,120002,2],[8,8,100000]]"
4,25,80204,"[[14,190013,2],[16,16,40000]]"
5,30,80205,"[[14,190018,2],[8,8,150000]]"
6,35,80206,"[[14,190014,2],[16,16,60000]]"
7,40,80207,"[[14,190015,2],[8,8,200000]]"
8,45,80208,"[[14,190015,2],[16,16,80000]]"
9,50,80209,"[[14,190019,2],[8,8,250000]]"
10,55,80210,"[[14,190016,2],[16,16,100000]]"
11,60,80211,"[[14,190020,2],[8,8,300000]]"
12,65,80212,"[[14,190020,2],[16,16,150000]]"
13,70,80213,"[[3,1000375,1],[8,8,400000]]"
