lv,units_cost1,units_cost2,skills_cost1,skills_cost2,skills_cost3,skills_cost4,skills_cost5
1,8|100,16|100,8|100,8|100,8|500,8|500,8|500
2,8|200,16|200,8|200,8|500,8|1000,8|1000,8|1000
3,8|300,16|300,8|300,8|1000,8|1500,8|1500,8|1500
4,8|400,16|400,8|400,8|1500,8|2000,8|2000,8|2000
5,8|500,16|500,8|500,8|2000,8|2500,8|2500,8|2500
6,8|600,16|600,8|600,8|2500,8|3000,8|3000,8|3000
7,8|700,16|700,8|700,8|3000,8|3500,8|3500,8|3500
8,8|800,16|800,8|800,8|3500,8|4000,8|4000,8|4000
9,8|900,16|900,8|900,8|4000,8|4500,8|4500,8|4500
10,8|1000,16|1000,8|1000,8|4500,8|5000,8|5000,8|5000
11,8|1200,16|1100,8|1200,8|5000,8|5500,8|5500,8|5500
12,8|1400,16|1200,8|1400,8|5500,8|6000,8|6000,8|6000
13,8|1600,16|1300,8|1600,8|6000,8|6500,8|6500,8|6500
14,8|1800,16|1400,8|1800,8|6500,8|7000,8|7000,8|7000
15,8|2000,16|1500,8|2000,8|7000,8|7500,8|7500,8|7500
16,8|2200,16|1600,8|2200,8|7500,8|8000,8|8000,8|8000
17,8|2400,16|1700,8|2400,8|8000,8|8500,8|8500,8|8500
18,8|2600,16|1800,8|2600,8|8500,8|9000,8|9000,8|9000
19,8|2800,16|1900,8|2800,8|9000,8|9500,8|9500,8|9500
20,8|3000,16|2000,8|3000,8|10000,8|10000,8|10000,8|10000
21,8|3500,16|2100,8|3500,8|11000,8|11000,8|11000,8|11000
22,8|4000,16|2200,8|4000,8|12000,8|12000,8|12000,8|12000
23,8|4500,16|2300,8|4500,8|13000,8|13000,8|13000,8|13000
24,8|5000,16|2400,8|5000,8|14000,8|14000,8|14000,8|14000
25,8|5500,16|2500,8|5500,8|15000,8|15000,8|15000,8|15000
26,8|6000,16|2600,8|6000,8|16000,8|16000,8|16000,8|16000
27,8|6500,16|2700,8|6500,8|17000,8|17000,8|17000,8|17000
28,8|7000,16|2800,8|7000,8|18000,8|18000,8|18000,8|18000
29,8|7500,16|2900,8|7500,8|19000,8|19000,8|19000,8|19000
30,8|8000,16|3000,8|8000,8|20000,8|20000,8|20000,8|20000
31,8|8500,16|3100,8|8500,8|21000,8|21000,8|21000,8|21000
32,8|9000,16|3200,8|9000,8|22000,8|22000,8|22000,8|22000
33,8|9500,16|3300,8|9500,8|23000,8|23000,8|23000,8|23000
34,8|10000,16|3400,8|10000,8|24000,8|24000,8|24000,8|24000
35,8|11000,16|3500,8|11000,8|25000,8|25000,8|25000,8|25000
36,8|12000,16|3600,8|12000,8|26000,8|26000,8|26000,8|26000
37,8|14000,16|3700,8|14000,8|27000,8|27000,8|27000,8|27000
38,8|16000,16|3800,8|16000,8|28000,8|28000,8|28000,8|28000
39,8|18000,16|3900,8|18000,8|29000,8|29000,8|29000,8|29000
40,8|20000,16|4000,8|20000,8|30000,8|30000,8|30000,8|30000
41,8|22000,16|4400,8|21000,8|31000,8|32000,8|32000,8|32000
42,8|24000,16|4800,8|22000,8|32000,8|34000,8|34000,8|34000
43,8|26000,16|5200,8|23000,8|33000,8|36000,8|36000,8|36000
44,8|28000,16|5600,8|24000,8|34000,8|38000,8|38000,8|38000
45,8|30000,16|6000,8|25000,8|35000,8|40000,8|40000,8|40000
46,8|32000,16|6400,8|26000,8|36000,8|42000,8|42000,8|42000
47,8|34000,16|6800,8|27000,8|37000,8|44000,8|44000,8|44000
48,8|36000,16|7200,8|28000,8|38000,8|46000,8|46000,8|46000
49,8|38000,16|7600,8|29000,8|39000,8|48000,8|48000,8|48000
50,8|40000,16|8000,8|30000,8|40000,8|50000,8|50000,8|50000
51,8|42000,16|8400,8|31000,8|42000,8|52000,8|52000,8|52000
52,8|44000,16|8800,8|32000,8|44000,8|54000,8|54000,8|54000
53,8|46000,16|9200,8|33000,8|46000,8|56000,8|56000,8|56000
54,8|48000,16|9600,8|34000,8|48000,8|58000,8|58000,8|58000
55,8|50000,16|10000,8|35000,8|50000,8|60000,8|60000,8|60000
56,8|52000,16|11000,8|36000,8|52000,8|62000,8|62000,8|62000
57,8|54000,16|12000,8|37000,8|54000,8|64000,8|64000,8|64000
58,8|56000,16|13000,8|38000,8|56000,8|66000,8|66000,8|66000
59,8|58000,16|14000,8|39000,8|58000,8|68000,8|68000,8|68000
60,8|60000,16|15000,8|40000,8|60000,8|70000,8|70000,8|70000
61,8|62000,16|16000,8|42000,8|62000,8|72000,8|72000,8|72000
62,8|64000,16|17000,8|44000,8|64000,8|74000,8|74000,8|74000
63,8|66000,16|18000,8|46000,8|66000,8|76000,8|76000,8|76000
64,8|68000,16|19000,8|48000,8|68000,8|78000,8|78000,8|78000
65,8|70000,16|20000,8|50000,8|70000,8|80000,8|80000,8|80000
66,8|72000,16|21000,8|52000,8|72000,8|84000,8|84000,8|84000
67,8|74000,16|22000,8|54000,8|74000,8|88000,8|88000,8|88000
68,8|76000,16|23000,8|56000,8|76000,8|92000,8|92000,8|92000
69,8|78000,16|24000,8|58000,8|78000,8|96000,8|96000,8|96000
70,8|80000,16|25000,8|60000,8|80000,8|100000,8|100000,8|100000
71,8|82000,16|26000,8|62000,8|82000,8|105000,8|105000,8|105000
72,8|84000,16|27000,8|64000,8|84000,8|110000,8|110000,8|110000
73,8|86000,16|28000,8|66000,8|86000,8|115000,8|115000,8|115000
74,8|88000,16|29000,8|68000,8|88000,8|120000,8|120000,8|120000
75,8|90000,16|30000,8|70000,8|90000,8|125000,8|125000,8|125000
76,8|92000,16|32000,8|72000,8|92000,8|130000,8|130000,8|130000
77,8|94000,16|34000,8|74000,8|94000,8|135000,8|135000,8|135000
78,8|96000,16|36000,8|76000,8|96000,8|140000,8|140000,8|140000
79,8|98000,16|38000,8|78000,8|98000,8|145000,8|145000,8|145000
80,8|100000,16|40000,8|80000,8|100000,8|150000,8|150000,8|150000
81,8|105000,16|42000,8|82000,8|105000,8|155000,8|155000,8|155000
82,8|110000,16|44000,8|84000,8|110000,8|160000,8|160000,8|160000
83,8|115000,16|46000,8|86000,8|115000,8|165000,8|165000,8|165000
84,8|120000,16|48000,8|88000,8|120000,8|170000,8|170000,8|170000
85,8|125000,16|50000,8|90000,8|125000,8|175000,8|175000,8|175000
