id,type,data
1,3,"[[1,0,1,1],[5,0,1,3],[5,0,1,13],[5,0,1,11],[6,0,1,25],[3,5000023,1,0],[4,8,150,-4],[4,16,40,-3],[4,11,2,-3],[2,1100051,1,0]]"
2,3,"[[1,0,1,1],[5,0,1,2],[5,0,1,13],[5,0,1,21],[6,0,1,25],[3,5000023,1,0],[4,8,150,-4],[4,16,40,-3],[4,11,2,-3],[2,1100051,1,0]]"
3,3,"[[1,0,1,1],[5,0,1,5],[5,0,1,13],[5,0,1,6],[6,0,1,25],[3,5000023,1,0],[4,8,150,-4],[4,16,40,-3],[4,11,2,-3],[2,1100051,1,0]]"
4,3,"[[1,0,1,1],[5,0,1,5],[5,0,1,13],[5,0,1,21],[6,0,1,25],[3,5000023,1,0],[4,8,150,-4],[4,16,40,-3],[4,11,2,-3],[2,1100051,1,0]]"
5,3,"[[1,0,1,1],[5,0,1,5],[5,0,1,13],[5,0,1,24],[6,0,1,25],[3,5000023,1,0],[4,8,150,-4],[4,16,40,-3],[4,11,2,-3],[2,1100051,1,0]]"
6,3,"[[1,0,1,1],[5,0,1,11],[5,0,1,13],[5,0,1,15],[6,0,1,25],[3,5000023,1,0],[4,8,150,-4],[4,16,40,-3],[4,11,2,-3],[2,1100051,1,0]]"
7,3,"[[1,0,1,1],[5,0,1,20],[5,0,1,13],[5,0,1,21],[6,0,1,25],[3,5000023,1,0],[4,8,150,-4],[4,16,40,-3],[4,11,2,-3],[2,1100051,1,0]]"
8,3,"[[1,0,1,1],[5,0,1,4],[5,0,1,13],[5,0,1,6],[6,0,1,25],[3,5000023,1,0],[4,8,150,-4],[4,16,40,-3],[4,11,2,-3],[2,1100051,1,0]]"
9,3,"[[1,0,1,1],[5,0,1,6],[5,0,1,13],[5,0,1,20],[6,0,1,25],[3,5000023,1,0],[4,8,150,-4],[4,16,40,-3],[4,11,2,-3],[2,1100051,1,0]]"
10,3,"[[1,0,1,1],[5,0,1,6],[5,0,1,13],[5,0,1,15],[6,0,1,25],[3,5000023,1,0],[4,8,150,-4],[4,16,40,-3],[4,11,2,-3],[2,1100051,1,0]]"
11,2,"[[1,0,1,1],[5,0,1,3],[5,0,1,13],[5,0,1,11],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,360,-4],[4,16,85,-3],[4,11,3,-3],[2,1100051,1,0]]"
12,2,"[[1,0,1,1],[5,0,1,2],[5,0,1,13],[5,0,1,21],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,360,-4],[4,16,85,-3],[4,11,3,-3],[2,1100051,1,0]]"
