ID,group,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3,daily_count
1001,1,14|721007|150,3|1000381|1,17|50081|1,1
1002,1,14|721007|20,14|790004|20,8|8|20000,2
1003,1,14|721007|20,14|700004|2,8|8|20000,2
1004,1,14|721007|20,14|711004|2,8|8|20000,2
1005,1,14|721007|10,14|711003|5,8|8|10000,2
1006,1,14|721007|10,8|8|100000,16|16|10000,3
2001,2,14|721005|150,3|1000361|1,17|50061|1,1
2002,2,14|721005|20,14|790004|20,8|8|20000,2
2003,2,14|721005|20,14|700004|2,8|8|20000,2
2004,2,14|721005|20,14|711004|2,8|8|20000,2
2005,2,14|721005|10,14|711003|5,8|8|10000,2
2006,2,14|721005|10,8|8|100000,16|16|10000,3
