level,damage10,damage30
1,104884,314652
2,110985,332956
3,120573,361719
4,130396,391190
5,140456,421369
6,150780,452340
7,161312,483936
8,172051,516153
9,183054,549164
10,338860,1016582
11,354990,1064970
12,368691,1106073
13,382628,1147885
14,396770,1190311
15,460506,1381520
16,481504,1444512
17,497113,1491339
18,512926,1538779
19,528942,1586827
20,606312,1818936
21,629680,1889040
22,647236,1941708
23,665028,1995084
24,683056,2049168
25,1084126,3252380
26,1188216,3564648
27,1212156,3636469
28,1236296,3708888
29,1260745,3782235
30,1285393,3856180
31,1405886,4217658
32,1432012,4296038
33,1458375,4375126
34,1485013,4455040
35,1511848,4535546
36,1650000,4950000
37,1661800,4985400
38,1673600,5020800
39,1685400,5056200
40,1697240,5091720
41,1858240,5574720
42,1870000,5610000
43,1881800,5645400
44,1893600,5680800
45,2478880,7436640
46,2638480,7915440
47,2650280,7950840
48,2662080,7986240
49,2673920,8021760
50,2685720,8057160
