id,upindex,downindex,missiontype,conditiontype,planvalue,packid,refresh,titledesc,desc,arg,arg2,openlevel,saveid,groupid,rewards,openfb,push,order,transmit,table
301,0,0,1,17,1,80016,1,购买金币,购买金币1次,99,0,4,301,301,"[[1,1,60],[25,25,2]]",0,1,80,"[""BUY_MONEY""]",0
302,0,0,1,3,1,80016,1,购买能量,购买能量1次,99,0,8,302,302,"[[1,1,60],[25,25,2]]",0,1,70,"[""BUY_SP""]",0
303,0,0,1,8,1,80021,1,钻石召唤,进行1次钻石召唤,99,2,6,303,303,"[[1,1,120],[11,11,120]]",0,1,90,"[""LOTTERY""]",0
304,0,0,1,14,3,80017,1,果实之主,挑战树岛森林3次,99,300011|300012|300013|300014|300015|300016|300111|300112|300113|300114|300115|300116|300211|300212|300213|300214|300215|300216|300311|300312|300313|300314|300315|300316|300411|300412|300413|300414|300415|300416|300511|300512|300513|300514|300515|300516,20,304,304,"[[1,1,80],[25,25,2]]",0,1,40,"[""MATRL_FB""]",0
305,0,0,1,1,3,80018,1,精英杀手,挑战精英副本3次,99,2,12,305,305,"[[1,1,100],[25,25,2]]",100620,1,50,"[""ELITE""]",0
306,0,0,1,55,3,80020,1,联盟新秀,竞技场挑战3次,99,0,12,306,306,"[[1,1,120],[5,5,120]]",0,1,60,"[""PVP""]",0
307,0,0,1,14,2,80017,1,养家糊口,挑战双子岛2次,99,300611|300612|300613|300614|300615|300616|300711|300712|300713|300714|300715|300716,25,307,307,"[[1,1,80],[25,25,2]]",0,1,20,"[""GEMINI""]",0
308,0,0,1,24,1,80017,1,村庄猎人,精灵村庄战斗1次,99,0,22,308,308,"[[1,1,80],[25,25,2]]",0,1,30,"[""VILLAGE""]",0
309,0,0,1,27,1,80018,1,道馆挑战,训练家之丘中[endl:num=1]战胜任意道馆,99,0,28,309,309,"[[1,1,100],[25,25,2]]",0,1,10,"[""TRAINER""]",0
310,0,207,5,16,1,80023,1,午餐,[colorindex:colorIndex=0]恢复时间：[endl:num=1]  [colorindex:colorIndex=3] 正午12--14点 [endl:num=1]  [colorindex:colorIndex=0] 傍晚18--20点 [endl:num=1]  [colorindex:colorIndex=0] 宵夜21--24点,99,0,0,310,310,"[[11,11,60]]",0,0,10,"[""RECOVER""]",0
311,206,208,5,16,1,80023,1,晚餐,[colorindex:colorIndex=0]恢复时间：[endl:num=1]  [colorindex:colorIndex=0] 正午12--14点 [endl:num=1]  [colorindex:colorIndex=3] 傍晚18--20点 [endl:num=1]  [colorindex:colorIndex=0] 宵夜21--24点,99,0,0,311,311,"[[11,11,60]]",0,0,10,"[""RECOVER""]",0
312,207,0,5,16,1,80023,1,宵夜,[colorindex:colorIndex=0]恢复时间：[endl:num=1]  [colorindex:colorIndex=0] 正午12--14点 [endl:num=1]  [colorindex:colorIndex=0] 傍晚18--20点 [endl:num=1]  [colorindex:colorIndex=3] 宵夜21--24点,99,0,0,312,312,"[[11,11,60]]",0,0,10,"[""RECOVER""]",0
313,0,0,1,8,1,80013,1,道具召唤,进行1次道具召唤,99,1,6,313,313,"[[1,1,60],[5,5,60]]",0,1,95,"[""LOTTERY""]",0
314,0,0,1,1,10,80013,1,副本杀手,挑战任意副本10次,99,1|2,6,314,314,"[[1,1,60],[5,5,60]]",0,1,55,"[""STORY""]",0
315,0,0,1,4,1,80013,1,训练师,进行1次精灵升级,99,0,6,315,315,"[[1,1,60],[5,5,60]]",0,1,85,"[""SPRITE""]",0
316,0,0,1,60,1,80013,1,洗练大师,进行1次装备洗练,99,0,22,316,316,"[[1,1,60],[5,5,60]]",100315,1,65,"[""SPRITE""]",0
317,0,0,1,19,1,80013,1,精明商人,任意商店购买1次,99,0,6,317,317,"[[1,1,60],[5,5,60]]",0,1,75,"[""RAINBOW_MALL""]",0
318,0,0,1,12,5,80013,1,淘古董,任意商店刷新5次,99,0,6,318,318,"[[1,1,60],[5,5,60]]",0,1,75,"[""RAINBOW_MALL""]",0
500,0,0,9,14,10,85003,1,公会开荒,普通副本1-5[endl:num=1]通关10次,99,100115,0,500,500,"[[15,15,200],[20,20,200]]",100115,1,110,"[""STORY"",[100115]]",0
501,0,0,9,14,10,85003,1,公会开荒,普通副本1-10[endl:num=1]通关10次,99,100120,0,501,501,"[[15,15,200],[20,20,200]]",100120,1,110,"[""STORY"",[100120]]",0
502,0,0,9,14,10,85003,1,公会开荒,普通副本2-5[endl:num=1]通关10次,99,100215,20,502,502,"[[15,15,200],[20,20,200]]",100215,1,110,"[""STORY"",[100215]]",0
503,0,0,9,14,10,85003,1,公会开荒,普通副本2-10[endl:num=1]通关10次,99,100220,20,503,503,"[[15,15,200],[20,20,200]]",100220,1,110,"[""STORY"",[100220]]",0
504,0,0,9,14,10,85003,1,公会开荒,普通副本3-5[endl:num=1]通关10次,99,100315,25,504,504,"[[15,15,200],[20,20,200]]",100315,1,110,"[""STORY"",[100315]]",0
505,0,0,9,14,10,85003,1,公会开荒,普通副本3-10[endl:num=1]通关10次,99,100320,25,505,505,"[[15,15,200],[20,20,200]]",100320,1,110,"[""STORY"",[100320]]",0
506,0,0,9,14,10,85003,1,公会开荒,普通副本4-5[endl:num=1]通关10次,99,100415,30,506,506,"[[15,15,200],[20,20,200]]",100415,1,110,"[""STORY"",[100415]]",0
507,0,0,9,14,10,85003,1,公会开荒,普通副本4-10[endl:num=1]通关10次,99,100420,30,507,507,"[[15,15,200],[20,20,200]]",100420,1,110,"[""STORY"",[100420]]",0
508,0,0,9,14,10,85003,1,公会开荒,普通副本5-5[endl:num=1]通关10次,99,100515,36,508,508,"[[15,15,200],[20,20,200]]",100515,1,110,"[""STORY"",[100515]]",0
509,0,0,9,14,10,85003,1,公会开荒,普通副本5-10[endl:num=1]通关10次,99,100520,36,509,509,"[[15,15,200],[20,20,200]]",100520,1,110,"[""STORY"",[100520]]",0
510,0,0,9,14,10,85003,1,公会开荒,普通副本6-5[endl:num=1]通关10次,99,100615,42,510,510,"[[15,15,200],[20,20,200]]",100615,1,110,"[""STORY"",[100615]]",0
511,0,0,9,14,10,85003,1,公会开荒,普通副本6-10[endl:num=1]通关10次,99,100620,42,511,511,"[[15,15,200],[20,20,200]]",100620,1,110,"[""STORY"",[100620]]",0
512,0,0,9,14,10,85003,1,公会开荒,普通副本7-5[endl:num=1]通关10次,99,100715,50,512,512,"[[15,15,200],[20,20,200]]",100715,1,110,"[""STORY"",[100715]]",0
513,0,0,9,14,10,85003,1,公会开荒,普通副本7-10[endl:num=1]通关10次,99,100720,50,513,513,"[[15,15,200],[20,20,200]]",100720,1,110,"[""STORY"",[100720]]",0
514,0,0,9,14,5,85003,1,公会开荒,精英副本1-3[endl:num=1]通关5次,99,200113,0,514,514,"[[15,15,200],[20,20,200]]",200113,1,110,"[""STORY"",[200113]]",0
515,0,0,9,14,5,85003,1,公会开荒,精英副本1-5[endl:num=1]通关5次,99,200115,20,515,515,"[[15,15,200],[20,20,200]]",200115,1,110,"[""STORY"",[200115]]",0
516,0,0,9,14,5,85003,1,公会开荒,精英副本2-3[endl:num=1]通关5次,99,200213,25,516,516,"[[15,15,200],[20,20,200]]",200213,1,110,"[""STORY"",[200213]]",0
517,0,0,9,14,5,85003,1,公会开荒,精英副本2-5[endl:num=1]通关5次,99,200215,30,517,517,"[[15,15,200],[20,20,200]]",200215,1,110,"[""STORY"",[200215]]",0
518,0,0,9,14,5,85003,1,公会开荒,精英副本3-3[endl:num=1]通关5次,99,200313,36,518,518,"[[15,15,200],[20,20,200]]",200313,1,110,"[""STORY"",[200313]]",0
519,0,0,9,14,5,85003,1,公会开荒,精英副本3-5[endl:num=1]通关5次,99,200315,42,519,519,"[[15,15,200],[20,20,200]]",200315,1,110,"[""STORY"",[200315]]",0
520,0,0,9,14,5,85003,1,公会开荒,精英副本4-5[endl:num=1]通关5次,99,200415,50,520,520,"[[15,15,200],[20,20,200]]",200415,1,110,"[""STORY"",[200415]]",0
521,0,0,9,55,5,85003,1,小有名气,竞技场挑战5次,99,0,0,521,521,"[[15,15,200],[20,20,200]]",0,1,110,"[""PVP""]",0
522,0,0,9,8,20,85003,1,精灵召唤,完成20次[endl:num=1]精灵召唤,99,0,0,522,522,"[[15,15,200],[20,20,200]]",0,1,110,"[""LOTTERY""]",0
523,0,0,9,8,30,85005,1,精灵召唤,完成30次[endl:num=1]精灵召唤,99,0,0,523,523,"[[15,15,300],[20,20,300]]",0,1,110,"[""LOTTERY""]",0
524,0,0,9,50,40,85003,1,出游探险,无尽迷宫探索40次,99,0,0,524,524,"[[15,15,200],[20,20,200]]",0,1,110,"[""MAZE""]",0
525,0,0,9,50,60,85005,1,出游探险,无尽迷宫探索60次,99,0,0,525,525,"[[15,15,300],[20,20,300]]",0,1,110,"[""MAZE""]",0
801,0,0,12,57,10,80025,1,初出茅庐,联盟大赛中连杀[endl:num=1]达到10,99,0,1,801,801,"[[2,2,10],[23,23,1]]",0,1,10,[],0
802,0,0,12,57,20,80026,1,小试牛刀,联盟大赛中连杀[endl:num=1]达到20,99,0,1,802,802,"[[2,2,20],[23,23,2]]",0,1,10,[],0
803,0,0,12,57,30,80027,1,大杀特杀,联盟大赛中连杀[endl:num=1]达到30,99,0,1,803,803,"[[2,2,30],[23,23,3]]",0,1,10,[],0
804,0,0,12,57,40,80028,1,主宰比赛,联盟大赛中连杀[endl:num=1]达到40,99,0,1,804,804,"[[2,2,50],[23,23,4]]",0,1,10,[],0
805,0,0,12,57,50,80029,1,杀人如麻,联盟大赛中连杀[endl:num=1]达到50,99,0,1,805,805,"[[2,2,70],[23,23,5]]",0,1,10,[],0
806,0,0,12,57,60,80030,1,无人能挡,联盟大赛中连杀[endl:num=1]达到60,99,0,1,806,806,"[[2,2,100],[23,23,6]]",0,1,10,[],0
807,0,0,12,57,70,80031,1,变态杀戮,联盟大赛中连杀[endl:num=1]达到70,99,0,1,807,807,"[[2,2,150],[23,23,7]]",0,1,10,[],0
808,0,0,12,57,80,80032,1,妖怪杀戮,联盟大赛中连杀[endl:num=1]达到80,99,0,1,808,808,"[[2,2,200],[23,23,8]]",0,1,10,[],0
809,0,0,12,57,90,80033,1,如神杀戮,联盟大赛中连杀[endl:num=1]达到90,99,0,1,809,809,"[[2,2,300],[23,23,9]]",0,1,10,[],0
810,0,0,12,57,100,80034,1,超神杀戮,联盟大赛中连杀[endl:num=1]达到100,99,0,1,810,810,"[[2,2,500],[23,23,10]]",0,1,10,[],0
1101,0,0,2,8,10,80025,0,召唤达人1,完成10次[endl:num=1]精灵召唤,99,5,1,1101,1101,"[[2,2,10],[23,23,1]]",0,1,10,[],1
1102,0,0,2,8,100,80026,0,召唤达人2,完成100次[endl:num=1]精灵召唤,99,10,1,1102,1101,"[[2,2,20],[23,23,2]]",0,1,10,[],1
1103,0,0,2,8,200,80027,0,召唤达人3,完成200次[endl:num=1]精灵召唤,99,15,1,1103,1101,"[[2,2,30],[23,23,3]]",0,1,10,[],1
1104,0,0,2,8,500,80028,0,召唤达人4,完成500次[endl:num=1]精灵召唤,99,20,1,1104,1101,"[[2,2,40],[23,23,4]]",0,1,10,[],1
1105,0,0,2,8,700,80029,0,召唤达人5,完成700次[endl:num=1]精灵召唤,99,25,1,1105,1101,"[[2,2,60],[23,23,5]]",0,1,10,[],1
