id,monster_id1,monster_level1,monster_star1,post1,skill_level1,monster_id2,monster_level2,monster_star2,post2,skill_level2,monster_id3,monster_level3,monster_star3,post3,skill_level3,monster_id4,monster_level4,monster_star4,post4,skill_level4,ai,size1,size2,size3,size4
3000111,2003000,1,1,0,1|1|1|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3000121,2003000,4,1,0,4|4|4|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3000131,2003000,7,1,0,7|7|7|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3000141,2003000,11,1,0,11|11|11|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3000151,2003000,15,1,0,15|15|15|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3000161,2003000,18,1,0,18|18|18|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3001111,2003001,20,1,0,20|20|20|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3001121,2003001,60,1,0,60|60|60|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3001131,2003001,90,1,0,90|90|90|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3001141,2003001,120,1,0,120|120|120|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3001151,2003001,150,1,0,150|150|150|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3001161,2003001,200,1,0,200|200|200|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3002111,2003002,20,1,0,20|20|20|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3002121,2003002,60,1,0,60|60|60|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3002131,2003002,90,1,0,90|90|90|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3002141,2003002,120,1,0,120|120|120|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3002151,2003002,150,1,0,150|150|150|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3002161,2003002,200,1,0,200|200|200|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
