id,comment,mytype,type1,itemID1,amount1,type2,itemID2,amount2,type3,itemID3,amount3,type4,itemID4,amount4,type5,itemID5,amount5
1,累计获得13000声望,1,3,3000112,1,0,0,0,0,0,0,0,0,0,0,0,0
2,累计获得11500声望,2,3,3000194,1,8,8,150000,0,0,0,0,0,0,0,0,0
3,累计获得10000声望,3,3,3000194,1,8,0,100000,0,0,0,0,0,0,0,0,0
4,累计获得8000声望,4,3,3000194,1,8,0,50000,0,0,0,0,0,0,0,0,0
5,累计获得7000声望,5,3,3000194,1,8,0,30000,0,0,0,0,0,0,0,0,0
6,累计获得6000声望,6,3,3000194,1,8,0,10000,0,0,0,0,0,0,0,0,0
7,累计获得4500声望,7,3,3000194,1,0,0,0,0,0,0,0,0,0,0,0,0
8,累计获得3500声望,8,3,3000194,1,0,0,0,0,0,0,0,0,0,0,0,0
9,累计获得2700声望,9,3,3000194,1,0,0,0,0,0,0,0,0,0,0,0,0
10,累计获得2000声望,10,3,3000194,1,0,0,0,0,0,0,0,0,0,0,0,0
11,累计获得1400声望,11,3,3000194,1,0,0,0,0,0,0,0,0,0,0,0,0
12,累计获得900声望,12,3,3000194,1,0,0,0,0,0,0,0,0,0,0,0,0
13,累计获得500声望,13,3,3000194,1,0,0,0,0,0,0,0,0,0,0,0,0
14,累计获得100声望,14,5,5,1500,0,0,0,0,0,0,0,0,0,0,0,0
15,累计获得5声望,15,5,5,300,0,0,0,0,0,0,0,0,0,0,0,0
16,累计获得0声望,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
