id,name,type,init_hp,init_atk,init_def,init_cri,init_dodge,skill_choice,base_eff,gup_id,icon,piece_num,units_same,desc,attr_id
10001,火炎灵球,1,0,16,0,0,0,0,32,1,510001,0,0,火属性火系精灵专用球，可为火系精灵提供能量,20101
10002,深海灵球,1,0,16,0,0,0,0,32,1,510002,0,0,水属性水系精灵专用球，可为水系精灵提供能量,20101
10003,生命灵球,1,0,16,0,0,0,0,32,1,510003,0,0,木属性木系精灵专用球，可为木系精灵提供能量,20101
10004,光曜灵球,1,0,16,0,0,0,0,32,1,510004,0,0,光属性光系精灵专用球，可为光系精灵提供能量,20101
10005,暗灭灵球,1,0,16,0,0,0,0,32,1,510005,0,0,暗属性暗系精灵专用球，可为暗系精灵提供能量,20101
20001,天狗面具,2,0,0,10,0,0,0,40,2,520001,0,0,驱邪祭祀之物，可为火系精灵提供保护,20102
20002,海盗头巾,2,0,0,10,0,0,0,40,2,520002,0,0,海盗象征之物，可为水系精灵提供保护,20102
20003,伊甸花环,2,0,0,10,0,0,0,40,2,520003,0,0,活力充沛之物，可为木系精灵提供保护,20102
20004,日鹿角帽,2,0,0,10,0,0,0,40,2,520004,0,0,暮光日鹿之物，可为光系精灵提供保护,20102
20005,暗影之鸦,2,0,0,10,0,0,0,40,2,520005,0,0,暗影议会之物，可为暗系精灵提供保护,20102
30001,火焰凤翎,3,50,0,0,0,0,0,20,3,530001,0,0,不死鸟的尾翎制成，可为火系精灵注入活力,20103
30002,寒冰蝶羽,3,50,0,0,0,0,0,20,3,530002,0,0,霸王蝶的翅膀制成，可为水系精灵注入活力,20103
30003,青灵蝉翼,3,50,0,0,0,0,0,20,3,530003,0,0,幻影蝉的蝉翼制成，可为木系精灵注入活力,20103
30004,天使羽翅,3,50,0,0,0,0,0,20,3,530004,0,0,光天使的羽翼制成，可为光系精灵注入活力,20103
30005,夜魔骨翅,3,50,0,0,0,0,0,20,3,530005,0,0,暗夜魔的骨翅制成，可为暗系精灵注入活力,20103
40001,赤炎宝珠,4,50,0,0,0,0,0,20,3,540001,0,0,炽热炎魔温养的宝珠，可为火系精灵注入活力,20103
40002,冰刺海螺,4,50,0,0,0,0,0,20,3,540002,0,0,风暴海神丢弃的海螺，可为水系精灵注入活力,20103
40003,风草铃铛,4,50,0,0,0,0,0,20,3,540003,0,0,大地女神编织的铃铛，可为木系精灵注入活力,20103
40004,光晕法球,4,50,0,0,0,0,0,20,3,540004,0,0,星光陨石制成的光球，可为光系精灵注入活力,20103
40005,暗月牙环,4,50,0,0,0,0,0,20,3,540005,0,0,暗月龙牙串成的尾环，可为暗系精灵注入活力,20103
50031,单手火炮,5,100,0,20,0,0,1,120,11,550032,50,331,[colorindex:colorIndex=4]【小鸭嘴龙】[colorindex:colorIndex=9]【鸭嘴火龙】[colorindex:colorIndex=10]【鸭嘴焰龙】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50032,防火鞍,5,100,0,20,0,0,1,120,12,550031,0,0,[colorindex:colorIndex=4]【小马驹】[colorindex:colorIndex=9]【小火马】[colorindex:colorIndex=10]【烈焰马】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50033,火焰耳环,5,100,32,0,0,0,1,104,13,550033,0,0,[colorindex:colorIndex=4]【火狐狸】[colorindex:colorIndex=9]【长尾火狐】[colorindex:colorIndex=10]【妖火红狐】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50034,忍者飞镖,5,0,32,20,0,0,1,144,14,550034,0,0,[colorindex:colorIndex=4]【呱呱泡蛙】[colorindex:colorIndex=9]【呱头蛙】[colorindex:colorIndex=10]【甲贺忍蛙】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50035,燕尾服,5,100,32,0,0,0,1,104,15,550049,0,0,[colorindex:colorIndex=4]【波加曼】[colorindex:colorIndex=9]【波皇子】[colorindex:colorIndex=10]【帝王拿波】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50036,晨光墨汁,5,100,0,20,0,0,1,120,16,550036,0,0,[colorindex:colorIndex=4]【墨海马】[colorindex:colorIndex=9]【海刺龙】[colorindex:colorIndex=10]【刺龙王】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50037,蛇皮斗篷,5,100,32,0,0,0,1,104,17,550037,0,0,[colorindex:colorIndex=4]【藤藤蛇】[colorindex:colorIndex=9]【青藤蛇】[colorindex:colorIndex=10]【君主蛇】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50038,菊花茶,5,0,32,20,0,0,1,144,18,550038,0,0,[colorindex:colorIndex=4]【菊草叶】[colorindex:colorIndex=9]【月桂叶】[colorindex:colorIndex=10]【大菊花】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50039,软猬手甲,5,0,32,20,0,0,1,144,19,550039,0,0,[colorindex:colorIndex=4]【哈力栗】[colorindex:colorIndex=9]【胖胖哈力】[colorindex:colorIndex=10]【布里卡隆】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50040,南孚电池,5,100,0,20,0,0,1,120,20,550040,0,0,[colorindex:colorIndex=4]【咩利羊】[colorindex:colorIndex=9]【绵绵】[colorindex:colorIndex=10]【电龙】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50041,闪电星,5,100,0,20,0,0,1,120,21,550041,0,0,[colorindex:colorIndex=4]【小猫怪】[colorindex:colorIndex=9]【勒克猫】[colorindex:colorIndex=10]【伦琴猫】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50042,艾德曼合金,5,0,32,20,0,0,1,144,22,550042,0,0,[colorindex:colorIndex=4]【铁甲犀牛】[colorindex:colorIndex=9]【铁甲暴龙】[colorindex:colorIndex=10]【超铁暴龙】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50043,图鲁毒角,5,100,0,20,0,0,1,120,23,550043,0,0,[colorindex:colorIndex=4]【尼多朗】[colorindex:colorIndex=9]【尼多力诺】[colorindex:colorIndex=10]【尼多王】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50044,拳击手套,5,100,32,0,0,0,1,104,24,550044,0,0,[colorindex:colorIndex=4]【腕力】[colorindex:colorIndex=9]【豪力】[colorindex:colorIndex=10]【怪力】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50045,诅咒娃娃,5,100,32,0,0,0,3,104,25,550045,50,345,[colorindex:colorIndex=4]【怨影娃娃】[colorindex:colorIndex=9]【诅咒娃娃】[colorindex:colorIndex=10]【魔童娃娃】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50046,尼龙皮裤,5,0,32,20,0,0,1,144,26,550046,0,0,[colorindex:colorIndex=4]【火稚鸡】[colorindex:colorIndex=9]【力壮鸡】[colorindex:colorIndex=10]【火焰鸡】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50047,水晶焰,5,100,0,20,0,0,3,120,27,550047,50,347,[colorindex:colorIndex=4]【小火龙】[colorindex:colorIndex=9]【火恐龙】[colorindex:colorIndex=10]【喷火龙】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50048,炎纹护肩,5,100,32,0,0,0,1,104,28,550048,0,0,[colorindex:colorIndex=4]【小火焰猴】[colorindex:colorIndex=9]【猛火猴】[colorindex:colorIndex=10]【烈焰猴】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50049,龙王须,5,100,32,0,0,0,2,104,29,550035,50,349,[colorindex:colorIndex=4]【鲤鱼王】[colorindex:colorIndex=9]【暴鲤龙】[colorindex:colorIndex=10]【超暴鲤龙】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50050,巨舰炮甲,5,100,0,20,0,0,2,120,30,550050,50,350,[colorindex:colorIndex=4]【杰尼龟】[colorindex:colorIndex=9]【卡咪龟】[colorindex:colorIndex=10]【水箭龟】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50051,切割双轮,5,100,32,0,0,0,1,104,31,550051,0,0,[colorindex:colorIndex=4]【水跃鱼】[colorindex:colorIndex=9]【沼跃鱼】[colorindex:colorIndex=10]【巨沼怪】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50052,森树龟壳,5,100,32,0,0,0,2,104,32,550052,50,352,[colorindex:colorIndex=4]【草苗龟】[colorindex:colorIndex=9]【树林龟】[colorindex:colorIndex=10]【土台龟】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50053,荆棘藤条,5,100,32,0,0,0,3,104,33,550053,50,353,[colorindex:colorIndex=4]【妙蛙种子】[colorindex:colorIndex=9]【妙蛙草】[colorindex:colorIndex=10]【妙蛙花】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
