id,ranking,match_percent1,match_per2,match_per3,monstergroup
1,1|9,0|30,30|60,60|100,20001
2,10|20,60|70,80|85,90|95,20002
3,21|50,70|75,80|85,90|95,20003
4,51|100,70|75,80|85,90|95,20004
5,101|200,70|75,80|85,90|95,20005
6,201|500,70|75,80|85,90|95,20006
7,501|1000,70|75,80|85,90|95,20007
8,1001|1500,70|75,80|85,90|95,20008
9,1501|2000,70|75,80|85,90|95,20009
10,2001|3000,70|75,80|85,90|95,20010
11,3001|5000,70|75,80|85,90|95,20011
12,5001|7500,70|75,80|85,90|95,20012
13,7501|10000,70|75,80|85,90|95,20013
14,10000|0,70|75,80|85,90|95,20014
