ID,class,attr,units_id,prob
1,4,1,1000347,1100
2,4,1,1000331,720
3,4,1,1000386,200
4,4,1,1000376,200
5,4,1,1000362,200
6,4,1,1000381,50
7,4,1,1000361,25
8,4,1,1000371,5
9,4,2,1000350,1100
10,4,2,1000349,720
11,4,2,1000387,200
12,4,2,1000377,200
13,4,2,1000364,25
14,4,2,1000382,50
15,4,2,1000363,200
16,4,2,1000372,5
17,4,3,1000353,1100
18,4,3,1000352,720
19,4,3,1000378,200
20,4,3,1000388,200
21,4,3,1000366,25
22,4,3,1000365,200
23,4,3,1000383,50
24,4,3,1000373,5
25,4,4,1000356,3000
26,4,4,1000357,150
27,4,4,1000355,450
28,4,4,1000379,165
29,4,4,1000384,600
30,4,4,1000367,60
31,4,4,1000389,30
32,4,4,1000374,15
33,4,5,1000359,1275
34,4,5,1000345,600
35,4,5,1000370,270
36,4,5,1000369,600
37,4,5,1000385,180
38,4,5,1000380,60
39,4,5,1000390,30
40,4,5,1000375,15
