id,play_name,face,frame,group,is_visible,play_lv,monster_id1,monster_id2,monster_id3,monster_id4,monster_level1,monster_level2,monster_level3,monster_level4,monster_skill_level1,monster_skill_level2,monster_skill_level3,monster_skill_level4,monster_star1,monster_star2,monster_star3,monster_star4,monster_equip1,monster_equip2,monster_equip3,monster_equip4,career,efficiency,rob_money,rob_exp,score,battle_num
1,若叶镇的小思,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
2,若叶镇的小卉,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
3,绿荫镇的小鑫,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
4,绿荫镇的阿瑞,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
5,琉璃市的小吉,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
6,琉璃市的小君,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
7,橙华市的小一,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
8,橙华市的阿瑗,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
9,立涌市的阿宙,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
10,立涌市的小静,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
11,湿原市的小昌,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
12,湿原市的阿琪,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
13,神和镇的阿吉,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
14,神和镇的小霜,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
15,百代市的小柏,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
16,百代市的小娴,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
17,百代市的阿弼,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
18,百代市的阿敏,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
19,立涌市的阿炎,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
20,立涌市的小欢,80001,90001,0,1,22,1004352,1004356,1004349,1004347,22,22,22,22,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,22|22|1|1|1,1,1,1,1,0,0,0,0,1,25252,25200,5040,0,0
21,帆巴市的阿健,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
22,帆巴市的小婷,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
23,满金市的阿泰,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
24,满金市的阿毓,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
25,石林镇的小明,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
26,石林镇的阿璇,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
27,切锋市的阿锡,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
28,切锋市的小晓,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
29,帷幕市的阿雄,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
30,帷幕市的阿美,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
31,水涟镇的阿盖,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
32,水涟镇的小萱,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
33,紫苑镇的小棋,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
34,紫苑镇的阿竹,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
35,神和镇的阿戴,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
36,神和镇的阿彤,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
37,未白镇的小绿,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
38,未白镇的小艾,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
39,红莲岛的阿苏,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
40,红莲岛的阿敏,80001,90001,0,1,23,1004331,1004356,1004350,1004347,23,23,23,23,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,23|23|1|1|1,1,1,1,1,0,0,0,0,1,26139,26400,5280,0,0
41,古辰镇的小松,80001,90001,0,1,24,1004353,1004356,1004350,1004347,24,24,24,24,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,1,1,1,1,0,0,0,0,1,26346,27600,5520,0,0
42,古辰镇的小淞,80001,90001,0,1,24,1004353,1004356,1004350,1004347,24,24,24,24,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,1,1,1,1,0,0,0,0,1,26346,27600,5520,0,0
43,神和镇的小特,80001,90001,0,1,24,1004353,1004356,1004350,1004347,24,24,24,24,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,1,1,1,1,0,0,0,0,1,26346,27600,5520,0,0
44,神和镇的小枫,80001,90001,0,1,24,1004353,1004356,1004350,1004347,24,24,24,24,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,1,1,1,1,0,0,0,0,1,26346,27600,5520,0,0
45,七宝市的阿项,80001,90001,0,1,24,1004353,1004356,1004350,1004347,24,24,24,24,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,1,1,1,1,0,0,0,0,1,26346,27600,5520,0,0
46,七宝市的阿叶,80001,90001,0,1,24,1004353,1004356,1004350,1004347,24,24,24,24,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,1,1,1,1,0,0,0,0,1,26346,27600,5520,0,0
47,古木镇的小郁,80001,90001,0,1,24,1004353,1004356,1004350,1004347,24,24,24,24,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,1,1,1,1,0,0,0,0,1,26346,27600,5520,0,0
48,古木镇的阿媛,80001,90001,0,1,24,1004353,1004356,1004350,1004347,24,24,24,24,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,1,1,1,1,0,0,0,0,1,26346,27600,5520,0,0
49,算木镇的小淮,80001,90001,0,1,24,1004353,1004356,1004350,1004347,24,24,24,24,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,1,1,1,1,0,0,0,0,1,26346,27600,5520,0,0
50,算木镇的小莲,80001,90001,0,1,24,1004353,1004356,1004350,1004347,24,24,24,24,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,1,1,1,1,0,0,0,0,1,26346,27600,5520,0,0
51,未白镇的小柏,80001,90001,0,1,24,1004353,1004356,1004350,1004347,24,24,24,24,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,1,1,1,1,0,0,0,0,1,26346,27600,5520,0,0
52,未白镇的阿麻,80001,90001,0,1,24,1004353,1004356,1004350,1004347,24,24,24,24,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,1,1,1,1,0,0,0,0,1,26346,27600,5520,0,0
53,密阿雷市的小万,80001,90001,0,1,24,1004353,1004356,1004350,1004347,24,24,24,24,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,1,1,1,1,0,0,0,0,1,26346,27600,5520,0,0
54,密阿雷市的小莓,80001,90001,0,1,24,1004353,1004356,1004350,1004347,24,24,24,24,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,1,1,1,1,0,0,0,0,1,26346,27600,5520,0,0
55,吹寄市的阿震,80001,90001,0,1,24,1004353,1004356,1004350,1004347,24,24,24,24,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,1,1,1,1,0,0,0,0,1,26346,27600,5520,0,0
56,吹寄市的小夏,80001,90001,0,1,24,1004353,1004356,1004350,1004347,24,24,24,24,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,1,1,1,1,0,0,0,0,1,26346,27600,5520,0,0
57,浅黄市的阿棱,80001,90001,0,1,24,1004353,1004356,1004350,1004347,24,24,24,24,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,24|24|1|1|1,1,1,1,1,0,0,0,0,1,26346,27600,5520,0,0
