id,refresh_golden_type,refresh_golden_coin,refresh_silver_type,refresh_silver_coin,refresh_air_type,refresh_air_coin,refresh_pvp_type,refresh_pvp_coin,refresh_fairy_type,refresh_fairy_coin
1,2,100,2,100,2,50,5,10,18,10
2,2,100,2,100,2,50,5,10,18,10
3,2,200,2,200,2,100,5,50,18,50
4,2,200,2,200,2,100,5,50,18,50
5,2,200,2,200,2,200,5,100,18,100
6,2,400,2,400,2,200,5,100,18,100
7,2,400,2,400,2,200,5,100,18,100
8,2,400,2,400,2,200,5,100,18,100
9,2,400,2,400,2,400,5,200,18,200
10,2,800,2,800,2,400,5,200,18,200
11,2,800,2,800,2,400,5,200,18,200
12,2,800,2,800,2,400,5,200,18,200
13,2,800,2,800,2,800,5,400,18,400
14,2,1200,2,1200,2,800,5,400,18,400
15,2,1200,2,1200,2,800,5,400,18,400
16,2,1200,2,1200,2,800,5,400,18,400
17,2,1200,2,1200,2,800,5,400,18,400
18,2,1600,2,1600,2,800,5,400,18,400
19,2,1600,2,1600,2,800,5,400,18,400
20,2,1600,2,1600,2,800,5,400,18,400
21,2,1600,2,1600,2,1600,5,800,18,800
22,2,2000,2,2000,2,1600,5,800,18,800
23,2,2000,2,2000,2,1600,5,800,18,800
24,2,2000,2,2000,2,1600,5,800,18,800
25,2,2000,2,2000,2,1600,5,800,18,800
26,2,4000,2,4000,2,1600,5,800,18,800
27,2,4000,2,4000,2,1600,5,800,18,800
28,2,4000,2,4000,2,1600,5,800,18,800
29,2,4000,2,4000,2,1600,5,800,18,800
30,2,8000,2,8000,2,1600,5,800,18,800
