fbid,fbname,pname,pbg,bossname,bossid,active_num,dpr,openlv,prob,basedrop,find_kill_drop,join_kill_drop,reward
1,喷火龙,0,1,喷火龙,2003014,50,100,18,1200,30012,0,0,0
2,水箭龟,0,2,水箭龟,2003015,50,100,18,1200,30012,0,0,0
3,妙蛙花,0,3,妙蛙花,2003016,50,100,18,1200,30012,0,0,0
4,雷丘,0,4,雷丘,2003022,50,100,18,1200,30013,0,0,0
5,耿鬼,0,5,耿鬼,2003023,50,100,18,1200,30013,0,0,0
6,鸭嘴焰龙,0,1,鸭嘴焰龙,2003024,50,100,18,1200,30013,0,0,0
7,超暴鲤龙,0,2,超暴鲤龙,2003025,50,100,18,1200,30013,0,0,0
8,土台龟,0,3,土台龟,2003026,50,100,18,1200,30013,0,0,0
9,波克基斯,0,4,波克基斯,2003027,50,100,18,1200,30013,0,0,0
10,魔童娃娃,0,5,魔童娃娃,2003028,50,100,18,1200,30013,0,0,0
11,"[sprite:fileName=""5ui_1122_2.png"",scale=1]盖亚多拉斯",0,1,"[sprite:fileName=""5ui_1122_2.png"",scale=1]盖亚多拉斯",2003017,50,2000,18,0,30013,0,0,0
12,"[sprite:fileName=""5ui_1122_2.png"",scale=1]矶龙卷",0,2,"[sprite:fileName=""5ui_1122_2.png"",scale=1]矶龙卷",2003018,50,2000,18,0,30013,0,0,0
13,"[sprite:fileName=""5ui_1122_2.png"",scale=1]奥西里斯",0,3,"[sprite:fileName=""5ui_1122_2.png"",scale=1]奥西里斯",2003019,50,2000,18,0,30013,0,0,0
14,"[sprite:fileName=""5ui_1122_2.png"",scale=1]圣诞皮神",0,4,"[sprite:fileName=""5ui_1122_2.png"",scale=1]圣诞皮神",2003020,50,2000,18,0,3331,0,0,0
15,"[sprite:fileName=""5ui_1122_2.png"",scale=1]美猴王",0,1,"[sprite:fileName=""5ui_1122_2.png"",scale=1]美猴王",2003021,10,1,18,0,3333,0,0,0
315,"[sprite:fileName=""5ui_1122_2.png"",scale=1]坂木老板",0,5,"[sprite:fileName=""5ui_1122_2.png"",scale=1]坂木老板",2003029,100,2000,0,0,3334,0,0,0
